EV,W_pct,P_pct,Team,Team_Result,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.24,87.9,10.0,ATL,W,JAX,-13.5,@NO,7.0,TB,-10.0,0.5003068564764
1.14,82.6,13.5,GB,L,@KC,-10.5,CHI,-13.0,DET,6.5,0.6402764862626
1.08,75.7,2.4,DAL,W,@TB,-7.0,PHI,1.0,@NYG,3.0,0.0
1.06,73.7,0.5,NE,W,@DEN,-7.0,MIA,-7.0,BUF,-10.0,1.0
1.04,74.6,6.9,CIN,W,@STL,-7.0,ARI,-4.5,BAL,2.5,0.28400369898086
0.98,69.3,3.0,HOU,L,CAR,-6.0,@IND,-7.0,TEN,1.0,0.40317298317823
0.96,68.5,5.5,NYG,L,WAS,-5.5,@NYJ,1.5,DAL,-3.0,0.17698365556307
0.95,68.9,8.0,ARI,W,CLE,-6.0,@CIN,4.5,SEA,-2.5,0.10844906684582
0.94,73.5,24.4,NO,W,@MIN,-7.0,ATL,-7.0,CAR,-7.0,0.82336352692066
0.93,72.6,23.2,TEN,L,@IND,-6.5,JAX,-8.0,@HOU,-1.0,0.54022612853403
0.92,64.3,0.4,CHI,L,SEA,-3.5,@GB,13.0,@MIN,1.5,0.0
0.87,60.6,0.1,SF,W,PIT,-3.0,@SEA,-1.5,@STL,-12.5,0.70598270144324
0.87,60.0,0.1,PHI,W,NYJ,-3.0,@DAL,-1.0,WAS,-7.0,0.50710491595058
0.82,57.0,0.4,DET,W,@OAK,-1.0,SD,1.0,@GB,-6.5,0.38149250188649
0.73,50.9,0.1,MIA,W,@BUF,-1.0,@NE,7.0,NYJ,-2.0,0.0568680600226
0.73,50.7,0.3,BAL,L,@SD,-1.0,CLE,-11.0,@CIN,-2.5,0.74364442389826
0.71,49.3,0.1,SD,W,BAL,1.0,@DET,-1.0,@OAK,2.5,0.030061740653745
0.71,49.1,0.3,BUF,L,MIA,1.0,DEN,3.0,@NE,10.0,0.0
0.62,43.0,0.1,OAK,L,DET,1.0,@KC,2.5,SD,-2.5,0.097177076533916
0.57,40.0,0.3,NYJ,L,@PHI,3.0,NYG,-1.5,@MIA,2.0,0.10189076570854
0.57,39.4,0.2,PIT,L,@SF,3.0,STL,-10.0,@CLE,-7.0,0.96626599490571
0.52,35.7,0.1,SEA,W,@CHI,3.5,SF,1.5,@ARI,2.5,0.0
0.51,27.4,0.0,IND,W,TEN,6.5,HOU,7.0,@JAX,3.0,0.0
0.5,26.5,0.0,MIN,L,NO,7.0,@WAS,6.0,CHI,-1.5,0.12124259910468
0.49,31.1,,CLE,L,@ARI,6.0,@BAL,11.0,PIT,7.0,0.0
0.48,31.5,0.0,WAS,W,@NYG,5.5,MIN,-6.0,@PHI,7.0,0.32875788613128
0.46,30.7,0.0,CAR,W,@HOU,6.0,TB,-9.0,@NO,7.0,0.45034413797588
0.4,25.4,0.0,STL,L,CIN,7.0,@PIT,10.0,SF,12.5,0.0
0.38,26.3,0.1,DEN,L,NE,7.0,@BUF,-3.0,KC,-1.0,0.19452154424644
0.36,24.3,0.0,TB,L,DAL,7.0,@CAR,9.0,@ATL,10.0,0.0
0.3,17.4,0.0,KC,W,GB,10.5,OAK,-2.5,@DEN,1.0,0.1348232418796
0.2,12.1,0.0,JAX,L,@ATL,13.5,@TEN,8.0,IND,-3.0,0.17428146808191
