EV,W_pct,P_pct,Team,Team_Result,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.22,85.8,6.3,MIA,W,LV,-14.5,@NYJ,-10.0,@WAS,-5.0,TEN,-8.0,NYJ,-12.5,DAL,-3.0,@BAL,4.0,BUF,-3.0,0.78354500506776
1.21,85.6,9.0,SF,W,TB,-13.5,@SEA,-7.0,@PHI,-1.0,SEA,-7.5,@ARI,-14.0,BAL,-3.0,@WAS,-9.5,LAR,-9.5,1.0
1.16,81.3,3.1,DAL,W,@CAR,-11.0,WAS,-11.0,SEA,-4.0,PHI,-2.0,@BUF,2.5,@MIA,3.0,DET,-3.5,@WAS,-5.0,0.51718682047372
1.11,77.2,1.8,BUF,W,NYJ,-8.5,@PHI,3.0,BYE,,@KC,3.0,DAL,-2.5,@LAC,-0.5,NE,-9.5,@MIA,3.0,0.23223599507718
1.01,76.4,18.5,DET,W,CHI,-7.5,GB,-7.5,@NO,0.5,@CHI,-6.5,DEN,-6.5,@MIN,-2.5,@DAL,3.5,MIN,-6.0,0.59614702148973
0.97,72.9,15.3,JAX,W,TEN,-6.5,@HOU,-1.0,CIN,0.5,@CLE,1.0,BAL,3.0,@TB,-3.0,CAR,-9.5,@TEN,-2.5,0.29664610749537
0.94,68.4,8.8,HOU,W,ARI,-5.5,JAX,1.0,DEN,-2.5,@NYJ,-2.0,@TEN,2.5,CLE,-0.5,TEN,-3.0,@IND,2.0,0.12826315399446
0.93,76.4,34.7,WAS,L,NYG,-8.5,@DAL,11.0,MIA,5.0,BYE,,@LAR,4.0,@NYJ,-0.5,SF,9.5,DAL,5.0,0.0032332905908689
0.93,64.1,0.2,BAL,W,CIN,-4.0,@LAC,-3.5,BYE,,LAR,-9.0,@JAX,-3.0,@SF,3.0,MIA,-4.0,PIT,-9.5,0.58427509749463
0.85,59.1,1.0,LAC,L,@GB,-3.0,BAL,3.5,@NE,-3.0,DEN,-4.5,@LV,-3.0,BUF,0.5,@DEN,-1.0,KC,1.5,0.22643399033575
0.83,57.5,0.4,DEN,W,MIN,-2.5,CLE,-2.5,@HOU,2.5,@LAC,4.5,@DET,6.5,NE,-4.0,LAC,1.0,@LV,1.0,0.12407499821134
0.82,56.9,0.0,KC,L,PHI,-2.5,@LV,-9.5,@GB,-6.0,BUF,-3.0,@NE,-7.0,LV,-9.5,CIN,-3.0,@LAC,-1.5,0.77344338823697
0.8,55.5,0.1,CLE,W,PIT,-2.5,@DEN,2.5,@LAR,2.5,JAX,-1.0,CHI,-7.0,@HOU,0.5,NYJ,-7.0,@CIN,6.5,0.31391471242546
0.8,55.2,0.1,LAR,W,SEA,-1.5,@ARI,1.0,CLE,-2.5,@BAL,9.0,WAS,-4.0,NO,-2.0,@NYG,-6.0,@SF,9.5,0.2907314350348
0.65,44.8,0.1,SEA,L,@LAR,1.5,SF,7.0,@DAL,4.0,@SF,7.5,PHI,1.5,@TEN,-2.0,PIT,-4.0,@ARI,-4.0,0.2126174844034
0.64,44.5,0.2,PIT,L,@CLE,2.5,@CIN,-1.0,ARI,-6.5,NE,-5.0,@IND,0.5,CIN,3.0,@SEA,4.0,@BAL,9.5,0.24282374684303
0.62,43.1,0.0,PHI,W,@KC,2.5,BUF,-3.0,SF,1.0,@DAL,2.0,@SEA,-1.5,NYG,-17.5,ARI,-13.5,@NYG,-14.0,0.83744867742013
0.62,42.5,0.2,MIN,L,@DEN,2.5,CHI,-4.0,BYE,,@LV,0.5,@CIN,7.0,DET,2.5,GB,-3.5,@DET,6.0,0.15324134841894
0.6,40.9,0.0,GB,W,LAC,3.0,@DET,7.5,KC,6.0,@NYG,-3.0,TB,-3.0,@CAR,-1.5,@MIN,3.5,CHI,-4.0,0.22468779584913
0.52,35.9,0.0,CIN,L,@BAL,4.0,PIT,1.0,@JAX,-0.5,IND,-9.0,MIN,-7.0,@PIT,-3.0,@KC,3.0,CLE,-6.5,0.52167864151723
0.52,23.6,0.0,NYG,W,@WAS,8.5,NE,3.5,BYE,,GB,3.0,@NO,10.5,@PHI,17.5,LAR,6.0,PHI,14.0,0.0
0.51,31.6,0.0,ARI,L,@HOU,5.5,LAR,-1.0,@PIT,6.5,BYE,,SF,14.0,@CHI,2.0,@PHI,13.5,SEA,4.0,0.007456431379825
0.47,27.1,0.0,TEN,L,@JAX,6.5,CAR,-4.0,IND,-3.0,@MIA,8.0,HOU,-2.5,SEA,2.0,@HOU,3.0,JAX,2.5,0.17688004763293
