EV,W_pct,P_pct,Team,Team_Result,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.06,88.7,26.9,NO,W,IND,-13.5,@STL,-13.5,TB,-9.0,@ATL,1.0,BYE,,NYG,-7.0,DET,-9.0,@TEN,-3.5,@MIN,-7.0,ATL,-7.0,CAR,-7.0,0.83217881384141
1.06,82.7,2.3,GB,W,@MIN,-10.0,BYE,,@SD,-5.5,MIN,-12.5,TB,-13.5,@DET,-4.5,@NYG,-7.0,OAK,-11.5,@KC,-10.5,CHI,-13.0,DET,6.5,0.95844289556956
1.01,89.1,46.4,DAL,W,STL,-14.0,@PHI,3.0,SEA,-11.0,BUF,-4.0,@WAS,-7.0,MIA,-7.0,@ARI,-4.0,NYG,-4.5,@TB,-7.0,PHI,1.0,@NYG,3.0,0.64002769273964
1.0,82.0,15.7,BAL,L,@JAX,-10.0,ARI,-12.0,@PIT,3.5,@SEA,-7.0,CIN,-7.0,SF,-3.5,@CLE,-7.0,IND,-16.5,@SD,-1.0,CLE,-11.0,@CIN,-2.5,0.84128464813803
0.87,67.1,0.8,DET,L,ATL,-4.5,@DEN,-3.0,BYE,,@CHI,2.5,CAR,-7.0,GB,4.5,@NO,9.0,MIN,-10.0,@OAK,-1.0,SD,1.0,@GB,-6.5,0.39743431014541
0.85,66.7,2.1,PIT,W,@ARI,-4.0,NE,3.0,BAL,-3.5,@CIN,-3.5,BYE,,@KC,-10.5,CIN,-7.0,CLE,-14.0,@SF,3.0,STL,-10.0,@CLE,-7.0,0.73737911782175
0.83,64.0,0.5,CLE,W,SEA,-3.0,@SF,9.0,@HOU,10.5,STL,-2.5,JAX,-1.0,@CIN,6.5,BAL,7.0,@PIT,14.0,@ARI,6.0,@BAL,11.0,PIT,7.0,0.045430782876714
0.8,62.7,2.5,OAK,L,KC,-3.5,BYE,,DEN,-7.0,@SD,7.0,@MIN,1.5,CHI,-3.0,@MIA,3.5,@GB,11.5,DET,1.0,@KC,2.5,SD,-2.5,0.15466303439322
0.74,57.2,0.2,TEN,L,HOU,-3.0,IND,-9.0,CIN,-1.5,@CAR,3.5,@ATL,6.0,TB,-3.0,@BUF,1.0,NO,3.5,@IND,-6.5,JAX,-8.0,@HOU,-1.0,0.4035933485873
0.72,55.4,0.4,CAR,W,WAS,-1.5,MIN,-3.0,BYE,,TEN,-3.5,@DET,7.0,@IND,-3.5,@TB,-1.0,ATL,3.0,@HOU,6.0,TB,-9.0,@NO,7.0,0.30307933973082
0.7,53.7,0.1,CHI,W,@TB,-1.5,BYE,,@PHI,9.0,DET,-2.5,SD,-4.5,@OAK,3.0,KC,-9.0,@DEN,3.5,SEA,-3.5,@GB,13.0,@MIN,1.5,0.26839212816271
0.66,50.7,0.1,SD,L,@NYJ,-1.0,@KC,-3.0,GB,5.5,OAK,-7.0,@CHI,4.5,DEN,-4.5,@JAX,-3.0,BUF,-7.0,BAL,1.0,@DET,-1.0,@OAK,2.5,0.35627892187873
