EV,W_pct,P_pct,Team,Team_Result,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.4,87.0,4.2,SF,W,SEA,-14.5,@ARI,-14.0,BAL,-4.0,@WAS,-11.0,LAR,-9.5,0.85397375076059
1.39,86.0,3.2,MIA,L,TEN,-13.5,NYJ,-9.5,DAL,-2.5,@BAL,3.0,BUF,-3.5,0.34704102835942
1.14,74.7,12.3,BAL,W,LAR,-7.5,@JAX,-3.5,@SF,4.0,MIA,-3.0,PIT,-7.5,0.34583358733588
1.03,62.9,0.0,DAL,W,PHI,-3.5,@BUF,2.5,@MIA,2.5,DET,-4.0,@WAS,-7.5,0.29425472325394
1.01,68.2,14.1,NO,W,CAR,-5.5,NYG,-6.0,@LAR,2.0,@TB,-1.0,ATL,-4.0,0.25563831411521
1.01,69.2,16.6,PIT,L,NE,-5.0,@IND,2.5,CIN,-2.0,@SEA,2.5,@BAL,7.5,0.033340060931924
0.99,61.0,0.5,LAC,L,DEN,-3.0,@LV,3.0,BUF,-0.5,@DEN,1.0,KC,-0.5,0.015871448343927
0.97,59.9,0.9,DET,L,@CHI,-3.0,DEN,-4.5,@MIN,-2.0,@DAL,4.0,MIN,-6.0,0.31434650142961
0.95,58.4,1.1,CIN,W,IND,-2.5,MIN,-3.5,@PIT,2.0,@KC,4.0,CLE,-3.5,0.18302640882351
0.94,58.2,0.8,MIN,W,@LV,-3.0,@CIN,3.5,DET,2.0,GB,-3.5,@DET,6.0,0.084999183172961
0.92,68.5,27.9,GB,L,@NYG,-5.5,TB,-3.0,@CAR,-1.5,@MIN,3.5,CHI,-4.0,0.21543206505766
0.91,56.1,0.7,CLE,W,JAX,-2.0,CHI,-3.0,@HOU,1.5,NYJ,-6.5,@CIN,3.5,0.24247016701619
0.89,61.0,14.5,HOU,L,@NYJ,-3.5,@TEN,2.0,CLE,-1.5,TEN,-3.5,@IND,3.0,0.11705406115661
0.89,54.7,0.6,ATL,L,TB,-1.0,@CAR,-3.0,IND,-3.0,@CHI,-0.5,@NO,4.0,0.14272218019004
0.88,54.1,0.1,KC,L,BUF,-1.0,@NE,-8.5,LV,-7.5,CIN,-4.0,@LAC,0.5,0.50536972660041
0.75,45.9,0.0,BUF,W,@KC,1.0,DAL,-2.5,@LAC,0.5,NE,-8.0,@MIA,3.5,0.25162997199116
0.74,45.3,0.1,TB,W,@ATL,1.0,@GB,3.0,JAX,2.0,NO,1.0,@CAR,-1.5,0.027755241745991
0.74,39.0,0.7,NYJ,W,HOU,3.5,@MIA,9.5,WAS,-1.5,@CLE,6.5,@NE,3.5,0.020471812741889
0.72,43.9,0.1,JAX,L,@CLE,2.0,BAL,3.5,@TB,-2.0,CAR,-9.5,@TEN,-3.0,0.31873676524037
0.71,31.5,0.2,NYG,W,GB,5.5,@NO,6.0,@PHI,17.5,LAR,6.0,PHI,14.5,0.0
0.69,41.8,0.1,LV,L,MIN,3.0,LAC,-3.0,@KC,7.5,@IND,3.0,DEN,-0.5,0.081082884964966
0.68,41.6,0.5,IND,L,@CIN,2.5,PIT,-2.5,@ATL,3.0,LV,-3.0,HOU,-3.0,0.15492166416628
0.66,40.1,0.0,CHI,W,DET,3.0,@CLE,3.0,ARI,-3.5,ATL,0.5,@GB,4.0,0.085870530488245
0.64,39.0,0.2,DEN,W,@LAC,3.0,@DET,4.5,NE,-4.5,LAC,-1.0,@LV,0.5,0.13072359165248
0.62,30.8,0.1,NE,W,@PIT,5.0,KC,8.5,@DEN,4.5,@BUF,8.0,NYJ,-3.5,0.094254420855715
0.62,31.8,0.1,CAR,L,@NO,5.5,ATL,3.0,GB,1.5,@JAX,9.5,TB,1.5,0.0
0.6,37.1,0.2,PHI,L,@DAL,3.5,@SEA,-3.5,NYG,-17.5,ARI,-13.5,@NYG,-14.5,1.0
0.5,25.3,0.1,LAR,L,@BAL,7.5,WAS,-7.0,NO,-2.0,@NYG,-6.0,@SF,9.5,0.35704556529825
0.24,14.0,0.1,TEN,W,@MIA,13.5,HOU,-2.0,SEA,1.0,@HOU,3.5,JAX,3.0,0.024848093023302
0.23,13.0,0.0,SEA,L,@SF,14.5,PHI,3.5,@TEN,-1.0,PIT,-2.5,@ARI,-3.0,0.13702436515273
,,0.0,ARI,,BYE,,SF,14.0,@CHI,3.5,@PHI,13.5,SEA,3.0,0.0
,,0.0,WAS,,BYE,,@LAR,7.0,@NYJ,1.5,SF,11.0,DAL,7.5,0.0
