EV,W_pct,P_pct,Team,Team_Result,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.09,79.9,6.3,NE,L,CAR,-9.0,@TB,-5.0,@NYJ,-13.5,ATL,-3.5,LAC,-11.5,BYE,,@DEN,-3.5,@OAK,-2.0,MIA,-11.0,@BUF,-7.0,@MIA,-7.0,@PIT,0.5,BUF,-11.0,NYJ,-16.5,1.0
1.06,86.8,39.7,SEA,W,IND,-12.5,@LAR,1.0,BYE,,@NYG,-1.5,HOU,-6.0,WAS,-4.5,@ARI,-3.0,ATL,-1.0,@SF,-7.0,PHI,-3.5,@JAX,-3.0,LAR,-7.0,@DAL,3.5,ARI,-6.5,0.50620921503982
1.01,75.7,10.1,GB,W,CHI,-7.5,@DAL,2.0,@MIN,-0.5,NO,-6.5,BYE,,DET,-4.0,@CHI,-6.5,BAL,-6.0,@PIT,3.0,TB,-5.5,@CLE,-8.0,@CAR,-1.0,MIN,-4.0,@DET,-0.5,0.5045302460825
0.99,76.6,17.8,ATL,L,BUF,-8.0,BYE,,MIA,-9.5,@NE,3.5,@NYJ,-10.5,@CAR,-3.0,DAL,-3.0,@SEA,1.0,TB,-6.5,MIN,-5.5,NO,-7.0,@TB,-3.0,@NO,-3.5,CAR,-6.5,0.66957663474879
0.98,71.9,3.5,KC,W,WAS,-6.5,@HOU,-1.0,PIT,-3.0,@OAK,1.5,DEN,-6.0,@DAL,2.0,BYE,,@NYG,-3.5,BUF,-9.5,@NYJ,-10.5,OAK,-3.5,LAC,-9.5,MIA,-9.5,@DEN,-2.5,0.66354495817157
0.93,69.4,7.8,ARI,W,SF,-6.0,@PHI,6.5,TB,-1.0,@LAR,2.0,BYE,,@SF,-4.0,SEA,3.0,@HOU,3.0,JAX,-3.0,LAR,-3.0,TEN,3.0,@WAS,3.5,NYG,-2.0,@SEA,6.5,0.13906589941146
0.9,67.1,6.0,DAL,L,LAR,-4.5,GB,-2.0,BYE,,@SF,-9.5,@WAS,-3.0,KC,-2.0,@ATL,3.0,PHI,-5.0,LAC,-9.5,WAS,-6.5,@NYG,-3.0,@OAK,2.0,SEA,-3.5,@PHI,-1.5,0.49663338957139
0.89,64.0,0.2,DEN,W,OAK,-3.5,BYE,,NYG,-3.5,@LAC,-3.0,@KC,6.0,@PHI,2.5,NE,3.5,CIN,-6.5,@OAK,3.5,@MIA,-2.5,NYJ,-11.5,@IND,-4.0,@WAS,1.0,KC,2.5,0.36053554950216
0.89,65.0,3.5,JAX,L,@NYJ,-4.0,@PIT,8.5,LAR,-3.0,@IND,-1.5,BYE,,CIN,-3.5,LAC,-3.0,@CLE,-4.0,@ARI,3.0,IND,-4.5,SEA,3.0,HOU,-2.0,@SF,-3.5,@TEN,6.5,0.29358635916571
0.88,63.3,0.2,PIT,W,@BAL,-3.5,JAX,-8.5,@KC,3.0,CIN,-9.5,@DET,-1.0,BYE,,@IND,-7.0,TEN,-3.5,GB,-3.0,@CIN,-5.0,BAL,-6.5,NE,-0.5,@HOU,-3.5,CLE,-14.0,0.7142669274737
0.88,63.3,0.7,NO,W,@MIA,-3.5,BYE,,DET,-0.5,@GB,6.5,CHI,-6.5,TB,-1.5,@BUF,1.0,WAS,-2.5,@LAR,1.5,CAR,-1.5,@ATL,7.0,NYJ,-9.5,ATL,3.5,@TB,3.5,0.23319363278023
0.84,60.9,2.0,CIN,W,@CLE,-3.0,BUF,-3.0,BYE,,@PIT,9.5,IND,-3.5,@JAX,3.5,@TEN,7.0,@DEN,6.5,CLE,-7.5,PIT,5.0,CHI,-4.0,@MIN,6.5,DET,3.0,@BAL,4.5,0.2239368669173
0.8,57.8,0.2,MIN,L,DET,-2.5,@CHI,-3.0,GB,0.5,BAL,-3.5,@CLE,-7.0,BYE,,@WAS,1.0,LAR,-6.0,@DET,3.0,@ATL,5.5,@CAR,2.0,CIN,-6.5,@GB,4.0,CHI,-8.0,0.40240089482712
0.79,56.6,0.2,TEN,L,@HOU,-2.5,@MIA,-3.5,IND,-9.5,@CLE,-7.5,BYE,,BAL,-4.0,CIN,-7.0,@PIT,3.5,@IND,-6.0,HOU,-6.0,@ARI,-3.0,@SF,-7.0,LAR,-6.5,JAX,-6.5,0.79155199307402
0.78,55.9,0.3,TB,W,NYG,-2.5,NE,5.0,@ARI,1.0,@BUF,-1.0,CAR,-2.5,@NO,1.5,NYJ,-10.0,@MIA,-1.0,@ATL,6.5,@GB,5.5,DET,-1.5,ATL,3.0,@CAR,3.0,NO,-3.5,0.20383578064256
0.75,53.8,0.2,LAC,L,PHI,-2.0,@NYG,3.5,@OAK,8.0,DEN,3.0,@NE,11.5,BYE,,@JAX,3.0,BUF,-2.5,@DAL,9.5,CLE,-7.0,WAS,1.5,@KC,9.5,@NYJ,-3.5,OAK,4.0,0.15513130091296
0.64,46.2,0.4,PHI,W,@LAC,2.0,ARI,-6.5,@CAR,2.5,WAS,-3.5,SF,-9.5,DEN,-2.5,BYE,,@DAL,5.0,CHI,-8.0,@SEA,3.5,@LAR,-2.0,@NYG,1.0,OAK,-0.5,DAL,1.5,0.37508106460297
0.62,44.1,0.2,NYG,L,@TB,2.5,LAC,-3.5,@DEN,3.5,SEA,1.5,BYE,,LAR,-3.5,@SF,-4.5,KC,3.5,@WAS,3.0,@OAK,6.0,DAL,3.0,PHI,-1.0,@ARI,2.0,WAS,-2.5,0.19188944289007
0.6,43.4,0.1,HOU,W,TEN,2.5,KC,1.0,CLE,-9.0,BYE,,@SEA,6.0,IND,-6.5,@LAR,1.5,ARI,-3.0,@BAL,3.0,@TEN,6.0,SF,-8.0,@JAX,2.0,PIT,3.5,@IND,-3.0,0.33710450824128
0.59,42.2,0.1,DET,W,@MIN,2.5,CAR,-3.0,@NO,0.5,BYE,,PIT,1.0,@GB,4.0,CLE,-10.5,@CHI,-4.0,MIN,-3.0,@BAL,1.5,@TB,1.5,CHI,-8.0,@CIN,-3.0,GB,0.5,0.36198521753713
0.55,39.1,0.1,CLE,L,CIN,3.0,NYJ,0.0,@HOU,9.0,TEN,7.5,MIN,7.0,BYE,,@DET,10.5,JAX,4.0,@CIN,7.5,@LAC,7.0,GB,8.0,BAL,6.0,@CHI,5.0,@PIT,14.0,0.00086841043056236
0.51,36.7,0.0,MIA,L,NO,3.5,TEN,3.5,@ATL,9.5,NYJ,-7.5,@BAL,4.0,OAK,3.5,@CAR,5.0,TB,1.0,@NE,11.0,DEN,2.5,NE,7.0,@BUF,3.0,@KC,9.5,BUF,-3.0,0.12008303863199
0.51,36.7,0.0,BAL,L,PIT,3.5,@OAK,2.5,CHI,-7.0,@MIN,3.5,MIA,-4.0,@TEN,4.0,BYE,,@GB,6.0,HOU,-3.0,DET,-1.5,@PIT,6.5,@CLE,-6.0,IND,-7.0,CIN,-4.5,0.41150972191823
0.51,35.0,0.0,NYJ,W,JAX,4.0,@CLE,0.0,NE,13.5,@MIA,7.5,ATL,10.5,BUF,4.0,@TB,10.0,BYE,,CAR,7.0,KC,10.5,@DEN,11.5,@NO,9.5,LAC,3.5,@NE,16.5,0.0
