EV,W_pct,P_pct,Team,Team_Result,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.14,84.7,15.3,BAL,W,CIN,-12.5,@PHI,-7.5,BYE,,PIT,-4.0,@IND,-2.0,@NE,-3.0,TEN,-7.0,@PIT,0.5,DAL,-7.0,@CLE,-3.5,JAX,-14.0,NYG,-15.0,@CIN,-9.5,0.69045040301264
1.08,80.0,11.1,KC,L,LV,-11.0,@BUF,-3.5,@DEN,-11.0,NYJ,-18.5,CAR,-13.5,BYE,,@LV,-8.0,@TB,-3.0,DEN,-15.0,@MIA,-10.0,@NO,-3.5,ATL,-13.5,LAC,-11.5,1.0
1.05,76.6,7.3,SF,L,MIA,-8.5,LAR,3.5,@NE,3.0,@SEA,5.0,GB,1.5,@NO,3.5,BYE,,@LAR,3.5,BUF,1.5,WAS,-9.5,@DAL,2.5,@ARI,2.5,SEA,1.5,0.089081415734539
1.04,76.0,5.9,PIT,W,PHI,-7.5,CLE,-3.5,@TEN,-1.0,@BAL,4.0,@DAL,-2.0,CIN,-10.5,@JAX,-8.0,BAL,-0.5,WAS,-13.0,@BUF,2.5,@CIN,-6.5,IND,-3.5,@CLE,-2.0,0.47353548848485
1.03,74.6,3.9,NO,W,LAC,-7.0,BYE,,CAR,-7.5,@CHI,-1.5,@TB,3.0,SF,-3.5,ATL,-8.0,@DEN,-6.0,@ATL,-4.0,@PHI,-3.0,KC,3.5,MIN,-6.5,@CAR,-3.5,0.45782928260045
1.02,74.7,6.1,LAR,W,@WAS,-7.5,@SF,-3.5,CHI,-6.5,@MIA,-6.0,BYE,,SEA,-1.5,@TB,3.0,SF,-3.5,@ARI,0.5,NE,-3.5,NYJ,-14.0,@SEA,3.0,ARI,-3.5,0.40693021407809
0.99,71.7,4.4,SEA,W,MIN,-6.5,BYE,,@ARI,-1.0,SF,-5.0,@BUF,2.5,@LAR,1.5,ARI,-4.0,@PHI,-3.5,NYG,-11.5,NYJ,-14.0,@WAS,-7.0,LAR,-3.0,@SF,-1.5,0.49467710996106
0.98,70.7,2.4,HOU,W,JAX,-6.0,@TEN,6.0,GB,4.0,BYE,,@JAX,-3.0,@CLE,5.0,NE,3.0,@DET,2.0,IND,3.5,@CHI,3.5,@IND,7.0,CIN,-4.0,TEN,2.5,0.064381107478345
0.96,72.7,13.5,ARI,W,@NYJ,-7.0,@DAL,-2.5,SEA,1.0,BYE,,MIA,-7.5,BUF,0.5,@SEA,4.0,@NE,3.0,LAR,-0.5,@NYG,-5.5,PHI,-4.0,SF,-2.5,@LAR,3.5,0.22591276183295
0.94,75.3,26.4,DAL,W,NYG,-7.5,ARI,2.5,@WAS,-4.5,@PHI,-1.0,PIT,2.0,BYE,,@MIN,-0.5,WAS,-9.0,@BAL,7.0,@CIN,-3.5,SF,-2.5,PHI,-4.0,@NYG,-4.5,0.30545562611163
