EV,W_pct,P_pct,Team,Team_Result,17,17_spread,Future_Val
1.31,88.3,9.1,NE,L,MIA,-17.0,
1.26,84.6,5.7,NO,W,@CAR,-14.0,
1.24,83.6,4.9,GB,W,@DET,-13.0,
1.22,82.7,8.1,DAL,W,WAS,-11.5,
1.16,78.1,8.1,TEN,W,@HOU,-10.0,
1.14,77.4,6.6,KC,W,LAC,-10.0,
1.0,67.6,3.6,DEN,W,OAK,-5.5,
1.0,68.2,6.3,IND,L,@JAX,-6.0,
0.96,64.5,1.6,PHI,W,@NYG,-3.5,
0.95,62.8,0.3,SF,W,@SEA,-3.5,
0.95,71.3,24.1,LAR,W,ARI,-7.0,
0.94,62.0,0.6,CHI,W,@MIN,-3.0,
0.83,56.5,3.4,CLE,L,@CIN,-2.5,
0.81,53.6,0.3,PIT,L,@BAL,-1.0,
0.78,51.2,0.3,NYJ,W,@BUF,-1.0,
0.76,50.9,2.5,TB,L,ATL,-1.0,
0.75,49.1,1.3,ATL,W,@TB,1.0,
0.72,48.8,2.5,BUF,L,NYJ,1.0,
0.7,46.4,0.5,BAL,W,PIT,1.0,
0.67,43.5,0.4,CIN,W,CLE,2.5,
0.57,38.0,1.9,MIN,L,CHI,3.0,
0.56,28.7,0.3,ARI,L,@LAR,7.0,
0.56,37.2,0.8,SEA,L,SF,3.5,
0.54,35.5,0.1,NYG,L,PHI,3.5,
0.51,31.8,1.3,JAX,W,IND,6.0,
0.5,32.4,0.8,OAK,L,@DEN,5.5,
0.37,22.6,0.1,LAC,L,@KC,10.0,
0.35,21.9,3.7,HOU,L,TEN,10.0,
0.29,17.3,0.2,WAS,L,@DAL,11.5,
0.26,16.4,0.2,DET,L,GB,13.0,
0.25,15.4,0.1,CAR,L,NO,14.0,
0.2,11.7,0.2,MIA,W,@NE,17.0,
