EV,W_pct,P_pct,Team,Team_Result,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.15,79.8,8.8,PHI,L,@MIA,-10.5,NYG,-8.5,@WAS,-6.5,DAL,1.0,@NYG,-3.0,0.45487061448027
1.12,80.2,15.9,KC,W,OAK,-11.5,@NE,3.0,DEN,-9.5,@CHI,-2.0,LAC,-6.5,0.43194755294156
1.08,73.3,3.1,NO,W,@ATL,-7.0,SF,-3.0,IND,-7.0,@TEN,-3.5,@CAR,-3.5,0.42833531826489
1.08,72.3,1.4,DAL,L,BUF,-6.5,@CHI,-2.5,LAR,-3.5,@PHI,-1.0,WAS,-14.0,0.47064076221786
1.03,68.5,0.5,BAL,W,SF,-5.5,@BUF,-5.5,NYJ,-12.0,@CLE,-3.0,PIT,-8.0,0.68208867351592
1.01,68.3,2.8,CHI,W,@DET,-5.5,DAL,2.5,@GB,5.0,KC,2.0,@MIN,5.5,0.0
0.99,66.0,0.3,LAC,L,@DEN,-4.5,@JAX,-3.0,MIN,3.0,OAK,-3.5,@KC,6.5,0.17531838422479
0.99,71.6,13.5,GB,W,@NYG,-6.5,WAS,-13.0,CHI,-5.0,@MIN,3.0,@DET,-5.0,0.54412390084652
0.97,80.7,44.8,CAR,L,WAS,-10.5,@ATL,3.0,SEA,3.0,@IND,3.0,NO,3.5,0.0
0.92,61.5,0.4,NE,L,@HOU,-3.5,KC,-3.0,@CIN,-17.5,BUF,-9.5,MIA,-18.5,1.0
0.91,60.7,0.2,TB,W,@JAX,-3.0,IND,-3.0,@DET,-0.5,HOU,1.5,ATL,-3.5,0.1527591793975
0.87,57.9,0.3,SEA,W,MIN,-2.5,@LAR,-1.0,@CAR,-3.0,ARI,-10.0,SF,-2.5,0.35181321732336
0.84,57.0,2.0,LAR,W,@ARI,-2.5,SEA,1.0,@DAL,3.5,@SF,4.0,ARI,-8.0,0.20441055658376
0.83,57.0,3.5,NYJ,L,@CIN,-3.0,MIA,-5.0,@BAL,12.0,PIT,1.5,@BUF,6.5,0.14121135398009
0.79,52.8,0.1,CLE,L,@PIT,-2.0,CIN,-8.5,@ARI,-3.0,BAL,3.0,@CIN,-6.5,0.4267569263408
0.79,52.4,0.2,TEN,W,@IND,-1.0,@OAK,-3.0,HOU,-1.5,NO,3.5,@HOU,3.5,0.078879559406641
0.71,47.6,0.3,IND,L,TEN,1.0,@TB,3.0,@NO,7.0,CAR,-3.0,@JAX,-0.5,0.058095956585511
0.71,47.2,0.2,PIT,W,CLE,2.0,@ARI,-2.5,BUF,-1.5,@NYJ,-1.5,@BAL,8.0,0.1062308057622
0.67,43.0,0.4,CIN,W,NYJ,3.0,@CLE,8.5,NE,17.5,@MIA,2.0,CLE,6.5,0.0
0.66,43.0,0.0,ARI,L,LAR,2.5,PIT,2.5,CLE,3.0,@SEA,10.0,@LAR,8.0,0.0
0.63,42.1,0.1,MIN,L,@SEA,2.5,DET,-13.0,@LAC,-3.0,GB,-3.0,CHI,-5.5,0.55449133177255
0.59,39.3,0.6,JAX,L,TB,3.0,LAC,3.0,@OAK,3.0,@ATL,3.0,IND,0.5,0.0
0.58,38.5,0.0,HOU,W,NE,3.5,DEN,-9.5,@TEN,1.5,@TB,-1.5,TEN,-3.5,0.3208707937474
0.53,19.3,0.0,WAS,W,@CAR,10.5,@GB,13.0,PHI,6.5,NYG,1.5,@DAL,14.0,0.0
0.51,28.4,0.0,NYG,L,GB,6.5,@PHI,8.5,MIA,-7.0,@WAS,-1.5,PHI,3.0,0.19992008854533
0.51,34.0,0.1,DEN,W,LAC,4.5,@HOU,9.5,@KC,9.5,DET,-2.5,OAK,1.0,0.04443836383942
0.49,31.7,0.2,DET,L,CHI,5.5,@MIN,13.0,TB,0.5,@DEN,2.5,GB,5.0,0.0
0.48,31.5,0.0,SF,L,@BAL,5.5,@NO,3.0,ATL,-9.5,LAR,-4.0,@SEA,2.5,0.33139645599614
0.42,27.7,0.0,BUF,W,@DAL,6.5,BAL,5.5,@PIT,1.5,@NE,9.5,NYJ,-6.5,0.16434595701731
0.42,26.7,0.1,ATL,L,NO,7.0,CAR,-3.0,@SF,9.5,JAX,-3.0,@TB,3.5,0.12668333929128
0.38,19.8,0.0,OAK,L,@KC,11.5,TEN,3.0,JAX,-3.0,@LAC,3.5,@DEN,-1.0,0.086573689829633
0.35,20.2,0.0,MIA,W,PHI,10.5,@NYJ,5.0,@NYG,7.0,CIN,-2.0,@NE,18.5,0.034039056992405
