EV,W_pct,P_pct,Team,Team_Result,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.22,83.8,7.8,BAL,W,@CAR,-11.5,TB,-7.5,PIT,-3.0,@HOU,-3.0,NO,-2.5,@CLE,-3.5,CIN,-9.5,0.67052644186435
1.2,82.2,6.9,NO,W,SEA,-12.0,@DAL,-4.5,@CIN,-7.0,STL,-9.5,@BAL,2.5,@ATL,2.5,TB,-7.5,0.6628705647147
1.13,77.0,4.2,KC,W,ARI,-8.5,@SEA,-2.0,DEN,-10.0,@SD,10.0,@STL,3.0,TEN,-4.5,OAK,-3.5,0.41741208481233
1.09,75.1,5.8,PIT,W,OAK,-7.5,@BUF,-6.0,@BAL,3.0,CIN,-9.0,NYJ,-3.5,CAR,-15.0,@CLE,-5.5,0.83063022049295
1.09,74.1,2.5,TEN,L,WAS,-7.0,@HOU,6.0,JAX,-3.5,IND,4.0,HOU,-1.0,@KC,4.5,@IND,9.0,0.10319255326127
1.06,77.2,18.3,SD,W,DEN,-9.0,@IND,2.0,OAK,-13.0,KC,-10.0,SF,-10.5,@CIN,-8.5,@DEN,-4.5,1.0
1.03,71.7,6.8,NYJ,W,HOU,-6.5,CIN,-9.5,@NE,4.0,MIA,-5.0,@PIT,3.5,@CHI,2.5,BUF,-6.5,0.36079050511658
0.98,67.4,4.5,CIN,L,BUF,-5.0,@NYJ,9.5,NO,7.0,@PIT,9.0,CLE,-1.0,SD,8.5,@BAL,9.5,0.012270998865504
0.97,65.2,0.1,NE,W,IND,-4.0,@DET,-7.0,NYJ,-4.0,@CHI,-3.0,GB,-14.0,@BUF,-7.5,MIA,-5.5,0.90951744104664
0.96,64.5,0.1,SF,L,TB,-3.5,@ARI,-2.0,@GB,9.5,SEA,-5.0,@SD,10.5,@STL,2.5,ARI,-6.0,0.27685033919691
0.96,64.5,0.8,PHI,W,NYG,-3.5,@CHI,-3.0,HOU,-8.0,@DAL,-4.0,@NYG,3.0,MIN,-14.5,DAL,1.5,0.64769993307169
0.93,63.1,0.6,GB,W,@MIN,-3.5,@ATL,1.5,SF,-9.5,@DET,-7.0,@NE,14.0,NYG,-3.5,CHI,-11.0,0.68625101018645
0.89,70.1,27.7,DAL,W,DET,-6.5,NO,4.5,@IND,6.0,PHI,4.0,WAS,-7.0,@ARI,-7.5,@PHI,-1.5,0.36331433726936
0.88,63.3,10.3,ATL,W,@STL,-3.5,GB,-1.5,@TB,-3.0,@CAR,-9.0,@SEA,-6.5,NO,-2.5,CAR,-14.5,0.69552164890866
0.85,57.0,0.3,MIA,L,CHI,-2.5,@OAK,3.0,CLE,-5.0,@NYJ,5.0,BUF,-4.5,DET,-3.5,@NE,5.5,0.34271736108816
0.82,55.4,1.2,JAX,W,CLE,-2.0,@NYG,7.0,@TEN,3.5,OAK,-3.5,@IND,5.0,WAS,-7.0,@HOU,5.0,0.26356351002683
0.67,44.6,0.2,CLE,L,@JAX,2.0,CAR,-9.5,@MIA,5.0,@BUF,0.0,@CIN,1.0,BAL,3.5,PIT,5.5,0.21497484638313
0.64,43.0,0.8,CHI,W,@MIA,2.5,PHI,3.0,@DET,-4.5,NE,3.0,@MIN,-6.0,NYJ,-2.5,@GB,11.0,0.29326016301911
0.61,36.7,0.0,STL,L,ATL,3.5,@DEN,3.5,@ARI,-3.5,@NO,9.5,KC,-3.0,SF,-2.5,@SEA,-3.0,0.27696078507942
0.6,29.9,0.1,DET,L,@DAL,6.5,NE,7.0,CHI,4.5,GB,7.0,@TB,4.0,@MIA,3.5,MIN,-3.5,0.099144236128364
0.55,36.9,0.0,MIN,L,GB,3.5,@WAS,-1.5,BUF,-5.0,NYG,3.0,CHI,6.0,@PHI,14.5,@DET,3.5,0.15362528376891
0.53,35.5,0.1,NYG,L,@PHI,3.5,JAX,-7.0,WAS,-7.5,@MIN,-3.0,PHI,-3.0,@GB,3.5,@WAS,-4.5,0.6060444206143
0.52,35.5,0.6,TB,W,@SF,3.5,@BAL,7.5,ATL,3.0,@WAS,-1.0,DET,-4.0,SEA,-6.0,@NO,7.5,0.24642088596078
0.52,34.8,0.1,IND,L,@NE,4.0,SD,-2.0,DAL,-6.0,@TEN,-4.0,JAX,-5.0,@OAK,-2.0,TEN,-9.0,0.61021595627815
0.51,32.6,0.1,BUF,W,@CIN,5.0,PIT,6.0,@MIN,5.0,CLE,0.0,@MIA,4.5,NE,7.5,@NYJ,6.5,0.012270998865504
0.46,28.3,0.0,HOU,L,@NYJ,6.5,TEN,-6.0,@PHI,8.0,BAL,3.0,@TEN,1.0,@DEN,-2.0,JAX,-5.0,0.27969847099033
0.43,22.8,0.1,DEN,L,@SD,9.0,STL,-3.5,@KC,10.0,@ARI,-4.5,@OAK,7.5,HOU,2.0,SD,4.5,0.18412367036897
0.4,25.9,0.0,WAS,W,@TEN,7.0,MIN,1.5,@NYG,7.5,TB,1.0,@DAL,7.0,@JAX,7.0,NYG,4.5,0.0
0.4,24.9,0.0,OAK,L,@PIT,7.5,MIA,-3.0,@SD,13.0,@JAX,3.5,DEN,-7.5,IND,2.0,@KC,3.5,0.23926332998818
0.36,23.0,0.0,ARI,L,@KC,8.5,SF,2.0,STL,3.5,DEN,4.5,@CAR,2.5,DAL,7.5,@SF,6.0,0.0
0.29,17.8,0.0,SEA,L,@NO,12.0,KC,2.0,CAR,-5.0,@SF,5.0,ATL,6.5,@TB,6.0,STL,3.0,0.11434607617711
0.27,16.2,0.0,CAR,L,BAL,11.5,@CLE,9.5,@SEA,5.0,ATL,9.0,ARI,-2.5,@PIT,15.0,@ATL,14.5,0.053791982509362
