EV,W_pct,P_pct,Team,Team_Result,17,17_spread,Future_Val
1.22,81.6,3.9,NE,W,BUF,-10.0,
1.21,85.4,19.4,SF,W,@STL,-12.5,
1.14,78.8,11.2,ATL,W,TB,-10.0,
1.11,74.6,3.5,PIT,W,@CLE,-7.0,
1.09,71.9,0.7,DET,L,@GB,-6.5,
1.08,73.2,5.2,NO,W,CAR,-7.0,
0.93,74.4,35.2,PHI,W,WAS,-7.0,
0.9,60.2,2.5,NYG,W,DAL,-3.0,
0.89,58.8,0.4,BAL,W,@CIN,-2.5,
0.89,60.0,3.4,JAX,W,IND,-3.0,
0.87,57.0,0.3,MIN,L,CHI,-1.5,
0.85,56.2,0.4,ARI,W,SEA,-2.5,
0.84,55.6,1.4,OAK,L,SD,-2.5,
0.82,54.0,0.4,TEN,W,@HOU,-1.0,
0.81,53.3,0.3,MIA,W,NYJ,-2.0,
0.78,53.8,5.6,DEN,L,KC,-1.0,
0.74,46.2,0.2,KC,W,@DEN,1.0,
0.71,46.7,0.8,NYJ,L,@MIA,2.0,
0.7,46.0,0.4,HOU,L,TEN,1.0,
0.68,44.4,0.4,SD,W,@OAK,2.5,
0.66,43.8,0.6,SEA,L,@ARI,2.5,
0.65,43.0,1.2,CHI,W,@MIN,1.5,
0.63,40.0,0.2,IND,L,@JAX,3.0,
0.63,41.2,0.3,CIN,L,BAL,2.5,
0.62,39.8,0.6,DAL,L,@NYG,3.0,
0.59,25.6,0.1,WAS,L,@PHI,7.0,
0.43,26.8,0.1,CAR,L,@NO,7.0,
0.42,28.1,1.5,GB,W,DET,6.5,
0.4,25.4,0.0,CLE,L,PIT,7.0,
0.38,21.2,0.0,TB,L,@ATL,10.0,
0.3,14.6,0.0,STL,L,SF,12.5,
0.29,18.4,0.1,BUF,L,@NE,10.0,
