EV,W_pct,P_pct,Team,Team_Result,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.11,72.9,6.6,NE,W,NYJ,-7.0,MIA,-7.5,WAS,-15.5,@NYG,-8.0,BUF,-10.0,@DEN,-3.0,PHI,-9.5,@HOU,-9.5,TEN,-15.0,@NYJ,-4.5,@MIA,-7.0,1.0
1.1,70.9,3.5,SEA,W,@SF,-6.5,@DAL,-5.5,BYE,,ARI,-1.0,SF,-9.5,PIT,-5.0,@MIN,-0.5,@BAL,-3.5,CLE,-8.0,STL,-6.5,@ARI,3.5,0.46549338634346
1.06,79.9,34.7,ARI,W,BAL,-10.0,@CLE,-4.5,BYE,,@SEA,1.0,CIN,-2.0,@SF,-7.0,@STL,-3.5,MIN,-5.0,@PHI,-0.5,GB,-1.0,SEA,-3.5,0.32591481063089
1.05,67.5,3.3,IND,L,NO,-5.0,@CAR,7.0,DEN,1.0,BYE,,@ATL,3.5,TB,-8.0,@PIT,1.5,@JAX,-4.0,HOU,-5.5,@MIA,2.0,TEN,-6.5,0.29137898090901
1.03,65.9,2.6,MIA,W,HOU,-4.0,@NE,7.5,@BUF,3.0,@PHI,3.5,DAL,-5.0,@NYJ,3.5,BAL,-4.0,NYG,-3.0,@SD,1.5,IND,-2.0,NE,7.0,0.16969259265532
1.0,68.5,12.2,STL,W,CLE,-6.0,SF,-8.0,@MIN,4.0,CHI,-6.0,@BAL,1.5,@CIN,8.0,ARI,3.5,DET,-5.0,TB,-6.5,@SEA,6.5,@SF,-1.5,0.32563782881395
0.98,67.5,12.7,ATL,W,@TEN,-5.0,TB,-7.5,@SF,-5.0,BYE,,IND,-3.5,MIN,-3.5,@TB,-6.5,@CAR,2.0,@JAX,-6.5,CAR,-3.0,NO,-8.0,0.53049972754979
0.97,60.3,0.1,KC,W,PIT,-3.0,DET,-5.0,BYE,,@DEN,7.0,@SD,2.5,BUF,-0.5,@OAK,1.0,SD,-3.0,@BAL,1.5,CLE,-4.0,OAK,-3.5,0.19077981518169
0.95,60.3,1.3,NYG,W,DAL,-3.0,@NO,3.5,@TB,-3.0,NE,8.0,BYE,,@WAS,-1.5,NYJ,1.5,@MIA,3.0,CAR,1.5,@MIN,3.5,PHI,0.5,0.043574481753961
0.91,61.4,8.3,BUF,L,@JAX,-3.5,BYE,,MIA,-3.0,@NYJ,3.5,@NE,10.0,@KC,0.5,HOU,-5.0,@PHI,3.0,@WAS,-3.0,DAL,-6.5,NYJ,-1.5,0.22481894336065
0.91,61.1,7.6,SD,L,OAK,-3.5,@BAL,3.0,CHI,-5.0,BYE,,KC,-2.5,@JAX,-3.0,DEN,3.5,@KC,3.0,MIA,-1.5,@OAK,1.5,@DEN,7.0,0.12675167140078
0.91,57.8,1.1,WAS,W,TB,-3.0,BYE,,@NE,15.5,NO,-2.0,@CAR,8.0,NYG,1.5,DAL,-1.5,@CHI,2.0,BUF,3.0,@PHI,7.0,@DAL,3.0,0.03333745620853
0.88,56.4,2.1,CAR,W,PHI,-3.0,IND,-7.0,GB,3.0,@TEN,-3.5,WAS,-8.0,@DAL,-3.5,@NO,-3.5,ATL,-2.0,@NYG,-1.5,@ATL,3.0,TB,-9.5,0.44652684640633
0.83,52.2,0.2,DET,L,MIN,-1.0,@KC,5.0,BYE,,@GB,13.5,OAK,-1.5,PHI,3.5,GB,8.0,@STL,5.0,@NO,3.0,SF,-3.0,@CHI,1.5,0.040164654676375
0.75,47.8,0.7,MIN,W,@DET,1.0,@CHI,0.0,STL,-4.0,@OAK,-2.5,GB,3.5,@ATL,3.5,SEA,0.5,@ARI,5.0,CHI,-7.5,NYG,-3.5,@GB,7.0,0.21684328146314
0.7,43.6,0.1,PHI,L,@CAR,3.0,BYE,,@DAL,-3.0,MIA,-3.5,TB,-9.5,@DET,-3.5,@NE,9.5,BUF,-3.0,ARI,0.5,WAS,-7.0,@NYG,-0.5,0.36233946266721
0.68,42.2,0.1,TB,L,@WAS,3.0,@ATL,7.5,NYG,3.0,DAL,-0.5,@PHI,9.5,@IND,8.0,ATL,6.5,NO,-0.5,@STL,6.5,CHI,-3.0,@CAR,9.5,0.032652302347565
0.67,38.9,0.0,OAK,W,@SD,3.5,NYJ,1.5,@PIT,4.5,MIN,2.5,@DET,1.5,@TEN,2.0,KC,-1.0,@DEN,9.5,GB,7.0,SD,-1.5,@KC,3.5,0.014972531799402
