EV,W_pct,P_pct,Team,Team_Result,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.2,89.1,18.5,NO,W,NYJ,-16.5,ATL,-5.5,@TB,-5.0,0.49706271485087
1.12,84.6,18.0,MIN,W,CIN,-12.5,@GB,-1.0,CHI,-9.5,0.44333686866288
1.11,81.3,8.2,JAX,W,HOU,-10.5,@SF,-4.0,@TEN,0.5,0.20170457695214
1.03,74.4,2.2,PHI,W,@NYG,-7.5,OAK,-9.0,DAL,-4.0,0.59235162721073
1.01,74.4,8.3,ATL,W,@TB,-7.0,@NO,5.5,CAR,-4.0,0.1869454091905
0.92,67.6,4.7,DET,W,CHI,-5.0,@CIN,-5.0,GB,-2.0,0.31147253818547
0.91,72.6,23.3,BAL,W,@CLE,-7.0,IND,-13.5,CIN,-5.0,0.75335844194058
0.9,65.0,2.3,WAS,W,ARI,-4.0,DEN,-3.5,@NYG,-3.0,0.27997779465383
0.88,63.3,1.2,BUF,W,MIA,-3.5,@NE,12.5,@MIA,1.0,0.0
0.81,58.4,2.0,DEN,W,@IND,-3.0,@WAS,3.5,KC,3.0,0.0
0.79,56.8,0.8,DAL,W,@OAK,-2.5,SEA,-5.0,@PHI,4.0,0.24426150363172
0.79,57.4,2.5,CAR,W,GB,-3.0,TB,-10.0,@ATL,4.0,0.39070503996341
0.78,55.9,1.0,SF,W,TEN,-2.5,JAX,4.0,@LAR,9.5,0.0
0.77,55.2,0.2,NE,W,@PIT,-2.5,BUF,-12.5,NYJ,-15.0,1.0
0.71,50.5,0.1,LAC,L,@KC,-1.0,@NYJ,-6.5,OAK,-4.5,0.52326679930109
0.7,49.5,0.1,LAR,W,@SEA,1.0,@TEN,-6.5,SF,-9.5,0.68159263954037
0.7,50.5,1.4,SEA,L,LAR,-1.0,@DAL,5.0,ARI,-7.0,0.32591542002101
0.69,49.5,1.5,KC,W,LAC,1.0,MIA,-10.0,@DEN,-3.0,0.53700783066549
0.63,44.8,0.0,PIT,L,NE,2.5,@HOU,-8.5,CLE,-15.0,0.92698504036215
0.61,44.1,1.7,TEN,L,@SF,2.5,LAR,6.5,JAX,-0.5,0.010148346928625
0.61,42.6,0.1,GB,L,@CAR,3.0,MIN,1.0,@DET,2.0,0.0
0.61,43.2,0.1,OAK,L,DAL,2.5,@PHI,9.0,@LAC,4.5,0.0
0.59,41.6,0.3,IND,L,DEN,3.0,@BAL,13.5,HOU,-1.5,0.048079922100651
0.52,36.7,0.3,MIA,L,@BUF,3.5,@KC,10.0,BUF,-1.0,0.026553040971416
0.5,35.0,0.2,ARI,L,@WAS,4.0,NYG,-3.5,@SEA,7.0,0.18521803793374
0.49,27.4,0.1,CLE,L,BAL,7.0,@CHI,6.5,@PIT,15.0,0.0
0.48,32.4,0.1,CHI,L,@DET,5.0,CLE,-6.5,@MIN,9.5,0.28503459168042
0.39,25.6,0.2,TB,L,ATL,7.0,@CAR,10.0,NO,5.0,0.0
0.37,25.6,0.2,NYG,L,PHI,7.5,@ARI,3.5,WAS,3.0,0.0
0.29,18.7,0.2,HOU,L,@JAX,10.5,PIT,8.5,@IND,1.5,0.0
0.27,15.4,0.0,CIN,L,@MIN,12.5,DET,5.0,@BAL,5.0,0.0
0.2,10.9,0.1,NYJ,L,@NO,16.5,LAC,6.5,@NE,15.0,0.0
