EV,W_pct,P_pct,Team,Team_Result,18,18_spread,Future_Val
1.27,88.4,5.7,BUF,W,NYJ,-16.0,
1.24,87.4,9.8,IND,L,@JAX,-14.0,
1.17,82.4,8.1,KC,W,@DEN,-11.0,
1.15,79.9,2.9,TB,W,CAR,-10.5,
1.12,82.0,18.2,TEN,W,@HOU,-11.0,
1.01,69.7,1.7,CLE,W,CIN,-6.5,
1.0,69.3,1.2,DAL,W,@PHI,-6.5,
1.0,69.4,1.7,NE,L,@MIA,-6.0,
0.98,68.3,2.3,ARI,L,SEA,-5.5,
0.94,65.8,4.1,NO,W,@ATL,-4.5,
0.93,69.0,15.9,WAS,W,@NYG,-6.0,
0.89,61.1,1.4,LAC,L,@LV,-3.0,
0.88,60.4,0.6,LAR,L,SF,-3.5,
0.87,62.7,8.5,GB,L,@DET,-3.5,
0.86,61.7,7.3,MIN,W,CHI,-3.5,
0.84,59.1,3.8,BAL,L,PIT,-3.0,
0.61,40.9,0.4,PIT,W,@BAL,3.0,
0.59,38.3,0.3,CHI,L,@MIN,3.5,
0.58,37.3,0.4,DET,W,GB,3.5,
0.58,39.6,0.1,SF,W,@LAR,3.5,
0.57,38.9,1.1,LV,W,LAC,3.0,
0.52,31.0,1.4,NYG,L,WAS,6.0,
0.52,34.2,0.4,ATL,L,NO,4.5,
0.47,31.7,0.2,SEA,W,@ARI,5.5,
0.45,30.6,0.3,MIA,W,NE,6.0,
0.45,30.7,0.2,PHI,L,DAL,6.5,
0.44,30.3,1.1,CIN,L,@CLE,6.5,
0.33,18.0,0.3,HOU,L,TEN,11.0,
0.3,20.1,0.2,CAR,L,@TB,10.5,
0.28,17.6,0.1,DEN,L,KC,11.0,
0.21,12.6,0.2,JAX,W,IND,14.0,
0.18,11.6,0.2,NYJ,L,@BUF,16.0,
