EV,W_pct,P_pct,Team,Team_Result,17,17_spread,Future_Val
1.19,86.0,6.3,KC,W,OAK,-14.5,
1.19,85.3,5.8,NE,W,NYJ,-14.5,
1.15,83.8,10.6,PIT,W,CIN,-14.0,
1.15,85.5,18.9,SEA,W,ARI,-14.0,
1.11,79.9,4.2,LAR,W,SF,-10.5,
1.05,75.3,1.5,NO,L,CAR,-8.0,
1.03,73.8,3.9,NYG,L,DAL,-7.5,
1.03,74.4,4.4,BAL,W,CLE,-7.0,
1.03,73.8,2.1,GB,L,DET,-7.5,
1.01,73.8,7.8,HOU,W,JAX,-7.0,
1.0,71.2,0.5,LAC,W,@DEN,-7.0,
0.96,68.9,3.2,BUF,W,MIA,-5.0,
0.96,68.5,1.0,MIN,L,CHI,-6.0,
0.96,68.2,1.3,IND,W,@TEN,-4.5,
0.88,68.8,18.9,PHI,W,@WAS,-6.0,
0.81,57.4,1.1,ATL,W,@TB,-2.5,
0.6,42.6,1.2,TB,L,ATL,2.5,
0.53,31.2,0.4,WAS,L,PHI,6.0,
0.45,31.8,1.4,TEN,L,IND,4.5,
0.45,31.5,0.3,CHI,W,@MIN,6.0,
0.45,31.1,1.4,MIA,L,@BUF,5.0,
0.41,28.8,0.3,DEN,L,LAC,7.0,
0.4,26.2,0.2,JAX,L,@HOU,7.0,
0.38,26.2,0.2,DET,W,@GB,7.5,
0.38,25.6,0.4,CLE,L,@BAL,7.0,
0.38,26.2,2.0,DAL,W,@NYG,7.5,
0.35,24.7,0.1,CAR,W,@NO,8.0,
0.3,20.1,0.2,SF,L,@LAR,10.5,
0.26,14.5,0.2,ARI,L,@SEA,14.0,
0.26,16.2,0.1,CIN,L,@PIT,14.0,
0.22,14.7,0.1,NYJ,L,@NE,14.5,
0.21,14.0,0.2,OAK,L,@KC,14.5,
