EV,W_pct,P_pct,Team,Team_Result,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.29,80.8,5.1,PIT,W,@IND,-10.5,TEN,-7.0,GB,-8.0,@CIN,-4.0,BAL,-7.0,NE,0.5,@HOU,-6.0,CLE,-15.0,0.88958020238982
1.23,83.7,18.6,LAR,W,HOU,-12.0,@MIN,2.5,NO,-2.5,@ARI,-3.5,PHI,-1.5,@SEA,3.0,@TEN,1.0,SF,-10.5,0.3449153249683
1.22,76.6,4.8,CAR,W,MIA,-8.0,BYE,,@NYJ,-3.5,@NO,3.0,MIN,-3.0,GB,-6.0,TB,-6.5,@ATL,3.5,0.37343605084495
1.17,71.9,1.2,NE,W,@DEN,-7.0,@OAK,-7.0,MIA,-12.0,@BUF,-4.0,@MIA,-7.5,@PIT,-0.5,BUF,-8.0,NYJ,-13.5,1.0
1.15,70.1,0.8,SEA,W,@ARI,-6.0,ATL,-3.0,@SF,-8.0,PHI,-2.5,@JAX,-1.0,LAR,-3.0,@DAL,2.5,ARI,-8.0,0.48379525333403
1.1,67.1,0.6,JAX,W,LAC,-5.0,@CLE,-7.5,@ARI,-2.0,IND,-8.0,SEA,1.0,HOU,-6.5,@SF,-4.5,@TEN,3.0,0.57593313739768
1.1,66.7,0.9,CHI,L,GB,-4.5,DET,3.0,@PHI,9.0,SF,-4.5,@CIN,3.5,@DET,6.5,CLE,-6.5,@MIN,6.5,0.21963531536732
1.09,66.7,0.6,TEN,W,CIN,-4.5,@PIT,7.0,@IND,-4.5,HOU,-6.5,@ARI,-2.5,@SF,-6.0,LAR,-1.0,JAX,-3.0,0.44749326225153
1.06,64.0,0.1,ATL,W,DAL,-3.5,@SEA,3.0,TB,-8.0,MIN,-4.0,NO,-3.5,@TB,-4.0,@NO,1.5,CAR,-3.5,0.4734353446592
0.98,60.0,0.9,NYG,L,@SF,-3.0,KC,10.5,@WAS,5.0,@OAK,6.5,DAL,5.0,PHI,6.0,@ARI,3.5,WAS,1.5,0.0
0.92,55.7,0.3,NO,W,@BUF,-2.5,WAS,-7.5,@LAR,2.5,CAR,-3.0,@ATL,3.5,NYJ,-8.0,ATL,-1.5,@TB,-3.5,0.4807394761665
0.9,80.5,60.4,DET,W,CLE,-10.5,@CHI,-3.0,MIN,-2.0,@BAL,0.5,@TB,-1.5,CHI,-6.5,@CIN,-1.5,GB,-4.0,0.34700189482711
0.84,52.6,3.4,TB,W,NYJ,-1.0,@MIA,3.0,@ATL,8.0,@GB,3.0,DET,1.5,ATL,4.0,@CAR,6.5,NO,3.5,0.0
0.83,50.2,0.2,MIN,W,@WAS,-1.0,LAR,-2.5,@DET,2.0,@ATL,4.0,@CAR,3.0,CIN,-5.5,@GB,-2.5,CHI,-6.5,0.31597954399001
0.82,49.8,0.1,WAS,L,MIN,1.0,@NO,7.5,NYG,-5.0,@DAL,6.0,@LAC,3.0,ARI,-4.0,DEN,-3.0,@NYG,-1.5,0.26745142421871
0.82,47.4,0.6,NYJ,L,@TB,1.0,BYE,,CAR,3.5,KC,6.5,@DEN,4.0,@NO,8.0,LAC,1.0,@NE,13.5,0.0
0.75,19.5,0.0,CLE,L,@DET,10.5,JAX,7.5,@CIN,7.5,@LAC,8.0,GB,3.5,BAL,4.0,@CHI,6.5,@PIT,15.0,0.0
0.73,44.3,0.1,BUF,L,NO,2.5,@LAC,4.5,@KC,6.5,NE,4.0,IND,-7.5,MIA,-5.0,@NE,8.0,@MIA,-1.5,0.27866864981166
0.67,40.0,0.2,SF,W,NYG,3.0,BYE,,SEA,8.0,@CHI,4.5,@HOU,4.0,TEN,6.0,JAX,4.5,@LAR,10.5,0.0
0.6,36.0,0.1,DAL,L,@ATL,3.5,PHI,3.5,LAC,-6.0,WAS,-6.0,@NYG,-5.0,@OAK,-1.0,SEA,-2.5,@PHI,3.0,0.39036608070848
0.56,33.3,0.0,CIN,L,@TEN,4.5,@DEN,2.5,CLE,-7.5,PIT,4.0,CHI,-3.5,@MIN,5.5,DET,1.5,@BAL,3.0,0.21848819191262
0.55,33.3,0.5,GB,W,@CHI,4.5,BAL,2.0,@PIT,8.0,TB,-3.0,@CLE,-3.5,@CAR,6.0,MIN,2.5,@DET,4.0,0.11745685010314
0.55,32.9,0.1,LAC,L,@JAX,5.0,BUF,-4.5,@DAL,6.0,CLE,-8.0,WAS,-3.0,@KC,7.0,@NYJ,-1.0,OAK,-1.5,0.32789482256132
0.5,29.9,0.1,ARI,L,SEA,6.0,@HOU,-1.0,JAX,2.0,LAR,3.5,TEN,2.5,@WAS,4.0,NYG,-3.5,@SEA,8.0,0.079650565228331
0.48,28.1,0.0,DEN,L,NE,7.0,CIN,-2.5,@OAK,3.5,@MIA,1.5,NYJ,-4.0,@IND,-3.0,@WAS,3.0,KC,3.5,0.17873512285
0.43,23.4,0.0,MIA,L,@CAR,8.0,TB,-3.0,@NE,12.0,DEN,-1.5,NE,7.5,@BUF,5.0,@KC,9.5,BUF,1.5,0.070974621003286
0.42,16.3,0.1,HOU,L,@LAR,12.0,ARI,1.0,@BAL,4.0,@TEN,6.5,SF,-4.0,@JAX,6.5,PIT,6.0,@IND,-0.5,0.091442501573174
0.36,19.2,0.0,IND,L,PIT,10.5,BYE,,TEN,4.5,@JAX,8.0,@BUF,7.5,DEN,3.0,@BAL,6.5,HOU,0.5,0.0
,,,BAL,,BYE,,@GB,-2.0,HOU,-4.0,DET,-0.5,@PIT,7.0,@CLE,-4.0,IND,-6.5,CIN,-3.0,0.3865940833502
,,,KC,,BYE,,@NYG,-10.5,BUF,-6.5,@NYJ,-6.5,OAK,-6.5,LAC,-7.0,MIA,-9.5,@DEN,-3.5,0.94514026349593
,,,OAK,,BYE,,NE,7.0,DEN,-3.5,NYG,-6.5,@KC,6.5,DAL,1.0,@PHI,5.5,@LAC,1.5,0.20555440921873
,,,PHI,,BYE,,@DAL,-3.5,CHI,-9.0,@SEA,2.5,@LAR,1.5,@NYG,-6.0,OAK,-5.5,DAL,-3.0,0.52969302146205
