EV,W_pct,P_pct,Team,Team_Result,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.12,92.7,13.9,NE,W,NYJ,-21.0,@BUF,-7.0,@WAS,-9.5,NYG,-14.5,@NYJ,-9.5,CLE,-7.5,@BAL,-3.5,BYE,,@PHI,-2.5,DAL,-6.0,@HOU,-4.0,KC,-4.0,@CIN,-9.5,BUF,-10.5,MIA,-18.0,1.0
1.05,94.0,55.6,DAL,W,MIA,-21.5,@NO,-2.5,GB,-3.5,@NYJ,-7.0,PHI,-3.0,BYE,,@NYG,-7.0,MIN,-3.5,@DET,-4.0,@NE,6.0,BUF,-7.0,@CHI,1.5,LAR,-2.5,@PHI,3.0,WAS,-13.5,0.50758083890768
0.93,77.9,7.6,MIN,W,OAK,-9.0,@CHI,2.5,@NYG,-6.5,PHI,-2.5,@DET,-3.0,WAS,-10.0,@KC,3.5,@DAL,3.5,DEN,-8.0,BYE,,@SEA,2.5,DET,-7.0,@LAC,3.0,GB,-2.5,CHI,-3.0,0.41319070993502
0.9,75.5,8.1,GB,W,DEN,-7.5,PHI,-4.5,@DAL,3.5,DET,-7.0,OAK,-8.0,@KC,4.5,@LAC,2.5,CAR,-7.0,BYE,,@SF,0.5,@NYG,-7.0,WAS,-10.5,CHI,-3.5,@MIN,2.5,@DET,-3.5,0.53214349589948
0.87,71.8,3.9,SF,W,PIT,-6.0,BYE,,CLE,-2.0,@LAR,6.5,@WAS,-3.5,CAR,-4.0,@ARI,-4.5,SEA,-2.5,ARI,-9.5,GB,-0.5,@BAL,3.5,@NO,3.5,ATL,-3.0,LAR,2.0,@SEA,3.0,0.28630555399313
0.85,69.6,2.7,BUF,W,CIN,-6.0,NE,7.0,@TEN,3.0,BYE,,MIA,-11.0,PHI,3.0,WAS,-7.0,@CLE,5.0,@MIA,-6.5,DEN,-6.0,@DAL,7.0,BAL,0.5,@PIT,1.5,@NE,10.5,NYJ,-9.5,0.39050794513615
0.83,68.0,0.7,CHI,W,@WAS,-5.0,MIN,-2.5,OAK,-4.0,BYE,,NO,-3.0,LAC,-3.0,@PHI,3.5,DET,-7.0,@LAR,4.0,NYG,-10.5,@DET,-3.0,DAL,-1.5,@GB,3.5,KC,1.5,@MIN,3.0,0.31833808366537
0.83,67.9,1.4,SEA,L,NO,-5.0,@ARI,-5.0,LAR,1.0,@CLE,3.0,BAL,-3.0,@ATL,1.5,TB,-7.0,@SF,2.5,BYE,,@PHI,3.5,MIN,-2.5,@LAR,5.5,@CAR,-2.5,ARI,-10.5,SF,-3.0,0.31269784186338
0.82,67.6,1.9,TB,L,NYG,-5.0,@LAR,10.0,@NO,6.5,CAR,-2.0,BYE,,@TEN,4.0,@SEA,7.0,ARI,-6.0,NO,3.0,@ATL,6.5,@JAX,3.0,IND,1.0,@DET,3.0,HOU,3.0,ATL,2.5,0.073072476426674
0.82,66.9,0.4,KC,W,BAL,-5.0,@DET,-6.0,IND,-7.0,HOU,-6.5,@DEN,-6.5,GB,-4.5,MIN,-3.5,@TEN,-4.0,LAC,-1.5,BYE,,OAK,-10.5,@NE,4.0,DEN,-11.0,@CHI,-1.5,LAC,-4.0,0.67058963812757
0.8,65.7,0.8,LAR,W,@CLE,-4.0,TB,-10.0,@SEA,-1.0,SF,-6.5,@ATL,-2.0,CIN,-12.0,BYE,,@PIT,-4.0,CHI,-4.0,BAL,-5.5,@ARI,-8.0,SEA,-5.5,@DAL,2.5,@SF,-2.0,ARI,-13.5,0.69690111944106
0.8,65.7,1.1,PHI,L,DET,-4.0,@GB,4.5,NYJ,-10.5,@MIN,2.5,@DAL,3.0,@BUF,-3.0,CHI,-3.5,BYE,,NE,2.5,SEA,-3.5,@MIA,-10.0,NYG,-10.5,@WAS,-6.5,DAL,-3.0,@NYG,-7.5,0.56453732430375
0.74,60.2,0.1,LAC,L,HOU,-3.0,@MIA,-16.5,DEN,-8.0,PIT,-7.0,@TEN,-1.0,@CHI,3.0,GB,-2.5,@OAK,-4.0,KC,1.5,BYE,,@DEN,-3.5,@JAX,-3.5,MIN,-3.0,OAK,-7.5,@KC,4.0,0.51905156572691
0.68,55.7,0.4,ARI,L,CAR,-2.5,SEA,5.0,@CIN,3.0,ATL,4.0,@NYG,3.0,@NO,10.0,SF,4.5,@TB,6.0,@SF,9.5,BYE,,LAR,8.0,PIT,3.0,CLE,6.0,@SEA,10.5,@LAR,13.5,0.0
0.66,53.9,0.4,TEN,L,@JAX,-1.5,@ATL,4.0,BUF,-3.0,@DEN,-1.5,LAC,1.0,TB,-4.0,@CAR,1.5,KC,4.0,BYE,,JAX,-4.0,@IND,3.5,@OAK,-0.5,HOU,-0.5,NO,1.0,@HOU,4.0,0.13161859173262
0.65,52.8,0.2,IND,W,ATL,-1.5,OAK,-7.0,@KC,7.0,BYE,,HOU,-1.5,DEN,-6.5,@PIT,0.5,MIA,-13.5,JAX,-6.0,@HOU,3.5,TEN,-3.5,@TB,-1.0,@NO,4.0,CAR,-4.0,@JAX,-1.5,0.42915845165508
0.58,47.2,0.3,ATL,L,@IND,1.5,TEN,-4.0,@HOU,3.0,@ARI,-4.0,LAR,2.0,SEA,-1.5,BYE,,@NO,3.5,@CAR,-1.0,TB,-6.5,NO,-1.5,CAR,-5.5,@SF,3.0,JAX,-6.5,@TB,-2.5,0.33185102264447
0.57,46.1,0.1,JAX,W,TEN,1.5,@DEN,3.5,@CAR,3.0,NO,3.5,@CIN,-1.5,NYJ,-5.0,HOU,3.0,BYE,,@IND,6.0,@TEN,4.0,TB,-3.0,LAC,3.5,@OAK,2.5,@ATL,6.5,IND,1.5,0.084468563841168
0.55,44.3,0.1,CAR,W,@ARI,2.5,@HOU,4.0,JAX,-3.0,TB,2.0,BYE,,@SF,4.0,TEN,-1.5,@GB,7.0,ATL,1.0,@NO,6.5,WAS,-6.0,@ATL,5.5,SEA,2.5,@IND,4.0,NO,2.0,0.10277643080712
0.49,39.8,0.0,HOU,W,@LAC,3.0,CAR,-4.0,ATL,-3.0,@KC,6.5,@IND,1.5,OAK,-7.0,JAX,-3.0,BYE,,@BAL,3.0,IND,-3.5,NE,4.0,DEN,-7.0,@TEN,0.5,@TB,-3.0,TEN,-4.0,0.35857010709721
0.43,34.3,0.0,DET,W,@PHI,4.0,KC,6.0,BYE,,@GB,7.0,MIN,3.0,NYG,-6.0,@OAK,2.0,@CHI,7.0,DAL,4.0,@WAS,-1.5,CHI,3.0,@MIN,7.0,TB,-3.0,@DEN,1.5,GB,3.5,0.093529533317471
0.42,34.3,0.0,CLE,L,LAR,4.0,@BAL,7.0,@SF,2.0,SEA,-3.0,BYE,,@NE,7.5,@DEN,-3.5,BUF,-5.0,PIT,-6.5,MIA,-14.0,@PIT,-2.5,CIN,-9.5,@ARI,-6.0,BAL,-3.0,@CIN,-6.5,0.55432337680788
0.41,33.1,0.0,BAL,L,@KC,5.0,CLE,-7.0,@PIT,-2.5,CIN,-9.5,@SEA,3.0,BYE,,NE,3.5,@CIN,-4.0,HOU,-3.0,@LAR,5.5,SF,-3.5,@BUF,-0.5,NYJ,-9.5,@CLE,3.0,PIT,-7.0,0.45200741820729
0.41,32.4,0.0,NYG,W,@TB,5.0,WAS,-3.0,MIN,6.5,@NE,14.5,ARI,-3.0,@DET,6.0,DAL,7.0,@NYJ,3.0,BYE,,@CHI,10.5,GB,7.0,@PHI,10.5,MIA,-7.0,@WAS,3.0,PHI,7.5,0.123258367923
0.4,32.1,0.0,NO,W,@SEA,5.0,DAL,2.5,TB,-6.5,@JAX,-3.5,@CHI,3.0,ARI,-10.0,BYE,,ATL,-3.5,@TB,-3.0,CAR,-6.5,@ATL,1.5,SF,-3.5,IND,-4.0,@TEN,-1.0,@CAR,-2.0,0.42343384046207
0.4,32.0,0.0,WAS,L,CHI,5.0,@NYG,3.0,NE,9.5,@MIA,-3.5,SF,3.5,@MIN,10.0,@BUF,7.0,BYE,,NYJ,-3.0,DET,1.5,@CAR,6.0,@GB,10.5,PHI,6.5,NYG,-3.0,@DAL,13.5,0.095272523163778
0.38,30.4,0.0,CIN,L,@BUF,6.0,@PIT,4.5,ARI,-3.0,@BAL,9.5,JAX,1.5,LAR,12.0,BYE,,BAL,4.0,@OAK,4.5,PIT,2.5,NYJ,-3.0,@CLE,9.5,NE,9.5,@MIA,-4.0,CLE,6.5,0.090513553757177
0.36,28.2,0.0,PIT,L,@SF,6.0,CIN,-4.5,BAL,2.5,@LAC,7.0,BYE,,MIA,-11.5,IND,-0.5,LAR,4.0,@CLE,6.5,@CIN,-2.5,CLE,2.5,@ARI,-3.0,BUF,-1.5,@NYJ,-3.0,@BAL,7.0,0.23297924751057
0.33,24.5,0.0,DEN,L,@GB,7.5,JAX,-3.5,@LAC,8.0,TEN,1.5,KC,6.5,@IND,6.5,CLE,3.5,BYE,,@MIN,8.0,@BUF,6.0,LAC,3.5,@HOU,7.0,@KC,11.0,DET,-1.5,OAK,-1.0,0.05322466305679
0.3,22.1,0.0,OAK,L,@MIN,9.0,@IND,7.0,CHI,4.0,BYE,,@GB,8.0,@HOU,7.0,DET,-2.0,LAC,4.0,CIN,-4.5,@NYJ,-1.5,@KC,10.5,TEN,0.5,JAX,-2.5,@LAC,7.5,@DEN,1.0,0.092756762280204
0.18,6.0,0.1,MIA,L,@DAL,21.5,LAC,16.5,BYE,,WAS,3.5,@BUF,11.0,@PIT,11.5,NYJ,3.5,@IND,13.5,BUF,6.5,@CLE,14.0,PHI,10.0,@NYJ,7.0,@NYG,7.0,CIN,4.0,@NE,18.0,0.0
