EV,W_pct,P_pct,Team,Team_Result,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.21,80.5,5.5,DEN,L,SD,-10.0,@HOU,-10.0,@OAK,-10.0,0.96765477926768
1.19,78.1,1.8,SEA,W,@NYG,-9.5,ARI,-8.0,STL,-13.0,1.0
1.08,78.7,24.4,CAR,W,NYJ,-10.0,NO,-3.5,@ATL,-4.5,0.46824866955765
1.06,71.4,4.7,NO,L,@STL,-6.5,@CAR,3.5,TB,-11.0,0.49987984555204
1.05,70.5,4.1,IND,W,HOU,-6.0,@KC,7.5,JAX,-11.0,0.51037718889782
1.03,70.5,8.5,KC,W,@OAK,-6.0,IND,-7.5,@SD,10.5,0.40935453268429
1.03,67.6,0.6,DAL,L,GB,-5.0,@WAS,-3.0,PHI,7.0,0.17450613920852
1.01,68.0,6.0,ATL,W,WAS,-5.5,@SF,14.0,CAR,4.5,0.0
1.0,66.7,3.0,DET,L,BAL,-4.5,NYG,-9.5,@MIN,-1.5,0.53688235820585
1.0,67.0,4.5,SF,W,@TB,-4.5,ATL,-14.0,@ARI,3.0,0.60391373129296
0.98,71.4,20.4,PHI,L,@MIN,-6.5,CHI,-2.5,@DAL,-7.0,0.47888356101661
0.96,64.5,4.7,BUF,W,@JAX,-4.0,MIA,-1.0,@NE,7.5,0.014832396465348
0.88,57.8,0.7,ARI,W,@TEN,-2.5,@SEA,8.0,SF,-3.0,0.11696867262322
0.86,55.9,0.2,MIA,W,NE,-2.5,@BUF,1.0,NYJ,-7.5,0.36020964919186
0.81,53.1,1.0,CIN,L,@PIT,-2.0,MIN,-7.5,BAL,-6.5,0.7569141005054
0.79,50.5,1.3,CLE,L,CHI,-1.0,@NYJ,2.5,@PIT,9.5,0.0
0.73,49.5,4.9,CHI,W,@CLE,1.0,@PHI,2.5,GB,3.0,0.0
0.72,46.9,0.3,PIT,W,CIN,2.0,@GB,-1.0,CLE,-9.5,0.4489427645454
0.67,44.1,0.7,NE,L,@MIA,2.5,@BAL,-1.0,BUF,-7.5,0.40997102952592
0.65,42.2,0.6,TEN,L,ARI,2.5,@JAX,-4.0,HOU,-7.0,0.59364281843994
0.57,35.5,0.7,JAX,L,BUF,4.0,TEN,4.0,@IND,11.0,0.0
0.55,28.6,0.6,MIN,W,PHI,6.5,@CIN,7.5,DET,1.5,0.0
0.53,33.0,0.0,TB,L,SF,4.5,@STL,3.5,@NO,11.0,0.0
0.53,33.3,0.1,BAL,W,@DET,4.5,NE,1.0,@CIN,6.5,0.0
0.52,32.0,0.1,WAS,L,@ATL,5.5,DAL,3.0,@NYG,3.5,0.0
0.5,32.4,0.2,GB,W,@DAL,5.0,PIT,1.0,@CHI,-3.0,0.11809764499213
0.5,29.5,0.1,OAK,L,KC,6.0,@SD,10.0,DEN,10.0,0.0
0.47,29.5,0.0,HOU,L,@IND,6.0,DEN,10.0,@TEN,7.0,0.0
0.46,28.6,0.0,STL,W,NO,6.5,TB,-3.5,@SEA,13.0,0.1869912770704
0.45,21.3,0.2,NYJ,L,@CAR,10.0,CLE,-2.5,@MIA,7.5,0.082957746550482
0.34,21.9,0.1,NYG,L,SEA,9.5,@DET,9.5,WAS,-3.5,0.20114936755623
0.32,19.5,0.1,SD,W,@DEN,10.0,OAK,-10.0,KC,-10.5,0.98165938043809
