EV,W_pct,P_pct,Team,Team_Result,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.11,73.7,3.0,LAR,W,MIN,-7.0,@SEA,-7.0,@DEN,-6.5,@SF,-9.5,GB,-6.5,@NO,-2.5,SEA,-10.5,KC,-6.0,BYE,,@DET,-7.0,@CHI,-5.0,PHI,-4.0,@ARI,-13.5,SF,-14.0,1.0
1.07,72.3,4.4,NE,W,MIA,-6.5,IND,-10.5,KC,-3.0,@CHI,-3.0,@BUF,-9.0,GB,-3.5,@TEN,-4.0,BYE,,@NYJ,-7.0,MIN,-3.5,@MIA,-3.5,@PIT,1.0,BUF,-13.5,NYJ,-11.0,0.77386515891427
1.04,79.5,30.9,LAC,W,SF,-10.0,OAK,-5.5,@CLE,-3.5,TEN,-6.5,BYE,,@SEA,-3.0,@OAK,-4.0,DEN,-5.0,ARI,-13.0,@PIT,3.0,CIN,-3.5,@KC,3.5,BAL,-3.0,@DEN,-1.5,0.54717758809275
1.01,75.3,21.8,JAX,W,NYJ,-7.5,@KC,3.0,@DAL,-3.5,HOU,-8.0,PHI,-2.5,BYE,,@IND,-5.0,PIT,-3.5,@BUF,-8.0,IND,-9.5,@TEN,-3.5,WAS,-7.0,@MIA,-3.0,@HOU,-4.0,0.66760804289106
1.01,75.2,22.0,GB,W,BUF,-8.5,@DET,-1.0,SF,-10.0,BYE,,@LAR,6.5,@NE,3.5,MIA,-6.5,@SEA,-3.5,@MIN,3.0,ARI,-13.5,ATL,-3.5,@CHI,-2.0,@NYJ,-6.5,DET,-7.0,0.58062195008252
0.95,64.1,3.2,SEA,W,@ARI,-3.5,LAR,7.0,@OAK,-0.5,BYE,,@DET,3.0,LAC,3.0,@LAR,10.5,GB,3.5,@CAR,6.0,SF,-5.5,MIN,3.5,@SF,-2.0,KC,3.5,ARI,-8.0,0.18061455306973
0.94,62.9,2.4,ATL,L,CIN,-3.5,@PIT,3.0,TB,-4.5,NYG,-7.0,BYE,,@WAS,-2.5,@CLE,-3.5,DAL,-6.5,@NO,3.5,BAL,-3.0,@GB,3.5,ARI,-13.5,@CAR,2.0,@TB,-1.0,0.44205263257068
0.94,62.5,1.9,KC,W,@DEN,-3.5,JAX,-3.0,@NE,3.0,CIN,-5.5,DEN,-7.0,@CLE,-4.5,ARI,-13.5,@LAR,6.0,BYE,,@OAK,-5.5,BAL,-3.5,LAC,-3.5,@SEA,-3.5,OAK,-9.5,0.67428925358472
0.93,61.1,0.4,PIT,L,BAL,-3.0,ATL,-3.0,@CIN,-0.5,BYE,,CLE,-7.0,@BAL,2.0,CAR,-3.5,@JAX,3.5,@DEN,-2.5,LAC,-3.0,@OAK,-4.5,NE,-1.0,@NO,3.0,CIN,-4.0,0.33268364375652
0.92,61.2,1.8,NO,W,@NYG,-3.5,WAS,-6.5,BYE,,@BAL,1.0,@MIN,2.5,LAR,2.5,@CIN,-2.0,PHI,-2.0,ATL,-3.5,@DAL,-3.5,@TB,-3.0,@CAR,0.5,PIT,-3.0,CAR,-4.0,0.31069602967113
0.87,57.4,0.6,CHI,W,TB,-3.0,BYE,,@MIA,2.0,NE,3.0,NYJ,-7.0,@BUF,-4.0,DET,-4.0,MIN,1.5,@DET,0.5,@NYG,-1.5,LAR,5.0,GB,2.0,@SF,-3.5,@MIN,4.5,0.24272842298949
0.85,57.2,2.4,PHI,L,@TEN,-3.0,MIN,-3.0,@NYG,-4.5,CAR,-4.5,@JAX,2.5,BYE,,DAL,-8.0,@NO,2.0,NYG,-9.5,WAS,-7.5,@DAL,-4.0,@LAR,4.0,HOU,-8.0,@WAS,-3.5,0.63218065343879
0.85,55.8,0.8,DAL,W,DET,-2.5,@HOU,3.5,JAX,3.5,@WAS,3.0,BYE,,TEN,-3.0,@PHI,8.0,@ATL,6.5,WAS,-2.0,NO,3.5,PHI,4.0,@IND,1.5,TB,-1.5,@NYG,2.0,0.05309578372396
0.84,55.7,1.3,OAK,W,CLE,-2.5,@LAC,5.5,SEA,0.5,BYE,,IND,-1.0,@SF,2.0,LAC,4.0,@ARI,-3.0,@BAL,8.0,KC,5.5,PIT,4.5,@CIN,6.5,DEN,1.5,@KC,9.5,0.041383231712686
0.77,50.5,0.3,HOU,W,@IND,-1.0,DAL,-3.5,BUF,-6.5,@JAX,8.0,MIA,-1.5,@DEN,3.0,BYE,,@WAS,3.0,TEN,-3.0,CLE,-3.0,IND,-3.0,@NYJ,-1.5,@PHI,8.0,JAX,4.0,0.22554295865882
0.75,49.5,1.0,IND,L,HOU,1.0,@NE,10.5,@NYJ,0.5,BUF,-5.0,@OAK,1.0,BYE,,JAX,5.0,TEN,-1.5,MIA,0.5,@JAX,9.5,@HOU,3.0,DAL,-1.5,NYG,-2.5,@TEN,3.5,0.10837961482327
0.68,44.3,0.5,CLE,L,@OAK,2.5,BAL,3.0,LAC,3.5,@TB,4.0,@PIT,7.0,KC,4.5,ATL,3.5,BYE,,@CIN,6.0,@HOU,3.0,CAR,3.0,@DEN,3.5,CIN,2.0,@BAL,7.0,0.0
0.68,44.2,0.3,DET,L,@DAL,2.5,GB,1.0,BYE,,@MIA,3.5,SEA,-3.0,@MIN,7.0,@CHI,4.0,CAR,2.5,CHI,-0.5,LAR,7.0,@ARI,-4.0,@BUF,-3.0,MIN,3.5,@GB,7.0,0.1182950729678
0.67,42.8,0.0,TEN,W,PHI,3.0,@BUF,-3.5,BAL,3.0,@LAC,6.5,BYE,,@DAL,3.0,NE,4.0,@IND,1.5,@HOU,3.0,NYJ,-4.5,JAX,3.5,@NYG,2.0,WAS,-2.5,IND,-3.5,0.162058604186
0.65,42.6,0.2,TB,L,@CHI,3.0,BYE,,@ATL,4.5,CLE,-4.0,@CIN,3.0,@CAR,3.5,WAS,-3.0,@NYG,-1.0,SF,-7.0,CAR,-1.0,NO,3.0,@BAL,4.0,@DAL,1.5,ATL,1.0,0.18195389345063
0.6,38.8,0.1,NYG,L,NO,3.5,@CAR,7.0,PHI,4.5,@ATL,7.0,WAS,-1.5,BYE,,@SF,-1.0,TB,1.0,@PHI,9.5,CHI,1.5,@WAS,3.5,TEN,-2.0,@IND,2.5,DAL,-2.0,0.049637955324573
0.59,38.9,0.1,BAL,W,@PIT,3.0,@CLE,-3.0,@TEN,-3.0,NO,-1.0,@CAR,2.5,PIT,-2.0,BYE,,CIN,-3.5,OAK,-8.0,@ATL,3.0,@KC,3.5,TB,-4.0,@LAC,3.0,CLE,-7.0,0.34943993944822
0.58,37.5,0.1,DEN,L,KC,3.5,@NYJ,1.0,LAR,6.5,@ARI,-5.0,@KC,7.0,HOU,-3.0,BYE,,@LAC,5.0,PIT,2.5,@CIN,3.5,@SF,-3.0,CLE,-3.5,@OAK,-1.5,LAC,1.5,0.18397565192674
0.58,37.1,0.1,CIN,W,@ATL,3.5,MIA,-6.5,PIT,0.5,@KC,5.5,TB,-3.0,BYE,,NO,2.0,@BAL,3.5,CLE,-6.0,DEN,-3.5,@LAC,3.5,OAK,-6.5,@CLE,-2.0,@PIT,4.0,0.30955660402168
