EV,W_pct,P_pct,Team,Team_Result,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.37,78.6,0.8,DAL,W,SEA,-9.0,PHI,-3.5,@BUF,0.5,@MIA,2.5,DET,-3.5,@WAS,-7.0,0.3283003612763
1.33,77.2,1.9,MIA,W,@WAS,-8.5,TEN,-13.5,NYJ,-13.5,DAL,-2.5,@BAL,3.0,BUF,-3.5,0.60763241618639
1.18,68.4,1.4,KC,L,@GB,-5.5,BUF,-2.5,@NE,-4.0,LV,-7.0,CIN,-4.0,@LAC,0.5,0.40961949425194
1.1,63.5,0.5,DET,W,@NO,-4.0,@CHI,-3.0,DEN,-6.5,@MIN,-3.5,@DAL,3.5,MIN,-7.0,0.44811365624215
1.1,79.0,31.9,JAX,L,CIN,-10.0,@CLE,3.0,BAL,1.0,@TB,-3.5,CAR,-10.5,@TEN,-3.5,0.37788924728412
1.07,61.7,0.7,HOU,W,DEN,-3.0,@NYJ,-6.5,@TEN,1.0,CLE,-3.0,TEN,-3.5,@IND,2.0,0.27808355775872
1.06,63.2,3.0,LAR,W,CLE,-3.5,@BAL,7.5,WAS,-5.5,NO,-2.0,@NYG,-6.5,@SF,9.5,0.29303771717101
1.04,65.6,8.3,LAC,W,@NE,-4.5,DEN,-3.0,@LV,-2.0,BUF,-1.0,@DEN,-0.5,KC,-0.5,0.11106540371124
1.03,58.7,0.0,SF,W,@PHI,-3.0,SEA,-10.5,@ARI,-14.5,BAL,-3.5,@WAS,-10.5,LAR,-9.5,1.0
0.98,70.2,25.2,PIT,L,ARI,-6.0,NE,-6.0,@IND,0.5,CIN,-1.5,@SEA,3.0,@BAL,7.0,0.15907835453843
0.95,54.5,0.6,ATL,W,@NYJ,-2.0,TB,-2.5,@CAR,-3.0,IND,-3.0,@CHI,-2.0,@NO,3.5,0.19621728540603
0.92,52.7,0.3,IND,W,@TEN,-1.0,@CIN,-1.0,PIT,-0.5,@ATL,3.0,LV,-3.0,HOU,-2.0,0.08516761647406
0.91,37.9,0.0,CAR,L,@TB,3.5,@NO,6.0,ATL,3.0,GB,2.5,@JAX,10.5,TB,1.5,0.0
0.84,62.1,24.4,TB,W,CAR,-3.5,@ATL,2.5,@GB,3.0,JAX,3.5,NO,1.5,@CAR,-1.5,0.022831874301866
0.83,47.3,0.2,TEN,L,IND,1.0,@MIA,13.5,HOU,-1.0,SEA,1.0,@HOU,3.5,JAX,3.5,0.016529634808703
0.8,45.5,0.2,NYJ,L,ATL,2.0,HOU,6.5,@MIA,13.5,WAS,-1.5,@CLE,4.5,@NE,3.5,0.018427565613559
0.77,29.8,0.0,ARI,W,@PIT,6.0,BYE,,SF,14.5,@CHI,3.0,@PHI,14.0,SEA,3.5,0.0
0.72,41.3,0.1,PHI,L,SF,3.0,@DAL,3.5,@SEA,-3.0,NYG,-18.5,ARI,-14.0,@NYG,-15.5,0.90447054695394
0.71,34.4,0.1,NE,L,LAC,4.5,@PIT,6.0,KC,4.0,@DEN,4.0,@BUF,8.0,NYJ,-3.5,0.089066772341644
0.69,36.8,0.0,CLE,L,@LAR,3.5,JAX,-3.0,CHI,-4.0,@HOU,3.0,NYJ,-4.5,@CIN,5.0,0.27649666993092
0.68,38.3,0.2,DEN,L,@HOU,3.0,@LAC,3.0,@DET,6.5,NE,-4.0,LAC,0.5,@LV,1.5,0.10324860857191
0.65,21.0,0.1,CIN,W,@JAX,10.0,IND,1.0,MIN,-4.0,@PIT,1.5,@KC,4.0,CLE,-5.0,0.22398631427849
0.65,36.5,0.1,NO,L,DET,4.0,CAR,-6.0,NYG,-11.0,@LAR,2.0,@TB,-1.5,ATL,-3.5,0.45859020652309
0.57,31.6,0.0,GB,W,KC,5.5,@NYG,-6.5,TB,-3.0,@CAR,-2.5,@MIN,3.0,CHI,-5.0,0.36956751465043
0.42,22.8,0.0,WAS,L,MIA,8.5,BYE,,@LAR,5.5,@NYJ,1.5,SF,10.5,DAL,7.0,0.0
0.38,21.4,0.0,SEA,L,@DAL,9.0,@SF,10.5,PHI,3.0,@TEN,-1.0,PIT,-3.0,@ARI,-3.5,0.12908322077988
,,0.0,BAL,,BYE,,LAR,-7.5,@JAX,-1.0,@SF,3.5,MIA,-3.0,PIT,-7.0,0.41635765270019
,,0.0,BUF,,BYE,,@KC,2.5,DAL,-0.5,@LAC,1.0,NE,-8.0,@MIA,3.5,0.18471060218746
,,0.0,CHI,,BYE,,DET,3.0,@CLE,4.0,ARI,-3.0,ATL,2.0,@GB,5.0,0.06331685855828
,,0.0,MIN,,BYE,,@LV,-3.0,@CIN,4.0,DET,3.5,GB,-3.0,@DET,7.0,0.12006163275336
,,0.0,NYG,,BYE,,GB,6.5,@NO,11.0,@PHI,18.5,LAR,6.5,PHI,15.5,0.0
,,0.0,LV,,BYE,,MIN,3.0,LAC,2.0,@KC,7.0,@IND,3.0,DEN,-1.5,0.017707093922791
