EV,W_pct,P_pct,Team,Team_Result,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.12,78.9,13.0,BUF,W,GB,-10.5,@NYJ,-13.0,MIN,-7.5,CLE,-14.0,@DET,-13.5,@NE,-7.5,NYJ,-14.0,MIA,-9.5,@CHI,-14.5,@CIN,-3.0,NE,-11.5,1.0
1.09,81.5,26.9,PHI,W,PIT,-11.0,@HOU,-13.5,WAS,-10.0,@IND,-6.0,GB,-5.0,TEN,-7.0,@NYG,-4.5,@CHI,-7.0,@DAL,-0.5,NO,-9.5,NYG,-9.0,0.73017230041011
1.03,78.8,29.3,DAL,W,CHI,-10.5,BYE,,@GB,1.0,@MIN,3.0,NYG,-6.5,IND,-7.0,HOU,-10.5,@JAX,-3.5,PHI,0.5,@TEN,-1.5,@WAS,-3.5,0.32815740510098
0.98,66.2,2.3,MIN,W,ARI,-4.0,@WAS,-3.5,@BUF,7.5,DAL,-3.0,NE,-6.0,NYJ,-7.0,@DET,-5.5,IND,-7.0,NYG,-6.5,@GB,1.5,@CHI,-6.0,0.46491822806078
0.95,65.2,4.0,ATL,W,CAR,-4.0,LAC,3.0,@CAR,0.5,CHI,-3.5,@WAS,3.0,PIT,-3.5,BYE,,@NO,3.0,@BAL,9.5,ARI,-1.0,TB,3.5,0.074683130549801
0.93,62.1,0.6,SEA,W,NYG,-3.0,@ARI,1.5,@TB,6.5,BYE,,LV,-0.5,@LAR,6.5,CAR,-4.0,SF,3.0,@KC,10.5,NYJ,-2.5,LAR,3.0,0.068551325107075
0.91,63.8,7.6,MIA,W,@DET,-3.5,@CHI,-4.5,CLE,-6.0,BYE,,HOU,-10.0,@SF,3.5,@LAC,2.0,@BUF,9.5,GB,-2.5,@NE,1.0,NYJ,-6.0,0.2948646025024
0.9,61.0,2.4,CIN,L,@CLE,-3.0,CAR,-7.0,BYE,,@PIT,-6.5,@TEN,-3.0,KC,-0.5,CLE,-6.5,@TB,1.0,@NE,-3.0,BUF,3.0,BAL,-3.0,0.30000374152704
0.88,59.0,1.3,NE,W,@NYJ,-3.0,IND,-6.0,BYE,,NYJ,-3.5,@MIN,6.0,BUF,7.5,@ARI,3.0,@LV,3.0,CIN,3.0,MIA,-1.0,@BUF,11.5,0.10432369576383
0.87,58.9,1.4,IND,L,WAS,-3.0,@NE,6.0,@LV,4.5,PHI,6.0,PIT,-3.5,@DAL,7.0,BYE,,@MIN,7.0,LAC,1.5,@NYG,3.5,HOU,-5.5,0.093001248586587
0.8,53.6,0.6,TB,L,BAL,-1.0,LAR,-3.0,SEA,-6.5,BYE,,@CLE,-2.0,NO,-7.0,@SF,2.5,CIN,-1.0,@ARI,-2.5,CAR,-10.0,@ATL,-3.5,0.34375805647351
0.79,52.8,0.8,LV,L,@NO,-1.0,@JAX,-1.0,IND,-4.5,@DEN,1.0,@SEA,0.5,LAC,-2.5,@LAR,4.0,NE,-3.0,@PIT,-2.5,SF,0.5,KC,3.5,0.13149085085985
0.78,52.0,0.2,LAR,L,SF,-1.0,@TB,3.0,ARI,-5.0,@NO,-3.0,@KC,6.5,SEA,-6.5,LV,-4.0,@GB,3.0,DEN,-6.0,@LAC,1.0,@SEA,-3.0,0.27467147173177
0.76,50.0,0.7,JAX,L,DEN,-1.0,LV,1.0,@KC,10.5,BYE,,BAL,4.0,@DET,1.0,@TEN,4.0,DAL,3.5,@NYJ,3.0,@HOU,-2.0,TEN,1.0,0.014704039717422
0.75,52.2,4.5,TEN,W,@HOU,-1.0,@KC,11.5,DEN,-3.5,@GB,3.5,CIN,3.0,@PHI,7.0,JAX,-4.0,@LAC,3.0,HOU,-7.5,DAL,1.5,@JAX,-1.0,0.17203268756965
0.75,47.8,0.1,HOU,L,TEN,1.0,PHI,13.5,@NYG,7.0,WAS,1.5,@MIA,10.0,CLE,3.5,@DAL,10.5,KC,11.5,@TEN,7.5,JAX,2.0,@IND,5.5,0.0
0.74,50.0,1.7,DEN,W,JAX,1.0,BYE,,@TEN,3.5,LV,-1.0,@CAR,-2.0,@BAL,7.5,KC,6.0,ARI,-2.5,@LAR,6.0,@KC,9.5,LAC,-0.5,0.040840596518466
0.72,48.0,0.2,SF,W,@LAR,1.0,BYE,,LAC,-4.0,ARI,-3.0,NO,-6.5,MIA,-3.5,TB,-2.5,@SEA,-3.0,WAS,-7.0,@LV,-0.5,ARI,-6.0,0.365912026948
0.71,47.2,0.1,NO,W,LV,1.0,BAL,3.0,@PIT,1.5,LAR,3.0,@SF,6.5,@TB,7.0,BYE,,ATL,-3.0,@CLE,4.0,@PHI,9.5,CAR,-4.5,0.084940381016497
