EV,W_pct,P_pct,Team,Team_Result,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.17,80.5,12.9,SEA,W,DET,-10.0,@CIN,3.0,CAR,-4.0,@SF,-6.5,@DAL,-3.5,BYE,,ARI,-3.0,SF,-10.5,PIT,-7.0,@MIN,-1.5,@BAL,-3.0,CLE,-11.0,STL,-9.5,@ARI,3.0,0.65295858541745
1.08,75.2,12.7,GB,W,@SF,-7.5,STL,-10.0,SD,-7.5,BYE,,@DEN,1.5,@CAR,-3.0,DET,-11.0,@MIN,-3.5,CHI,-15.0,@DET,-7.0,DAL,-9.5,@OAK,-6.5,@ARI,1.0,MIN,-7.0,0.85924018317052
1.08,72.3,5.8,DEN,W,MIN,-6.5,@OAK,-4.5,@CLE,-7.0,BYE,,GB,-1.5,@IND,-0.5,KC,-4.5,@CHI,-9.5,NE,-0.5,@SD,-3.0,OAK,-9.5,@PIT,-3.5,CIN,-3.0,SD,-7.0,0.60159372439321
1.06,69.7,2.1,BUF,L,NYG,-6.0,@TEN,-2.5,CIN,-1.0,@JAX,-8.0,BYE,,MIA,-6.5,@NYJ,-2.0,@NE,6.0,@KC,1.5,HOU,-7.0,@PHI,2.0,@WAS,-6.0,DAL,-6.5,NYJ,-6.0,0.49651460910332
1.03,72.9,14.8,ARI,L,STL,-7.5,@DET,-3.0,@PIT,-3.5,BAL,-7.0,@CLE,-7.5,BYE,,@SEA,3.0,CIN,-3.0,@SF,-7.0,@STL,-6.5,MIN,-6.5,@PHI,-0.5,GB,-1.0,SEA,-3.0,0.51467907683987
0.96,66.6,9.8,ATL,W,HOU,-4.0,WAS,-7.5,@NO,-4.5,@TEN,-4.0,TB,-10.0,@SF,-4.5,BYE,,IND,-3.0,MIN,-3.5,@TB,-6.5,@CAR,2.0,@JAX,-7.5,CAR,-3.0,NO,-9.5,0.71522632674461
0.96,69.1,17.2,SD,W,CLE,-5.0,PIT,-3.0,@GB,7.5,OAK,-4.0,@BAL,2.5,CHI,-9.5,BYE,,KC,-1.5,@JAX,-6.0,DEN,3.0,@KC,3.5,MIA,-3.5,@OAK,0.5,@DEN,7.0,0.31207647400186
0.93,61.4,1.2,CIN,W,KC,-3.5,SEA,-3.0,@BUF,1.0,BYE,,@PIT,-3.5,CLE,-12.0,HOU,-8.0,@ARI,3.0,STL,-10.0,@CLE,-7.5,PIT,-7.0,@SF,-7.0,@DEN,3.0,BAL,-7.0,0.72525493797021
0.9,60.0,2.8,OAK,L,@CHI,-3.0,DEN,4.5,BYE,,@SD,4.0,NYJ,-0.5,@PIT,3.5,MIN,2.0,@DET,1.5,@TEN,1.0,KC,3.0,@DEN,9.5,GB,6.5,SD,-0.5,@KC,6.5,0.0020976324144779
0.9,59.5,2.3,CAR,W,@TB,-3.0,BYE,,@SEA,4.0,PHI,-2.5,IND,-2.0,GB,3.0,@TEN,-3.5,WAS,-8.0,@DAL,-1.5,@NO,-4.0,ATL,-2.0,@NYG,-1.5,@ATL,3.0,TB,-9.5,0.36553954355115
0.9,58.8,0.9,PHI,L,@WAS,-3.0,NO,-4.5,NYG,-6.0,@CAR,2.5,BYE,,@DAL,-2.0,MIA,-5.0,TB,-9.5,@DET,-3.5,@NE,7.0,BUF,-2.0,ARI,0.5,WAS,-8.0,@NYG,-2.0,0.48603629952245
0.89,58.1,0.6,BAL,W,@PIT,-3.0,CLE,-6.5,@SF,-3.0,@ARI,7.0,SD,-2.5,BYE,,JAX,-9.5,STL,-4.5,@CLE,-3.5,@MIA,2.0,SEA,3.0,KC,0.5,PIT,-3.0,@CIN,7.0,0.34506717880994
0.89,57.8,0.2,NO,W,DAL,-3.0,@PHI,4.5,ATL,4.5,@IND,8.0,NYG,1.5,TEN,-2.0,@WAS,3.0,BYE,,@HOU,4.5,CAR,4.0,@TB,1.5,DET,-2.0,JAX,-5.0,@ATL,9.5,0.092969490195853
0.88,63.3,15.0,IND,W,JAX,-3.5,@HOU,-2.5,NE,3.0,NO,-8.0,@CAR,2.0,DEN,0.5,BYE,,@ATL,3.0,TB,-9.5,@PIT,-1.5,@JAX,-7.0,HOU,-6.0,@MIA,-1.5,TEN,-8.0,0.48328764725794
0.87,56.8,0.3,NYJ,W,@MIA,-2.5,BYE,,WAS,-7.0,@NE,9.5,@OAK,0.5,JAX,-9.5,BUF,2.0,@HOU,1.0,MIA,-3.0,@NYG,2.0,TEN,-5.0,@DAL,1.5,NE,5.0,@BUF,6.0,0.27651444828109
0.66,43.2,0.2,MIA,L,NYJ,2.5,BYE,,@TEN,-1.0,HOU,-3.0,@NE,9.5,@BUF,6.5,@PHI,5.0,DAL,-3.0,@NYJ,3.0,BAL,-2.0,NYG,-2.5,@SD,3.5,IND,1.5,NE,6.0,0.10031584168393
0.65,36.7,0.0,JAX,L,@IND,3.5,@TB,2.5,HOU,3.5,BUF,8.0,BYE,,@NYJ,9.5,@BAL,9.5,TEN,3.0,SD,6.0,@TEN,6.5,IND,7.0,ATL,7.5,@NO,5.0,@HOU,7.5,0.0
0.65,42.2,0.3,DAL,L,@NO,3.0,NE,9.0,BYE,,@NYG,3.0,SEA,3.5,PHI,2.0,@TB,-3.0,@MIA,3.0,CAR,1.5,@WAS,-1.5,@GB,9.5,NYJ,-1.5,@BUF,6.5,WAS,-4.5,0.10472189271108
