EV,W_pct,P_pct,Team,Team_Result,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.12,84.6,25.5,TB,L,@CAR,-13.0,BAL,1.0,LAR,-4.5,SEA,-9.5,BYE,,@CLE,-3.5,NO,-8.0,@SF,1.0,CIN,-3.5,@ARI,-3.5,CAR,-13.5,@ATL,-5.5,0.49958495960857
1.03,72.6,3.3,MIA,W,PIT,-7.0,@DET,-3.0,@CHI,-4.0,CLE,-5.0,BYE,,HOU,-10.0,@SF,3.5,@LAC,3.0,@BUF,9.5,GB,-1.5,@NE,3.0,NYJ,-5.0,0.28862840024147
1.02,71.7,3.4,BAL,W,CLE,-6.5,@TB,-1.0,@NO,-3.0,BYE,,CAR,-11.0,@JAX,-3.0,DEN,-7.0,@PIT,-5.0,@CLE,-2.0,ATL,-8.0,PIT,-9.5,@CIN,3.0,0.48703621411549
1.0,70.6,4.4,CIN,W,ATL,-6.5,@CLE,-3.0,CAR,-10.5,BYE,,@PIT,-6.0,@TEN,-1.5,KC,-1.0,CLE,-6.0,@TB,3.5,@NE,-1.0,BUF,3.5,BAL,-3.0,0.30411051065528
0.99,77.1,25.4,NE,L,CHI,-9.5,@NYJ,-1.0,IND,-3.0,BYE,,NYJ,-4.5,@MIN,4.0,BUF,6.5,@ARI,1.0,@LV,1.0,CIN,1.0,MIA,-3.0,@BUF,9.5,0.11505858859215
0.98,73.6,15.3,LV,W,HOU,-7.0,@NO,-1.0,@JAX,1.5,IND,-2.0,@DEN,2.0,@SEA,-0.5,LAC,-0.5,@LAR,4.0,NE,-1.0,@PIT,-1.0,SF,2.0,KC,3.5,0.040853605968551
0.96,71.2,13.0,DAL,W,DET,-7.0,CHI,-9.5,BYE,,@GB,1.5,@MIN,3.0,NYG,-6.5,IND,-5.0,HOU,-10.5,@JAX,-3.0,PHI,0.5,@TEN,-1.5,@WAS,-3.5,0.39059410279449
0.95,66.7,1.5,LAC,L,SEA,-5.5,BYE,,@ATL,-3.0,@SF,4.0,KC,2.5,@ARI,-1.0,@LV,0.5,MIA,-3.0,TEN,-3.5,@IND,1.5,LAR,-2.0,@DEN,-1.0,0.11112184402997
0.92,64.3,2.0,GB,L,@WAS,-4.0,@BUF,10.5,@DET,-4.0,DAL,-1.5,TEN,-4.0,@PHI,4.5,@CHI,-6.0,BYE,,LAR,-3.5,@MIA,1.5,MIN,-1.5,DET,-8.0,0.28787248710985
0.87,60.2,0.5,JAX,L,NYG,-3.0,DEN,-2.5,LV,-1.5,@KC,9.5,BYE,,BAL,3.0,@DET,0.5,@TEN,4.0,DAL,3.0,@NYJ,3.0,@HOU,-2.5,TEN,0.5,0.048059917066218
0.82,56.8,0.3,TEN,W,IND,-2.5,@HOU,-1.0,@KC,7.5,DEN,-3.5,@GB,4.0,CIN,1.5,@PHI,7.0,JAX,-4.0,@LAC,3.5,HOU,-8.0,DAL,1.5,@JAX,-0.5,0.1805305343652
0.82,57.0,1.0,ARI,W,NO,-2.5,@MIN,3.5,SEA,-4.0,@LAR,5.0,SF,3.5,LAC,1.0,BYE,,NE,-1.0,@DEN,3.0,TB,3.5,@ATL,1.5,@SF,6.5,0.050402730686801
0.77,53.4,0.7,NYJ,W,@DEN,-2.0,NE,1.0,BUF,9.5,BYE,,@NE,4.5,CHI,-5.0,@MIN,7.0,@BUF,13.5,DET,-4.0,JAX,-3.0,@SEA,1.5,@MIA,5.0,0.12541857127363
0.72,49.8,0.0,SF,L,KC,1.0,@LAR,-1.0,BYE,,LAC,-4.0,ARI,-3.5,NO,-6.5,MIA,-3.5,TB,-1.0,@SEA,-4.0,WAS,-7.5,@LV,-2.0,ARI,-6.5,0.39424823200274
0.72,50.2,0.6,KC,W,@SF,-1.0,BYE,,TEN,-7.5,JAX,-9.5,@LAC,-2.5,LAR,-5.5,@CIN,1.0,@DEN,-4.5,@HOU,-10.5,SEA,-11.0,DEN,-9.5,@LV,-3.5,0.62749708903832
