EV,W_pct,P_pct,Team,Team_Result,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.19,71.4,0.8,PHI,L,DAL,-6.5,@NYJ,2.5,@WAS,-7.5,NO,-7.0,NYG,-7.0,@CAR,-3.0,BYE,,@DAL,2.0,MIA,-3.5,TB,-13.5,@DET,-2.5,@NE,3.5,BUF,-3.5,ARI,-3.5,WAS,-11.5,@NYG,-3.5,0.78442264727311
1.09,69.2,6.9,IND,L,NYJ,-6.0,@TEN,-3.5,JAX,-13.5,@HOU,-3.0,NE,1.0,NO,-7.0,@CAR,-3.0,DEN,-2.0,BYE,,@ATL,0.5,TB,-11.5,@PIT,1.0,@JAX,-8.0,HOU,-7.0,@MIA,1.5,TEN,-8.0,0.79451297376778
1.09,68.0,5.7,PIT,W,SF,-5.5,@STL,-1.0,BAL,-3.0,@SD,3.0,ARI,-2.0,@KC,3.0,CIN,-0.5,OAK,-10.0,CLE,-9.5,BYE,,@SEA,4.5,IND,-1.0,@CIN,3.5,DEN,0.5,@BAL,3.0,@CLE,-6.5,0.39294616596262
1.06,63.3,0.3,GB,W,SEA,-3.5,KC,-7.0,@SF,-3.5,STL,-7.0,SD,-6.5,BYE,,@DEN,1.5,@CAR,-4.0,DET,-7.5,@MIN,-3.5,CHI,-10.5,@DET,-3.5,DAL,-4.5,@OAK,-9.5,@ARI,-1.5,MIN,-7.5,1.0
1.05,69.5,12.6,MIA,L,@JAX,-6.0,BUF,-2.5,NYJ,-5.5,BYE,,@TEN,-3.5,HOU,-6.0,@NE,6.0,@BUF,3.0,@PHI,3.5,DAL,-2.0,@NYJ,-2.0,BAL,-3.0,NYG,-6.0,@SD,2.5,IND,-1.5,NE,2.5,0.37833462919697
1.02,61.1,0.7,CIN,W,SD,-3.5,@BAL,3.0,KC,-3.5,SEA,-1.5,@BUF,2.0,BYE,,@PIT,0.5,CLE,-12.0,HOU,-7.0,@ARI,2.0,STL,-5.0,@CLE,-7.5,PIT,-3.5,@SF,-2.0,@DEN,3.0,BAL,-4.0,0.57457374613656
1.01,60.3,0.6,KC,L,DEN,-3.0,@GB,7.0,@CIN,3.5,CHI,-7.0,@MIN,-1.0,PIT,-3.0,DET,-4.0,BYE,,@DEN,4.0,@SD,2.5,BUF,-2.5,@OAK,-7.0,SD,-3.0,@BAL,2.5,CLE,-10.5,OAK,-10.5,0.59257273314022
1.0,79.0,45.3,NO,L,TB,-8.5,@CAR,3.5,DAL,3.0,@PHI,7.0,ATL,0.5,@IND,7.0,NYG,-3.0,TEN,-3.5,@WAS,-3.5,BYE,,@HOU,2.0,CAR,-2.5,@TB,-4.0,DET,-2.0,JAX,-9.5,@ATL,4.0,0.33938203155493
0.98,58.8,1.0,CAR,W,HOU,-3.0,NO,-3.5,@TB,-4.0,BYE,,@SEA,7.0,PHI,3.0,IND,3.0,GB,4.0,@TEN,0.5,WAS,-7.5,@DAL,6.5,@NO,2.5,ATL,-0.5,@NYG,2.0,@ATL,3.5,TB,-8.0,0.31407279262694
0.98,66.4,15.0,BAL,L,@OAK,-5.0,CIN,-3.0,@PIT,3.0,CLE,-9.5,@SF,1.0,@ARI,3.0,SD,-3.0,BYE,,JAX,-11.0,STL,-3.5,@CLE,-6.0,@MIA,3.0,SEA,1.0,KC,-2.5,PIT,-3.0,@CIN,4.0,0.4830436176562
0.96,60.6,5.3,STL,L,@WAS,-3.0,PIT,1.0,@ARI,4.5,@GB,7.0,BYE,,CLE,-8.0,SF,-3.0,@MIN,2.0,CHI,-5.5,@BAL,3.5,@CIN,5.0,ARI,1.0,DET,-3.0,TB,-9.5,@SEA,6.5,@SF,2.5,0.35908274482263
0.95,57.0,0.2,MIN,W,DET,-2.5,SD,-2.5,@DEN,6.5,BYE,,KC,1.0,@DET,3.0,@CHI,-1.5,STL,-2.0,@OAK,-4.0,GB,3.5,@ATL,3.5,SEA,3.5,@ARI,5.5,CHI,-4.5,NYG,-3.5,@GB,7.5,0.21395264358923
0.89,53.5,0.4,NYG,L,ATL,-1.5,WAS,-4.0,@BUF,6.5,SF,-1.0,@PHI,7.0,DAL,3.0,@NO,3.0,@TB,-3.5,NE,5.0,BYE,,@WAS,-3.5,NYJ,-2.5,@MIA,6.0,CAR,-2.0,@MIN,3.5,PHI,3.5,0.20931250853897
0.88,52.8,0.9,ARI,W,@CHI,-1.5,SF,-6.5,STL,-4.5,@DET,-1.5,@PIT,2.0,BAL,-3.0,@CLE,-7.0,BYE,,@SEA,4.0,CIN,-2.0,@SF,-1.0,@STL,-1.0,MIN,-5.5,@PHI,3.5,GB,1.5,SEA,-0.5,0.38995978956755
0.87,51.7,0.1,BUF,L,NE,-1.0,@MIA,2.5,NYG,-6.5,@TEN,-3.5,CIN,-2.0,@JAX,-7.5,BYE,,MIA,-3.0,@NYJ,-3.0,@NE,5.0,@KC,2.5,HOU,-6.5,@PHI,3.5,@WAS,-7.0,DAL,-2.0,NYJ,-6.5,0.57280319850854
0.85,49.5,0.3,CLE,W,TEN,1.0,OAK,-3.5,@SD,9.5,@BAL,9.5,DEN,7.5,@STL,8.0,ARI,7.0,@CIN,12.0,@PIT,9.5,BYE,,BAL,6.0,CIN,7.5,SF,4.0,@SEA,13.0,@KC,10.5,PIT,6.5,0.053791223975366
0.82,50.5,2.4,TEN,L,@CLE,-1.0,IND,3.5,BYE,,BUF,3.5,MIA,3.5,ATL,3.0,@HOU,3.0,@NO,3.5,CAR,-0.5,@JAX,-3.5,OAK,-6.5,JAX,-7.5,@NYJ,3.5,@NE,10.0,HOU,-1.5,@IND,8.0,0.24790413815065
0.8,48.3,0.4,NE,W,@BUF,1.0,JAX,-13.5,BYE,,@DAL,-1.5,@IND,-1.0,NYJ,-9.5,MIA,-6.0,WAS,-14.0,@NYG,-5.0,BUF,-5.0,@DEN,1.5,PHI,-3.5,@HOU,-5.0,TEN,-10.0,@NYJ,-4.5,@MIA,-2.5,0.97932852628435
0.8,47.2,0.1,CHI,L,ARI,1.5,@SEA,14.5,OAK,-6.0,@KC,7.0,@DET,4.5,BYE,,MIN,1.5,@SD,7.0,@STL,5.5,DEN,5.5,@GB,10.5,SF,1.5,WAS,-5.5,@MIN,4.5,@TB,-3.0,DET,1.5,0.18036578585211
0.78,46.5,0.1,ATL,W,@NYG,1.5,@DAL,-1.0,HOU,-4.5,WAS,-9.5,@NO,-0.5,@TEN,-3.0,TB,-10.0,@SF,1.5,BYE,,IND,-0.5,MIN,-3.5,@TB,-6.5,@CAR,0.5,@JAX,-7.0,CAR,-3.5,NO,-4.0,0.67163093418796
0.72,43.0,0.3,DET,L,@MIN,2.5,DEN,3.0,@SEA,7.0,ARI,1.5,CHI,-4.5,MIN,-3.0,@KC,4.0,BYE,,@GB,7.5,OAK,-8.0,PHI,2.5,GB,3.5,@STL,3.0,@NO,2.0,SF,-2.5,@CHI,-1.5,0.23057318846537
