EV,W_pct,P_pct,Team,Team_Result,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.07,74.0,5.4,PHI,W,@DAL,-7.0,WSH,-3.5,@LAR,-1.0,@BAL,4.0,CAR,-17.0,PIT,-3.5,@WSH,-2.0,DAL,-8.0,NYG,-9.5,0.80399126153646
1.06,75.1,10.6,KC,W,DEN,-7.0,@BUF,2.5,@CAR,-18.5,LV,-13.5,LAC,-4.0,@CLE,-6.0,HOU,-3.5,@PIT,-3.0,@DEN,-4.0,0.95618878335493
1.06,71.8,1.9,SF,W,@TB,-6.5,SEA,-6.5,@GB,2.5,@BUF,2.5,CHI,-7.5,LAR,-5.0,@MIA,-3.0,DET,1.5,@ARI,-4.0,0.53425858378451
1.04,71.9,6.4,NYG,L,CAR,-6.5,BYE,,TB,1.5,@DAL,3.0,NO,-1.0,BAL,10.0,@ATL,6.0,IND,2.5,@PHI,9.5,0.014805091185133
1.03,70.2,2.4,BAL,W,CIN,-6.0,@PIT,-3.0,@LAC,-3.0,PHI,-4.0,BYE,,@NYG,-10.0,PIT,-7.0,@HOU,-1.5,CLE,-9.5,0.77039759978745
1.0,71.6,11.2,CHI,L,NE,-6.5,GB,6.0,MIN,4.5,@DET,10.5,@SF,7.5,@MIN,7.5,DET,7.5,SEA,-1.0,@GB,7.5,0.012881494811692
0.99,77.6,31.5,LAC,W,TEN,-8.5,CIN,-1.5,BAL,3.0,@ATL,-1.0,@KC,4.0,TB,-5.0,DEN,-4.0,@NE,-6.5,@LV,-6.5,0.47998382859666
0.99,73.9,20.3,MIN,W,@JAX,-7.0,@TEN,-6.0,@CHI,-4.5,ARI,-7.0,ATL,-6.5,CHI,-7.5,@SEA,-3.5,GB,-2.0,@DET,4.0,0.76093329120942
0.98,66.4,1.1,DET,W,@HOU,-4.0,JAX,-13.0,@IND,-7.0,CHI,-10.5,GB,-3.5,BUF,-3.5,@CHI,-7.5,@SF,-1.5,MIN,-4.0,1.0
0.97,66.4,3.2,BUF,W,@IND,-4.5,KC,-2.5,BYE,,SF,-2.5,@LAR,-3.0,@DET,3.5,NE,-14.0,NYJ,-3.5,@NE,-10.5,0.64408049233619
0.93,64.1,4.0,ATL,L,@NO,-3.5,@DEN,2.0,BYE,,LAC,1.0,@MIN,6.5,@LV,-3.5,NYG,-6.0,@WSH,2.5,CAR,-11.0,0.40522214457807
0.82,55.2,0.9,LAR,L,MIA,-2.5,@NE,-5.0,PHI,1.0,@NO,-3.0,BUF,3.0,@SF,5.0,@NYJ,3.5,ARI,-3.5,SEA,-3.0,0.29127555044445
0.81,54.3,0.1,NYJ,L,@ARI,-2.0,IND,-4.0,BYE,,SEA,-4.0,@MIA,-0.5,@JAX,-3.5,LAR,-3.5,@BUF,3.5,MIA,-3.5,0.39003767717847
0.79,52.8,0.2,WSH,L,PIT,-1.5,@PHI,3.5,DAL,-5.0,TEN,-4.0,BYE,,@NO,-3.0,PHI,2.0,ATL,-2.5,@DAL,-3.0,0.32646939104785
0.7,47.2,0.1,PIT,W,@WSH,1.5,BAL,3.0,@CLE,-1.5,@CIN,3.5,CLE,-4.0,@PHI,3.5,@BAL,7.0,KC,3.0,CIN,0.5,0.10924670288182
0.68,45.7,0.4,ARI,W,NYJ,2.0,BYE,,@SEA,2.5,@MIN,7.0,SEA,-1.5,NE,-6.5,@CAR,-7.0,@LAR,3.5,SF,4.0,0.30882182161437
0.67,44.8,0.1,MIA,W,@LAR,2.5,LV,-7.5,NE,-8.0,@GB,6.0,NYJ,0.5,@HOU,4.0,SF,3.0,@CLE,-2.0,@NYJ,3.5,0.36005005472303
0.56,35.9,0.0,NO,W,ATL,3.5,CLE,-1.0,BYE,,LAR,3.0,@NYG,1.0,WSH,3.0,@GB,10.0,LV,-3.5,@TB,3.5,0.079099072818041
0.52,33.6,0.0,IND,L,BUF,4.5,@NYJ,4.0,DET,7.0,@NE,-3.5,BYE,,@DEN,2.0,TEN,-3.5,@NYG,-2.5,JAX,-3.0,0.24602287494722
0.51,33.6,0.0,HOU,L,DET,4.0,@DAL,-7.5,TEN,-8.0,@JAX,-4.0,BYE,,MIA,-4.0,@KC,3.5,BAL,1.5,@TEN,-5.0,0.60492128947732
0.5,26.1,0.1,JAX,L,MIN,7.0,@DET,13.0,BYE,,HOU,4.0,@TEN,1.0,NYJ,3.5,@LV,-2.5,TEN,-3.0,@IND,3.0,0.088189487522411
0.5,22.4,0.0,TEN,L,@LAC,8.5,MIN,6.0,@HOU,8.0,@WSH,4.0,JAX,-1.0,CIN,4.0,@IND,3.5,@JAX,3.0,HOU,5.0,0.011717906567453
0.49,28.4,0.0,NE,W,@CHI,6.5,LAR,5.0,@MIA,8.0,IND,3.5,BYE,,@ARI,6.5,@BUF,14.0,LAC,6.5,BUF,10.5,0.0
0.46,29.8,0.0,CIN,L,@BAL,6.0,@LAC,1.5,BYE,,PIT,-3.5,@DAL,-4.0,@TEN,-4.0,CLE,-6.0,DEN,-4.0,@PIT,-0.5,0.47550825497433
0.45,28.1,0.1,CAR,W,NYG,6.5,BYE,,KC,18.5,TB,6.5,@PHI,17.0,DAL,4.0,ARI,7.0,@TB,9.5,@ATL,11.0,0.0
0.43,28.2,0.0,TB,L,SF,6.5,BYE,,@NYG,-1.5,@CAR,-6.5,LV,-5.0,@LAC,5.0,@DAL,-0.5,CAR,-9.5,NO,-3.5,0.51653526959902
0.43,24.9,0.0,DEN,L,@KC,7.0,ATL,-2.0,@LV,-3.0,CLE,-3.0,BYE,,IND,-2.0,@LAC,4.0,@CIN,4.0,KC,4.0,0.18411355942725
0.42,26.0,0.0,DAL,L,PHI,7.0,HOU,7.5,@WSH,5.0,NYG,-3.0,CIN,4.0,@CAR,-4.0,TB,0.5,@PHI,8.0,WSH,3.0,0.13940839647781
,,0.0,CLE,,BYE,,@NO,1.0,PIT,1.5,@DEN,3.0,@PIT,4.0,KC,6.0,@CIN,6.0,MIA,2.0,@BAL,9.5,0.0
,,0.0,LV,,BYE,,@MIA,7.5,DEN,3.0,@KC,13.5,@TB,5.0,ATL,3.5,JAX,2.5,@NO,3.5,LAC,6.5,0.0
,,0.0,GB,,BYE,,@CHI,-6.0,SF,-2.5,MIA,-6.0,@DET,3.5,@SEA,-4.0,NO,-10.0,@MIN,2.0,CHI,-7.5,0.72125705156556
,,0.0,SEA,,BYE,,@SF,6.5,ARI,-2.5,@NYJ,4.0,@ARI,1.5,GB,4.0,MIN,3.5,@CHI,1.0,@LAR,3.0,0.039430523093121
