EV,W_pct,P_pct,Team,Team_Result,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.11,78.1,21.5,LAR,W,@SF,-8.0,GB,-8.5,@NO,1.5,SEA,-8.0,KC,-3.0,BYE,,@DET,-3.0,@CHI,-1.5,PHI,-4.0,@ARI,-9.5,SF,-11.0,0.67795928409272
1.07,71.7,10.2,LAC,W,TEN,-6.5,BYE,,@SEA,1.5,@OAK,-3.5,DEN,-4.0,ARI,-9.5,@PIT,3.5,CIN,-3.0,@KC,6.0,BAL,-0.5,@DEN,-0.5,0.2871543694094
1.06,68.6,3.4,PHI,L,CAR,-5.0,@JAX,-3.0,BYE,,DAL,-5.0,@NO,3.5,NYG,-7.0,WAS,-6.5,@DAL,-1.5,@LAR,4.0,HOU,-3.5,@WAS,-3.0,0.4285884984902
1.03,70.2,11.7,KC,W,CIN,-6.0,DEN,-10.0,@CLE,-4.5,ARI,-12.0,@LAR,3.0,BYE,,@OAK,-7.0,BAL,-4.0,LAC,-6.0,@SEA,-3.5,OAK,-10.5,0.81587086480541
0.99,63.3,2.2,JAX,L,HOU,-3.5,PHI,3.0,BYE,,@IND,-2.5,PIT,-0.5,@BUF,-6.5,IND,-6.0,@TEN,-1.5,WAS,-4.0,@MIA,-3.0,@HOU,2.5,0.32778073570504
0.98,62.3,1.5,MIN,W,@NYJ,-3.5,NO,1.0,DET,-6.5,BYE,,@CHI,-1.5,GB,-3.5,@NE,3.5,@SEA,-3.0,MIA,-9.5,@DET,-3.0,CHI,-4.5,0.42461858752672
0.97,62.6,2.3,TB,W,CLE,-3.5,@CIN,4.0,@CAR,4.0,WAS,-3.0,@NYG,0.5,SF,-4.0,CAR,0.5,NO,3.5,@BAL,6.0,@DAL,3.0,ATL,-1.5,0.12603574096801
0.97,61.1,0.4,DET,W,@MIA,-3.0,SEA,-3.0,@MIN,6.5,@CHI,3.5,CAR,-1.5,CHI,-1.5,LAR,3.0,@ARI,-4.0,@BUF,-6.0,MIN,3.0,@GB,4.0,0.22405908663102
0.96,71.7,26.0,IND,W,BUF,-7.0,@OAK,-3.0,BYE,,JAX,2.5,TEN,-2.0,MIA,-3.5,@JAX,6.0,@HOU,6.0,DAL,-0.5,NYG,-2.5,@TEN,3.0,0.13632398519414
0.94,65.5,14.4,ATL,W,NYG,-4.0,BYE,,@WAS,0.5,@CLE,-1.5,DAL,-3.5,@NO,6.0,BAL,-0.5,@GB,4.0,ARI,-9.5,@CAR,3.0,@TB,1.5,0.18771811775069
0.91,57.8,0.2,BAL,L,NO,-2.5,@CAR,-2.0,PIT,-3.0,BYE,,CIN,-4.5,OAK,-9.5,@ATL,0.5,@KC,4.0,TB,-6.0,@LAC,0.5,CLE,-7.0,0.44133115645596
0.85,54.0,0.2,DAL,L,@WAS,-1.5,BYE,,TEN,-3.5,@PHI,5.0,@ATL,3.5,WAS,-3.0,NO,3.0,PHI,1.5,@IND,0.5,TB,-3.0,@NYG,-0.5,0.1335313327537
0.82,52.6,1.6,NE,W,@CHI,-1.0,@BUF,-13.5,GB,-5.0,@TEN,-6.5,BYE,,@NYJ,-7.5,MIN,-3.5,@MIA,-8.0,@PIT,-2.0,BUF,-17.0,NYJ,-11.5,1.0
