EV,W_pct,P_pct,Team,Team_Result,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.15,75.4,10.9,GB,L,IND,-7.5,@TEN,-2.5,@WAS,-3.0,@PHI,-3.0,HOU,-6.5,SEA,-3.0,@CHI,-6.5,MIN,-3.5,@DET,-3.5,0.43812355573386
1.11,69.1,3.2,MIN,L,DET,-6.0,@WAS,3.0,ARI,-1.5,@DET,-3.0,DAL,-3.0,@JAX,-3.5,IND,-6.5,@GB,3.5,CHI,-8.0,0.36989854260804
1.07,68.5,6.1,SEA,W,BUF,-6.0,@NE,7.5,PHI,-6.0,@TB,-3.5,CAR,-3.0,@GB,3.0,LAR,-7.5,ARI,-3.0,@SF,-7.0,0.4644663243205
1.06,66.2,3.5,ATL,W,@TB,-4.5,@PHI,0.0,BYE,,ARI,-1.5,KC,-3.0,@LAR,-3.0,SF,-9.5,@CAR,3.0,NO,-5.0,0.31688824483938
1.06,66.4,4.1,NO,W,@SF,-5.0,DEN,-1.5,@CAR,4.0,LAR,-3.5,DET,-3.5,@TB,1.0,@ARI,6.5,TB,-3.5,@ATL,5.0,0.18893066736969
1.05,64.0,0.6,MIA,W,NYJ,-3.5,@SD,3.5,@LAR,3.0,SF,-6.0,@BAL,3.0,ARI,3.5,@NYJ,3.0,@BUF,4.0,NE,7.0,0.088739805192825
1.0,60.6,0.2,PIT,L,@BAL,-3.5,DAL,-2.5,@CLE,-7.5,@IND,-3.0,NYG,-3.5,@BUF,0.5,@CIN,2.5,BAL,-6.5,CLE,-11.5,0.49672865226226
1.0,62.6,3.5,SD,W,TEN,-3.5,MIA,-3.5,BYE,,@HOU,3.0,TB,-3.5,@CAR,5.0,OAK,0.5,@CLE,-3.5,KC,1.5,0.17695560567072
0.97,74.6,35.1,KC,W,JAX,-7.5,@CAR,3.0,TB,-6.5,@DEN,3.0,@ATL,3.0,OAK,-3.5,TEN,-5.5,DEN,-2.0,@SD,-1.5,0.28394604550875
0.96,58.6,0.3,NYG,W,PHI,-3.0,CIN,-2.5,CHI,-6.5,@CLE,-5.0,@PIT,3.5,DAL,-0.5,DET,-4.0,@PHI,2.0,@WAS,1.5,0.27691219247351
0.96,72.6,30.7,DAL,W,@CLE,-7.0,@PIT,2.5,BAL,-6.0,WAS,-4.5,@MIN,3.0,@NYG,0.5,TB,-6.5,DET,-6.5,@PHI,-1.0,0.36184164820407
0.96,58.4,0.8,CAR,W,@LAR,-3.0,KC,-3.0,NO,-4.0,@OAK,1.0,@SEA,3.0,SD,-5.0,@WAS,-1.5,ATL,-3.0,@TB,-3.0,0.29168293850682
0.84,50.7,0.1,DEN,L,@OAK,1.0,@NO,1.5,BYE,,KC,-3.0,@JAX,-4.5,@TEN,-3.0,NE,3.0,@KC,2.0,OAK,-3.5,0.23145064962568
0.81,49.3,0.3,OAK,W,DEN,-1.0,BYE,,HOU,-3.5,CAR,-1.0,BUF,-3.0,@KC,3.5,@SD,-0.5,IND,-5.0,@DEN,3.5,0.1904949170374
0.69,41.6,0.0,LAR,L,CAR,3.0,@NYJ,2.0,MIA,-3.0,@NO,3.5,@NE,11.0,ATL,3.0,@SEA,7.5,SF,-6.0,ARI,3.5,0.12140037000917
0.69,27.4,0.0,CLE,L,DAL,7.0,@BAL,10.5,PIT,7.5,NYG,5.0,BYE,,CIN,7.0,@BUF,8.0,SD,3.5,@PIT,11.5,0.0
0.68,41.4,0.1,PHI,L,@NYG,3.0,ATL,0.0,@SEA,6.0,GB,3.0,@CIN,4.0,WAS,-3.0,@BAL,1.0,NYG,-2.0,DAL,1.0,0.066257358131245
0.68,25.4,0.0,JAX,L,@KC,7.5,HOU,1.5,@DET,3.5,@BUF,6.5,DEN,4.5,MIN,3.5,@HOU,5.0,TEN,1.0,@IND,3.5,0.0
0.65,37.4,0.0,TEN,L,@SD,3.5,GB,2.5,@IND,2.5,@CHI,-0.5,BYE,,DEN,3.0,@KC,5.5,@JAX,-1.0,HOU,-1.5,0.029563923861945
0.65,39.4,0.0,BAL,W,PIT,3.5,CLE,-10.5,@DAL,6.0,CIN,2.5,MIA,-3.0,@NE,10.5,PHI,-1.0,@PIT,6.5,@CIN,6.0,0.20935074914556
0.6,36.0,0.1,NYJ,L,@MIA,3.5,LAR,-2.0,BYE,,NE,7.0,IND,-3.0,@SF,-2.5,MIA,-3.0,@NE,10.5,BUF,-1.0,0.12528127370227
0.59,33.6,0.0,SF,L,NO,5.0,@ARI,13.5,NE,11.0,@MIA,6.0,@CHI,3.5,NYJ,2.5,@ATL,9.5,@LAR,6.0,SEA,7.0,0.0
0.59,33.8,0.1,TB,L,ATL,4.5,CHI,-1.5,@KC,6.5,SEA,3.5,@SD,3.5,NO,-1.0,@DAL,6.5,@NO,3.5,CAR,3.0,0.027402451530361
0.57,31.5,0.0,BUF,L,@SEA,6.0,BYE,,@CIN,3.5,JAX,-6.5,@OAK,3.0,PIT,-0.5,CLE,-8.0,MIA,-4.0,@NYJ,1.0,0.28623089491104
0.54,30.9,0.0,DET,W,@MIN,6.0,BYE,,JAX,-3.5,MIN,3.0,@NO,3.5,CHI,-3.5,@NYG,4.0,@DAL,6.5,GB,3.5,0.11830096599565
0.49,24.6,0.0,IND,W,@GB,7.5,BYE,,TEN,-2.5,PIT,3.0,@NYJ,3.0,HOU,-1.5,@MIN,6.5,@OAK,5.0,JAX,-3.5,0.098120069153878
,,,ARI,,BYE,,SF,-13.5,@MIN,1.5,@ATL,1.5,WAS,-6.0,@MIA,-3.5,NO,-6.5,@SEA,3.0,@LAR,-3.5,0.48975662962797
,,,CHI,,BYE,,@TB,1.5,@NYG,6.5,TEN,0.5,SF,-3.5,@DET,3.5,GB,6.5,WAS,2.5,@MIN,8.0,0.059020518620889
,,,CIN,,BYE,,@NYG,2.5,BUF,-3.5,@BAL,-2.5,PHI,-4.0,@CLE,-7.0,PIT,-2.5,@HOU,-0.5,BAL,-6.0,0.3803456746084
,,,HOU,,BYE,,@JAX,-1.5,@OAK,3.5,SD,-3.0,@GB,6.5,@IND,1.5,JAX,-5.0,CIN,0.5,@TEN,1.5,0.14122428838482
,,,NE,,BYE,,SEA,-7.5,@SF,-11.0,@NYJ,-7.0,LAR,-11.0,BAL,-10.5,@DEN,-3.0,NYJ,-10.5,@MIA,-7.0,1.0
,,,WAS,,BYE,,MIN,-3.0,GB,3.0,@DAL,4.5,@ARI,6.0,@PHI,3.0,CAR,1.5,@CHI,-2.5,NYG,-1.5,0.090363198411105
