EV,W_pct,P_pct,Team,Team_Result,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.13,81.9,25.0,GB,W,SD,-10.5,BYE,,@DEN,0.5,@CAR,-3.0,DET,-13.5,@MIN,-3.5,CHI,-14.5,@DET,-9.5,DAL,-11.0,@OAK,-7.0,@ARI,-0.5,MIN,-7.0,0.70890379684448
1.09,75.2,10.4,NE,W,@IND,-8.0,NYJ,-8.5,MIA,-13.5,WAS,-14.5,@NYG,-6.5,BUF,-8.0,@DEN,-3.0,PHI,-9.5,@HOU,-9.5,TEN,-13.5,@NYJ,-4.5,@MIA,-8.0,1.0
1.08,73.2,6.6,SEA,L,CAR,-7.0,@SF,-6.0,@DAL,-4.0,BYE,,ARI,-1.5,SF,-10.5,PIT,-7.0,@MIN,-0.5,@BAL,-3.0,CLE,-8.0,STL,-7.0,@ARI,3.0,0.52061749946758
1.04,75.4,19.7,NYJ,W,WAS,-8.0,@NE,8.5,@OAK,-3.0,JAX,-9.5,BUF,-3.0,@HOU,-3.0,MIA,-6.5,@NYG,1.5,TEN,-6.5,@DAL,-3.0,NE,4.5,@BUF,3.0,0.34588232107137
1.01,67.1,2.4,ARI,L,@PIT,-5.0,BAL,-7.5,@CLE,-6.0,BYE,,@SEA,1.5,CIN,-2.0,@SF,-7.0,@STL,-4.0,MIN,-5.0,@PHI,-1.5,GB,0.5,SEA,-3.0,0.39465788384313
0.99,65.3,0.9,PHI,W,NYG,-3.5,@CAR,3.5,BYE,,@DAL,-3.0,MIA,-6.5,TB,-8.0,@DET,-4.0,@NE,9.5,BUF,-2.5,ARI,1.5,WAS,-7.0,@NYG,1.5,0.33602430048285
0.95,62.7,1.7,DET,W,CHI,-3.5,MIN,2.5,@KC,7.0,BYE,,@GB,13.5,OAK,0.5,PHI,4.0,GB,9.5,@STL,6.0,@NO,3.5,SF,-3.0,@CHI,2.5,0.024932091108214
0.9,58.4,0.3,JAX,L,HOU,-2.5,BUF,4.5,BYE,,@NYJ,9.5,@BAL,6.5,TEN,1.5,SD,3.0,@TEN,4.5,IND,4.5,ATL,6.5,@NO,4.0,@HOU,4.5,0.0
0.88,60.6,7.2,MIN,W,KC,-3.5,@DET,-2.5,@CHI,-4.5,STL,-5.0,@OAK,-3.0,GB,3.5,@ATL,3.5,SEA,0.5,@ARI,5.0,CHI,-9.0,NYG,-3.0,@GB,7.0,0.29356451776702
0.88,58.8,3.1,ATL,L,@NO,-3.0,@TEN,-3.5,TB,-9.5,@SF,-6.0,BYE,,IND,-3.5,MIN,-3.5,@TB,-6.5,@CAR,1.5,@JAX,-6.5,CAR,-3.5,NO,-8.0,0.56274999979528
