EV,W_pct,P_pct,Team,Team_Result,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.14,79.7,4.4,BUF,W,TB,-10.0,@CIN,2.5,DEN,-7.0,NYJ,-13.0,@PHI,3.0,BYE,,@KC,3.5,DAL,-3.0,@LAC,1.5,NE,-10.0,@MIA,1.5,0.50121826228207
1.08,76.0,4.6,MIA,W,NE,-8.5,@KC,2.5,BYE,,LV,-6.5,@NYJ,-6.5,@WAS,-3.5,TEN,-7.0,NYJ,-10.5,DAL,-1.5,@BAL,4.0,BUF,-1.5,0.59674788307799
1.06,79.8,20.0,BAL,W,@ARI,-10.0,SEA,-5.5,CLE,-8.0,CIN,-4.0,@LAC,-0.5,BYE,,LAR,-7.0,@JAX,-3.0,@SF,3.5,MIA,-4.0,PIT,-9.5,0.72923172321847
1.04,73.0,3.2,KC,L,@DEN,-7.0,MIA,-2.5,BYE,,PHI,-3.5,@LV,-6.0,@GB,-7.0,BUF,-3.5,@NE,-8.0,LV,-9.5,CIN,-4.5,@LAC,-1.0,0.77304791704937
1.04,73.7,6.2,PHI,W,@WAS,-7.0,DAL,-3.0,BYE,,@KC,3.5,BUF,-3.0,SF,1.0,@DAL,2.5,@SEA,-0.5,NYG,-13.5,ARI,-10.5,@NYG,-9.5,0.61639407039657
1.03,71.9,2.7,DAL,W,LAR,-7.0,@PHI,3.0,NYG,-13.5,@CAR,-8.0,WAS,-9.5,SEA,-4.0,PHI,-2.5,@BUF,3.0,@MIA,1.5,DET,-3.5,@WAS,-4.5,0.73306915636908
0.98,73.5,16.4,DET,W,LV,-7.0,BYE,,@LAC,3.0,CHI,-9.5,GB,-7.0,@NO,-1.5,@CHI,-6.5,DEN,-6.0,@MIN,-0.5,@DAL,3.5,MIN,-4.0,0.57870665955285
0.97,79.4,37.1,LAC,W,CHI,-10.0,@NYJ,-3.5,DET,-3.0,@GB,-3.5,BAL,0.5,@NE,-4.5,DEN,-6.5,@LV,-3.0,BUF,-1.5,@DEN,-3.0,KC,1.0,0.45435271278776
0.95,65.3,0.3,SF,L,CIN,-4.5,BYE,,@JAX,-4.0,TB,-13.5,@SEA,-3.5,@PHI,-1.0,SEA,-7.0,@ARI,-11.0,BAL,-3.5,@WAS,-9.5,LAR,-9.5,1.0
0.94,64.8,0.1,SEA,W,CLE,-4.5,@BAL,5.5,WAS,-6.5,@LAR,1.0,SF,3.5,@DAL,4.0,@SF,7.0,PHI,0.5,@TEN,-3.0,PIT,-6.5,@ARI,-4.0,0.31808872114766
0.88,61.9,2.8,HOU,L,@CAR,-3.5,TB,-2.5,@CIN,7.0,ARI,-3.5,JAX,1.5,DEN,-1.5,@NYJ,-1.0,@TEN,3.0,CLE,-0.5,TEN,-2.5,@IND,1.5,0.16903533323629
0.86,59.8,1.0,NYJ,W,@NYG,-3.0,LAC,3.5,@LV,5.5,@BUF,13.0,MIA,6.5,ATL,2.5,HOU,1.0,@MIA,10.5,WAS,1.0,@CLE,6.5,@NE,3.5,0.0
0.81,55.9,0.3,ATL,L,@TEN,-2.5,MIN,-4.5,@ARI,-1.0,BYE,,NO,-2.0,@NYJ,-2.5,TB,-3.5,@CAR,-2.5,IND,-4.0,@CHI,-2.0,@NO,3.0,0.33079936816919
0.81,55.6,0.2,JAX,W,@PIT,-2.5,BYE,,SF,4.0,TEN,-4.5,@HOU,-1.5,CIN,-0.5,@CLE,1.5,BAL,3.0,@TB,-2.0,CAR,-8.0,@TEN,-1.5,0.27648413891649
