EV,W_pct,P_pct,Team,Team_Result,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.08,90.9,38.6,SEA,W,CHI,-15.0,DET,-10.0,@CIN,2.5,CAR,-5.0,@SF,-3.5,@DAL,-2.5,BYE,,ARI,-3.0,SF,-7.0,PIT,-3.0,@MIN,-1.5,@BAL,-2.5,CLE,-10.0,STL,-7.0,@ARI,2.5,0.6463496596836
1.06,88.7,32.7,NE,W,JAX,-14.0,BYE,,@DAL,-4.0,@IND,-3.0,NYJ,-7.5,MIA,-7.0,WAS,-12.0,@NYG,-5.0,BUF,-7.0,@DEN,0.5,PHI,-6.5,@HOU,-7.0,TEN,-11.0,@NYJ,-3.5,@MIA,-3.5,0.93494520659003
0.99,77.5,4.6,CAR,W,NO,-10.0,@TB,-3.0,BYE,,@SEA,5.0,PHI,-1.5,IND,-0.5,GB,3.5,@TEN,-3.0,WAS,-6.5,@DAL,3.0,@NO,-3.0,ATL,-1.5,@NYG,1.5,@ATL,3.5,TB,-7.0,0.29671469180834
0.93,73.2,5.5,ARI,W,SF,-6.5,STL,-7.0,@DET,-4.0,@PIT,2.5,BAL,-6.5,@CLE,-6.5,BYE,,@SEA,3.0,CIN,-3.0,@SF,-3.5,@STL,-3.0,MIN,-6.0,@PHI,1.0,GB,-0.5,SEA,-2.5,0.49704697786727
0.88,69.1,3.6,HOU,W,TB,-6.0,@ATL,6.5,IND,3.5,@JAX,-3.0,@MIA,5.0,TEN,-3.5,BYE,,@CIN,8.0,NYJ,1.5,NO,-3.0,@BUF,6.5,NE,7.0,@IND,7.0,@TEN,1.5,JAX,-6.5,0.18632711057665
0.87,67.6,2.4,GB,W,KC,-4.5,@SF,-8.5,STL,-9.5,SD,-6.5,BYE,,@DEN,1.0,@CAR,-3.5,DET,-10.0,@MIN,-3.5,CHI,-13.5,@DET,-6.5,DAL,-7.5,@OAK,-8.0,@ARI,0.5,MIN,-7.0,1.0
0.81,63.0,1.0,CLE,L,OAK,-3.5,@SD,8.0,@BAL,7.0,DEN,7.0,@STL,5.5,ARI,6.5,@CIN,10.5,@PIT,10.0,BYE,,BAL,3.5,CIN,6.5,SF,2.5,@SEA,10.0,@KC,9.5,PIT,6.5,0.0
0.8,62.3,1.6,IND,W,@TEN,-3.5,JAX,-10.0,@HOU,-3.5,NE,3.0,NO,-7.5,@CAR,0.5,DEN,-1.5,BYE,,@ATL,2.0,TB,-9.5,@PIT,3.0,@JAX,-7.0,HOU,-7.0,@MIA,1.0,TEN,-8.0,0.64890766217088
0.76,60.0,2.9,NYG,W,WAS,-3.0,@BUF,5.5,SF,-3.0,@PHI,5.5,DAL,-1.5,@NO,-0.5,@TB,-3.0,NE,5.0,BYE,,@WAS,-1.0,NYJ,-1.5,@MIA,3.5,CAR,-1.5,@MIN,3.5,PHI,2.0,0.096338276073694
0.76,58.8,0.9,NYJ,L,PHI,-2.5,@MIA,-1.5,BYE,,WAS,-6.5,@NE,7.5,@OAK,-3.5,JAX,-9.5,BUF,-2.0,@HOU,-1.5,MIA,-2.5,@NYG,1.5,TEN,-6.0,@DAL,3.0,NE,3.5,@BUF,3.0,0.36296437433551
0.73,56.6,1.2,DEN,W,@DET,-3.0,MIN,-6.5,@OAK,-6.5,@CLE,-7.0,BYE,,GB,-1.0,@IND,1.5,KC,-3.5,@CHI,-7.5,NE,-0.5,@SD,-0.5,OAK,-10.5,@PIT,2.0,CIN,-3.0,SD,-4.0,0.62815263866671
0.69,53.1,0.1,MIA,L,BUF,-1.5,NYJ,1.5,BYE,,@TEN,-3.0,HOU,-5.0,@NE,7.0,@BUF,3.0,@PHI,3.5,DAL,-3.0,@NYJ,2.5,BAL,-3.0,NYG,-3.5,@SD,3.0,IND,-1.0,NE,3.5,0.22093737044363
