EV,W_pct,P_pct,Team,Team_Result,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
0.7,43.2,0.1,JAX,L,BAL,2.5,IND,2.0,BYE,,@CHI,3.0,OAK,2.0,@TEN,1.5,@KC,9.0,HOU,3.0,@DET,4.0,@BUF,3.0,DEN,5.0,MIN,3.5,@HOU,7.0,TEN,-3.5,@IND,3.5,0.046098718618621
0.65,40.3,0.1,ATL,W,@NO,2.5,CAR,3.5,@DEN,7.0,@SEA,8.0,SD,-2.0,GB,4.5,@TB,3.0,@PHI,3.0,BYE,,ARI,3.0,KC,3.0,@LAR,1.5,SF,-5.5,@CAR,9.5,NO,-4.0,0.14874721140635
0.64,22.3,0.1,CLE,L,@MIA,10.0,@WAS,7.5,NE,8.0,@TEN,6.5,@CIN,13.5,NYJ,8.0,DAL,7.5,@BAL,10.5,PIT,10.0,NYG,4.0,BYE,,CIN,9.5,@BUF,7.5,SD,4.5,@PIT,15.0,0.0
0.63,39.4,0.0,NYJ,L,@KC,3.0,SEA,1.0,@PIT,5.0,@ARI,4.0,BAL,-3.5,@CLE,-8.0,@MIA,-3.0,LAR,-6.5,BYE,,NE,0.5,IND,-4.0,@SF,-3.5,MIA,-7.0,@NE,4.0,BUF,-8.0,0.59605400533002
0.62,37.7,0.0,WAS,W,@NYG,3.5,CLE,-7.5,@BAL,4.0,PHI,-2.5,@DET,3.0,@CIN,6.5,BYE,,MIN,3.0,GB,4.0,@DAL,6.0,@ARI,8.0,@PHI,3.0,CAR,4.5,@CHI,0.5,NYG,1.5,0.1347780958343
0.61,37.3,0.0,PHI,W,PIT,3.5,BYE,,@DET,2.0,@WAS,2.5,MIN,3.0,@DAL,5.0,@NYG,4.0,ATL,-3.0,@SEA,7.5,GB,4.0,@CIN,6.0,WAS,-3.0,@BAL,3.0,NYG,-0.5,DAL,2.0,0.071896083489495
0.61,34.5,0.0,BUF,W,ARI,4.0,@NE,8.0,@LAR,3.0,SF,-3.5,@MIA,3.0,NE,4.0,@SEA,9.5,BYE,,@CIN,7.5,JAX,-3.0,@OAK,4.5,PIT,6.0,CLE,-7.5,MIA,-2.5,@NYJ,8.0,0.20806741011379
0.61,36.7,0.0,LAR,W,@TB,3.5,@ARI,8.0,BUF,-3.0,@DET,3.5,NYG,2.5,BYE,,CAR,6.5,@NYJ,6.5,MIA,-3.0,@NO,2.0,@NE,8.0,ATL,-1.5,@SEA,6.5,SF,-4.0,ARI,6.0,0.13808478511111
0.59,30.5,0.0,CHI,L,@DAL,6.0,DET,2.5,@IND,4.0,JAX,-3.0,@GB,10.5,MIN,4.0,BYE,,@TB,4.0,@NYG,6.5,TEN,-3.0,SF,-3.5,@DET,3.5,GB,6.5,WAS,-0.5,@MIN,9.5,0.1196161084228
0.59,36.7,0.2,DEN,W,@CIN,3.5,@TB,-3.0,ATL,-7.0,@SD,-3.0,HOU,-4.0,SD,-7.0,@OAK,-2.5,@NO,-4.0,BYE,,KC,-3.0,@JAX,-5.0,@TEN,-6.5,NE,-2.5,@KC,2.0,OAK,-6.5,0.72172058319567
0.56,30.3,0.0,DET,L,@GB,6.0,@CHI,-2.5,PHI,-2.0,LAR,-3.5,WAS,-3.0,@HOU,4.5,@MIN,6.5,BYE,,JAX,-4.0,MIN,3.0,@NO,0.5,CHI,-3.5,@NYG,4.0,@DAL,4.5,GB,4.0,0.23536703984592
0.52,30.3,0.0,MIN,W,@CAR,6.0,NYG,-4.0,HOU,-3.5,BYE,,@PHI,-3.0,@CHI,-4.0,DET,-6.5,@WAS,-3.0,ARI,-1.5,@DET,-3.0,DAL,-3.5,@JAX,-3.5,IND,-6.5,@GB,4.0,CHI,-9.5,0.67398886334995
0.36,19.9,0.0,SF,L,@SEA,10.5,DAL,2.5,ARI,7.0,@BUF,3.5,TB,3.0,BYE,,NO,-1.5,@ARI,11.0,NE,6.0,@MIA,3.5,@CHI,3.5,NYJ,3.5,@ATL,5.5,@LAR,4.0,SEA,7.0,0.010239272710352
