EV,W_pct,P_pct,Team,Team_Result,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.28,89.1,3.7,KC,W,LAR,-16.5,@CIN,-2.5,@DEN,-7.5,@HOU,-17.0,SEA,-10.0,DEN,-12.0,@LV,-6.5,1.0
1.12,79.1,5.2,DAL,W,NYG,-10.5,IND,-11.0,HOU,-14.5,@JAX,-5.0,PHI,-2.5,@TEN,-2.0,@WAS,-4.0,0.69029177165982
1.1,78.1,5.8,BUF,W,@DET,-10.0,@NE,-4.5,NYJ,-12.0,MIA,-6.5,@CHI,-10.5,@CIN,-3.0,NE,-9.5,0.88531176231323
1.06,77.0,10.3,SF,W,NO,-9.5,MIA,-3.5,TB,-4.0,@SEA,-3.5,WAS,-8.0,@LV,-3.5,ARI,-9.0,0.66494986561306
1.04,71.7,0.4,PHI,W,GB,-6.5,TEN,-4.0,@NYG,-6.5,@CHI,-7.5,@DAL,2.5,NO,-9.5,NYG,-10.5,0.75939566387549
1.01,86.0,53.0,MIA,W,HOU,-14.0,@SF,3.5,@LAC,-0.5,@BUF,6.5,GB,-4.0,@NE,0.5,NYJ,-7.0,0.23065300299001
1.0,71.1,5.7,NYJ,W,CHI,-7.0,@MIN,3.0,@BUF,12.0,DET,-3.5,JAX,-3.0,@SEA,4.0,@MIA,7.0,0.12041383424276
0.93,64.7,2.8,SEA,L,LV,-4.0,@LAR,-8.0,CAR,-6.5,SF,3.5,@KC,10.0,NYJ,-4.0,LAR,-3.0,0.42057591821283
0.91,63.1,1.8,WAS,W,ATL,-3.5,@NYG,-2.5,BYE,,NYG,-4.0,@SF,8.0,CLE,-1.5,DAL,4.0,0.13734230741686
0.88,61.3,2.0,BAL,L,@JAX,-3.5,DEN,-8.5,@PIT,-5.5,@CLE,-3.0,ATL,-9.5,PIT,-9.5,@CIN,1.5,0.69473822202547
0.88,61.0,1.5,TB,L,@CLE,-3.0,NO,-4.0,@SF,4.0,CIN,-3.0,@ARI,-3.0,CAR,-10.0,@ATL,-4.0,0.47791989433031
0.83,57.8,0.7,LAC,W,@ARI,-2.5,@LV,-1.5,MIA,0.5,TEN,-1.0,@IND,1.5,LAR,-3.0,@DEN,0.5,0.087162416831445
0.81,56.2,1.8,MIN,W,NE,-2.5,NYJ,-3.0,@DET,-3.5,IND,-5.0,NYG,-7.5,@GB,-0.5,@CHI,-4.5,0.510538602409
0.79,54.8,0.8,IND,L,PIT,-2.5,@DAL,11.0,BYE,,@MIN,5.0,LAC,-1.5,@NYG,0.5,HOU,-8.0,0.19628334471179
0.75,52.2,0.9,DEN,L,@CAR,-1.0,@BAL,8.5,KC,7.5,ARI,-3.0,@LAR,3.5,@KC,12.0,LAC,-0.5,0.044315300610222
0.73,50.5,0.2,TEN,L,CIN,1.0,@PHI,4.0,JAX,-6.0,@LAC,1.0,HOU,-10.0,DAL,2.0,@JAX,-2.5,0.35464308923446
0.72,49.5,0.3,CIN,W,@TEN,-1.0,KC,2.5,CLE,-5.0,@TB,3.0,@NE,-0.5,BUF,3.0,BAL,-1.5,0.1359702178708
0.7,47.8,0.1,CAR,W,DEN,1.0,BYE,,@SEA,6.5,PIT,-1.0,DET,-1.0,@TB,10.0,@NO,5.5,0.019083496885416
0.66,45.2,0.2,PIT,W,@IND,2.5,@ATL,-1.0,BAL,5.5,@CAR,1.0,LV,0.5,@BAL,9.5,CLE,2.0,0.0051372984086664
0.65,43.8,0.2,NE,L,@MIN,2.5,BUF,4.5,@ARI,0.5,@LV,1.0,CIN,0.5,MIA,-0.5,@BUF,9.5,0.0042405036156866
0.62,42.2,0.1,ARI,L,LAC,2.5,BYE,,NE,-0.5,@DEN,3.0,TB,3.0,@ATL,1.5,@SF,9.0,0.0037806228433076
0.57,39.0,0.0,CLE,W,TB,3.0,@HOU,-7.0,@CIN,5.0,BAL,3.0,NO,-3.5,@WAS,1.5,@PIT,-2.0,0.25789605434772
