EV,W_pct,P_pct,Team,Team_Result,17,17_spread,Future_Val
1.29,90.0,13.9,IND,W,JAX,-15.5,
1.25,87.0,9.1,BAL,W,@CIN,-13.5,
1.12,79.0,10.5,CLE,W,PIT,-10.5,
1.1,75.2,1.5,SEA,W,@SF,-7.5,
1.06,72.2,0.7,LAC,W,@KC,-7.0,
1.05,73.9,6.9,TB,W,ATL,-7.0,
1.04,73.3,7.3,TEN,W,@HOU,-7.0,
1.03,72.2,7.7,WAS,W,@PHI,-6.5,
0.98,70.0,8.5,NO,W,@CAR,-6.0,
0.96,66.0,1.1,GB,W,@CHI,-4.5,
0.93,62.8,0.1,MIA,L,@BUF,-4.0,
0.86,61.5,7.2,MIN,W,@DET,-3.0,
0.83,57.6,2.4,LV,W,@DEN,-2.5,
0.82,59.2,10.1,NE,W,NYJ,-3.0,
0.79,53.3,0.2,LAR,W,ARI,-1.0,
0.78,54.4,3.7,DAL,L,@NYG,-1.5,
0.68,45.6,1.0,NYG,W,DAL,1.5,
0.68,46.7,1.1,ARI,L,@LAR,1.0,
0.65,40.8,0.5,NYJ,L,@NE,3.0,
0.63,42.4,0.5,DEN,L,LV,2.5,
0.6,38.5,0.3,DET,L,MIN,3.0,
0.54,37.2,1.5,BUF,W,MIA,4.0,
0.5,34.0,0.2,CHI,L,GB,4.5,
0.48,30.0,0.1,CAR,L,NO,6.0,
0.43,27.8,2.2,PHI,L,WAS,6.5,
0.42,26.7,0.1,HOU,L,TEN,7.0,
0.41,26.1,0.1,ATL,L,@TB,7.0,
0.41,27.8,1.1,KC,L,LAC,7.0,
0.37,24.8,0.1,SF,L,SEA,7.5,
0.35,21.0,0.3,PIT,L,@CLE,10.5,
0.22,13.0,0.1,CIN,L,BAL,13.5,
0.18,10.0,0.2,JAX,L,@IND,15.5,
