EV,W_pct,P_pct,Team,Team_Result,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.1,73.6,9.2,SF,W,@LAR,-7.5,NYG,-10.5,ARI,-13.5,DAL,-3.0,@CLE,-1.0,@MIN,-3.0,CIN,-2.5,BYE,,@JAX,-1.5,TB,-8.0,@SEA,-3.0,@PHI,2.5,SEA,-6.5,@ARI,-9.0,BAL,-3.5,@WAS,-4.5,LAR,-8.0,0.95274797529247
1.05,69.1,5.8,PHI,W,MIN,-6.0,@TB,-5.5,WAS,-8.0,@LAR,-6.5,@NYJ,-2.0,MIA,-4.0,@WAS,-5.0,DAL,-3.0,BYE,,@KC,3.0,BUF,-3.0,SF,-2.5,@DAL,1.5,@SEA,-3.0,NYG,-8.0,ARI,-13.5,@NYG,-4.0,0.85569818981951
1.05,75.3,22.6,DAL,W,NYJ,-8.0,@ARI,-13.0,NE,-6.5,@SF,3.0,@LAC,0.5,BYE,,LAR,-8.0,@PHI,3.0,NYG,-7.0,@CAR,-4.5,WAS,-7.0,SEA,-5.5,PHI,-1.5,@BUF,3.5,@MIA,1.5,DET,-3.5,@WAS,-4.0,0.78816987335061
1.02,75.4,28.0,BUF,W,LV,-7.5,@WAS,-6.5,MIA,-3.5,JAX,-4.0,NYG,-8.0,@NE,-4.0,TB,-9.5,@CIN,1.5,DEN,-7.0,NYJ,-5.5,@PHI,3.0,BYE,,@KC,3.5,DAL,-3.5,@LAC,-1.0,NE,-7.0,@MIA,1.5,0.80283034147117
1.0,66.2,6.0,DET,L,SEA,-5.0,ATL,-3.0,@GB,-1.5,CAR,-6.5,@TB,-3.5,@BAL,3.0,LV,-6.5,BYE,,@LAC,3.0,CHI,-6.5,GB,-4.0,@NO,1.5,@CHI,-3.0,DEN,-3.5,@MIN,0.5,@DAL,3.5,MIN,-3.5,0.55994902754638
0.99,64.0,2.3,DEN,L,WAS,-3.5,@MIA,6.5,@CHI,-1.5,NYJ,1.0,@KC,8.0,GB,-3.0,KC,4.0,BYE,,@BUF,7.0,MIN,-1.5,CLE,1.0,@HOU,-4.5,@LAC,4.0,@DET,3.5,NE,-2.5,LAC,1.0,@LV,-0.5,0.14335691055359
0.95,60.4,0.3,CIN,L,BAL,-3.0,LAR,-1.5,@TEN,-4.5,@ARI,-9.0,SEA,-6.0,BYE,,@SF,2.5,BUF,-1.5,HOU,-11.0,@BAL,0.5,PIT,-6.0,@JAX,-0.5,IND,-9.5,MIN,-6.0,@PIT,-3.0,@KC,3.5,CLE,-3.5,0.78733971769452
0.95,61.6,3.2,NO,W,@CAR,-3.0,@GB,2.0,TB,-6.0,@NE,1.0,@HOU,-4.5,JAX,-1.5,@IND,-3.5,CHI,-4.0,@MIN,1.5,BYE,,@ATL,-0.5,DET,-1.5,CAR,-5.5,NYG,-3.5,@LAR,-2.5,@TB,-2.5,ATL,-3.0,0.48301757902465
0.93,59.3,0.9,KC,W,@JAX,-3.0,CHI,-13.5,@NYJ,-3.0,@MIN,-4.0,DEN,-8.0,LAC,-5.5,@DEN,-4.0,MIA,-4.0,BYE,,PHI,-3.0,@LV,-6.0,@GB,-4.0,BUF,-3.5,@NE,-5.0,LV,-9.5,CIN,-3.5,@LAC,-2.0,1.0
0.93,64.6,13.2,NYG,W,@ARI,-4.5,@SF,10.5,SEA,-1.0,@MIA,6.5,@BUF,8.0,WAS,-2.5,NYJ,2.0,@LV,2.5,@DAL,7.0,@WAS,0.5,NE,-1.5,BYE,,GB,-0.5,@NO,3.5,@PHI,8.0,LAR,-3.0,PHI,4.0,0.085367146269564
0.92,58.2,0.2,ATL,W,GB,-3.0,@DET,3.0,@JAX,4.0,HOU,-6.5,WAS,-4.0,@TB,-1.5,@TEN,-0.5,MIN,-1.0,@ARI,-4.0,BYE,,NO,0.5,@NYJ,4.0,TB,-3.5,@CAR,-1.0,IND,-5.0,@CHI,0.5,@NO,3.0,0.36339363700297
0.89,57.1,1.6,LAC,L,@TEN,-2.5,@MIN,-1.0,LV,-6.5,BYE,,DAL,-0.5,@KC,5.5,CHI,-6.5,@NYJ,1.5,DET,-3.0,@GB,-1.5,BAL,-2.0,@NE,-2.5,DEN,-4.0,@LV,-3.0,BUF,1.0,@DEN,-1.0,KC,2.0,0.36209056396381
0.88,56.2,0.9,CLE,L,@PIT,-2.0,TEN,-3.0,BAL,-1.5,BYE,,SF,1.0,@IND,-4.0,@SEA,0.5,ARI,-9.5,@BAL,3.0,PIT,-3.5,@DEN,-1.0,@LAR,-3.0,JAX,-2.5,CHI,-6.0,@HOU,-6.5,NYJ,-2.0,@CIN,3.5,0.53247406813042
0.86,55.1,1.7,TB,W,CHI,-1.0,PHI,5.5,@NO,6.0,BYE,,DET,3.5,ATL,1.5,@BUF,9.5,@HOU,-2.0,TEN,-1.5,@SF,8.0,@IND,-1.0,CAR,-3.0,@ATL,3.5,@GB,4.0,JAX,3.5,NO,2.5,@CAR,1.5,0.065350979467322
0.83,52.9,1.2,MIA,W,@NE,-1.0,DEN,-6.5,@BUF,3.5,NYG,-6.5,CAR,-8.0,@PHI,4.0,NE,-6.0,@KC,4.0,BYE,,LV,-6.5,@NYJ,1.0,@WAS,-4.0,TEN,-8.0,NYJ,-3.0,DAL,-1.5,@BAL,2.0,BUF,-1.5,0.69188600304057
0.79,50.3,0.9,IND,W,@HOU,-1.0,@BAL,7.5,LAR,1.5,TEN,0.5,@JAX,8.0,CLE,4.0,NO,3.5,@CAR,3.0,@NE,6.0,BYE,,TB,1.0,@TEN,3.5,@CIN,9.5,PIT,3.0,@ATL,5.0,LV,2.5,HOU,-3.0,0.035003149699117
0.79,49.7,0.2,HOU,L,IND,1.0,@JAX,10.0,PIT,4.0,@ATL,6.5,NO,4.5,BYE,,@CAR,4.0,TB,2.0,@CIN,11.0,ARI,-3.0,JAX,6.5,DEN,4.5,@NYJ,9.5,@TEN,4.0,CLE,6.5,TEN,2.5,@IND,3.0,0.037991822280996
0.75,47.1,0.1,NE,L,MIA,1.0,@NYJ,-3.0,@DAL,6.5,NO,-1.0,@LV,1.5,BUF,4.0,@MIA,6.0,WAS,-3.5,IND,-6.0,BYE,,@NYG,1.5,LAC,2.5,@PIT,3.0,KC,5.0,@DEN,2.5,@BUF,7.0,NYJ,1.0,0.16823140111866
0.72,44.9,0.1,CHI,L,@TB,1.0,@KC,13.5,DEN,1.5,@WAS,3.0,MIN,1.5,LV,-1.5,@LAC,6.5,@NO,4.0,CAR,-3.0,@DET,6.5,@MIN,4.5,BYE,,DET,3.0,@CLE,6.0,ARI,-6.5,ATL,-0.5,@GB,3.5,0.12623614430749
0.7,43.8,0.1,PIT,W,CLE,2.0,@LV,1.0,@HOU,-4.0,BAL,1.5,BYE,,@LAR,-1.5,JAX,0.5,TEN,-4.0,GB,-2.5,@CLE,3.5,@CIN,6.0,ARI,-8.0,NE,-3.0,@IND,-3.0,CIN,3.0,@SEA,2.5,@BAL,4.5,0.34065959849226
0.69,42.9,0.0,TEN,W,LAC,2.5,@CLE,3.0,CIN,4.5,@IND,-0.5,BAL,5.0,BYE,,ATL,0.5,@PIT,4.0,@TB,1.5,@JAX,6.5,CAR,-2.0,IND,-3.5,@MIA,8.0,HOU,-4.0,SEA,1.5,@HOU,-2.5,JAX,3.0,0.15780039743692
0.66,41.8,0.7,GB,L,@ATL,3.0,NO,-2.0,DET,1.5,@LV,-0.5,BYE,,@DEN,3.0,MIN,-1.5,LAR,-3.5,@PIT,2.5,LAC,1.5,@DET,4.0,KC,4.0,@NYG,0.5,TB,-4.0,@CAR,-2.5,@MIN,3.0,CHI,-3.5,0.21660723725803
0.65,35.4,0.1,ARI,L,NYG,4.5,DAL,13.0,@SF,13.5,CIN,9.0,@LAR,6.5,@SEA,9.5,BAL,7.5,@CLE,9.5,ATL,4.0,@HOU,3.0,LAR,3.5,@PIT,8.0,BYE,,SF,9.0,@CHI,6.5,@PHI,13.5,SEA,6.5,0.0
0.65,40.7,0.0,JAX,L,KC,3.0,HOU,-10.0,ATL,-4.0,@BUF,4.0,IND,-8.0,@NO,1.5,@PIT,-0.5,BYE,,SF,1.5,TEN,-6.5,@HOU,-6.5,CIN,0.5,@CLE,2.5,BAL,-1.5,@TB,-3.5,CAR,-6.5,@TEN,-3.0,0.6271232520216
