EV,W_pct,P_pct,Team,Team_Result,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.16,84.0,0.6,KC,W,NE,-12.0,LV,-13.5,@BUF,-3.0,@DEN,-10.5,NYJ,-17.5,CAR,-14.5,BYE,,@LV,-7.5,@TB,-3.0,DEN,-15.0,@MIA,-10.0,@NO,-3.5,ATL,-13.5,LAC,-11.5,1.0
1.13,87.7,21.4,BAL,W,@WAS,-14.5,CIN,-13.5,@PHI,-7.0,BYE,,PIT,-4.0,@IND,-3.0,@NE,-3.0,TEN,-6.5,@PIT,-0.5,DAL,-6.5,@CLE,-4.0,JAX,-14.0,NYG,-15.0,@CIN,-10.0,0.73931187602654
1.04,76.6,2.6,SF,L,PHI,-9.5,MIA,-8.0,LAR,-2.5,@NE,3.0,@SEA,4.0,GB,1.5,@NO,3.0,BYE,,@LAR,3.0,BUF,-0.5,WAS,-9.5,@DAL,3.0,@ARI,2.5,SEA,-0.5,0.18077931508447
1.02,75.7,4.9,TB,W,LAC,-7.5,@CHI,-5.5,GB,-2.5,@LV,-3.5,@NYG,-9.5,NO,-3.5,@CAR,-7.0,LAR,-3.5,KC,3.0,BYE,,MIN,-8.5,@ATL,-5.0,@DET,-4.0,ATL,-9.5,0.56627063629221
1.01,87.3,48.9,LAR,W,NYG,-13.5,@WAS,-7.5,@SF,2.5,CHI,-4.0,@MIA,-4.5,BYE,,SEA,-1.5,@TB,3.5,SF,-3.0,@ARI,2.0,NE,-3.0,NYJ,-13.5,@SEA,3.5,ARI,-3.0,0.35257181408677
0.91,67.1,3.0,GB,W,ATL,-5.0,BYE,,@TB,2.5,@HOU,-3.5,MIN,-9.5,@SF,-1.5,JAX,-13.0,@IND,1.0,CHI,-6.5,PHI,-8.0,@DET,-4.5,CAR,-10.5,TEN,-4.0,@CHI,-3.0,0.57826759211135
0.85,61.9,0.4,IND,W,@CHI,-3.5,@CLE,-2.5,CIN,-10.5,BYE,,@DET,-3.5,BAL,3.0,@TEN,2.5,GB,-1.0,TEN,-3.0,@HOU,-2.5,@LV,-3.0,HOU,-6.0,@PIT,3.5,JAX,-10.5,0.35941104133704
0.85,65.3,9.2,SEA,W,@MIA,-4.5,MIN,-7.5,BYE,,@ARI,0.5,SF,-4.0,@BUF,2.5,@LAR,1.5,ARI,-4.0,@PHI,-3.5,NYG,-13.5,NYJ,-14.0,@WAS,-7.0,LAR,-3.5,@SF,0.5,0.49574854981512
0.85,61.4,0.2,BUF,W,@LV,-3.0,@TEN,1.5,KC,3.0,@NYJ,-9.5,NE,-3.5,SEA,-2.5,@ARI,1.0,BYE,,LAC,-7.0,@SF,0.5,PIT,-2.0,@DEN,-6.5,@NE,1.5,MIA,-9.5,0.36055443895828
0.84,61.4,0.6,HOU,L,MIN,-3.5,JAX,-6.5,@TEN,4.5,GB,3.5,BYE,,@JAX,-3.0,@CLE,3.5,NE,1.0,@DET,1.5,IND,2.5,@CHI,3.5,@IND,6.0,CIN,-7.0,TEN,1.5,0.15431672669351
0.84,62.1,3.0,DAL,L,CLE,-3.5,NYG,-9.5,ARI,-3.0,@WAS,-6.5,@PHI,-3.0,PIT,-0.5,BYE,,@MIN,-3.0,WAS,-10.0,@BAL,6.5,@CIN,-6.5,SF,-3.0,PHI,-6.5,@NYG,-7.0,0.51050616121218
