EV,W_pct,P_pct,Team,Team_Result,1,1_spread,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.15,78.8,10.6,TB,W,DAL,-9.5,ATL,-12.0,@LAR,1.0,@NE,-3.0,MIA,-7.0,@PHI,-7.0,CHI,-9.5,@NO,-3.0,BYE,,@WAS,-6.0,NYG,-10.0,@IND,-1.5,@ATL,-5.0,BUF,-4.0,NO,-7.0,@CAR,-6.5,@NYJ,-8.0,CAR,-7.5,0.89226229210774
1.06,71.3,4.2,BUF,L,PIT,-6.5,@MIA,-3.0,WAS,-7.0,HOU,-14.0,@KC,4.0,@TEN,-2.0,BYE,,MIA,-7.0,@JAX,-6.5,@NYJ,-7.0,IND,-5.0,@NO,-2.0,NE,-6.5,@TB,4.0,CAR,-9.5,@NE,-3.0,ATL,-8.5,NYJ,-8.0,0.807917881785
1.04,76.4,21.8,LAR,W,CHI,-8.5,@IND,-4.0,TB,-1.0,ARI,-5.0,@SEA,1.5,@NYG,-4.0,DET,-11.0,@HOU,-8.0,TEN,-4.5,@SF,3.0,BYE,,@GB,0.5,JAX,-9.5,@ARI,-2.5,SEA,-4.0,@MIN,-2.5,@BAL,3.0,SF,-3.0,0.5401894322366
1.04,78.2,27.6,SF,W,@DET,-10.0,@PHI,-3.5,GB,-4.0,SEA,-3.5,@ARI,-1.5,BYE,,IND,-4.5,@CHI,-4.0,ARI,-5.0,LAR,-3.0,@JAX,-5.0,MIN,-6.5,@SEA,1.5,@CIN,-4.0,ATL,-8.0,@TEN,-1.5,HOU,-13.5,@LAR,3.0,0.61771126982994
1.01,67.8,4.5,KC,W,CLE,-5.5,@BAL,-4.0,LAC,-7.0,@PHI,-7.5,BUF,-4.0,@WAS,-6.0,@TEN,-3.5,NYG,-10.0,GB,-6.5,@LV,-7.0,DAL,-7.5,BYE,,DEN,-9.5,LV,-10.5,@LAC,-5.0,PIT,-8.0,@CIN,-7.5,@DEN,-3.5,1.0
0.94,62.2,1.4,ATL,L,PHI,-3.5,@TB,12.0,@NYG,2.5,WAS,-1.5,NYJ,-3.5,BYE,,@MIA,4.0,CAR,-3.5,@NO,6.0,@DAL,6.0,NE,-0.5,@JAX,1.0,TB,5.0,@CAR,3.5,@SF,8.0,DET,-7.0,@BUF,8.5,NO,0.5,0.14319212722961
0.94,62.8,2.6,GB,L,@NO,-4.0,DET,-11.0,@SF,4.0,PIT,-3.0,@CIN,-4.0,@CHI,-3.0,WAS,-4.5,@ARI,2.5,@KC,6.5,SEA,-3.5,@MIN,2.5,LAR,-0.5,BYE,,CHI,-6.5,@BAL,4.0,CLE,-2.5,MIN,-3.5,@DET,-4.5,0.4144590314791
0.94,62.2,1.8,BAL,L,@LV,-3.5,KC,4.0,@DET,-6.5,@DEN,-3.0,IND,-4.0,LAC,-5.0,CIN,-10.0,BYE,,MIN,-6.5,@MIA,-3.0,@CHI,-3.5,CLE,-3.5,@PIT,-2.5,@CLE,3.0,GB,-4.0,@CIN,-6.5,LAR,-3.0,PIT,-5.5,0.61643073902412
0.93,61.8,1.0,NE,L,MIA,-3.5,@NYJ,-5.5,NO,-6.0,TB,3.0,@HOU,-6.5,DAL,-2.5,NYJ,-7.0,@LAC,3.0,@CAR,-0.5,CLE,1.5,@ATL,0.5,TEN,-2.0,@BUF,6.5,BYE,,@IND,4.0,BUF,3.0,JAX,-6.5,@MIA,2.5,0.32747896472717
0.92,61.5,3.6,JAX,L,@HOU,-3.5,DEN,6.0,ARI,3.0,@CIN,2.5,TEN,3.5,MIA,3.0,BYE,,@SEA,8.0,BUF,6.5,@IND,7.5,SF,5.0,ATL,-1.0,@LAR,9.5,@TEN,7.0,HOU,-5.0,@NYJ,1.5,@NE,6.5,IND,3.5,0.05326544806411
