EV,W_pct,P_pct,Team,Team_Result,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.09,86.8,21.4,ATL,L,MIA,-14.0,@NE,3.5,@NYJ,-8.0,@CAR,-0.5,DAL,-3.5,@SEA,1.0,TB,-6.5,MIN,-5.0,NO,-6.5,@TB,-3.0,@NO,-3.0,CAR,-4.0,0.62150579208837
1.04,78.8,2.9,NE,W,@NYJ,-9.0,ATL,-3.5,LAC,-10.0,BYE,,@DEN,-1.5,@OAK,-4.5,MIA,-11.0,@BUF,-4.5,@MIA,-7.0,@PIT,-2.5,BUF,-9.0,NYJ,-14.5,1.0
1.04,85.4,30.1,DEN,L,NYG,-13.5,@LAC,2.0,@KC,4.0,@PHI,1.5,NE,1.5,CIN,-5.5,@OAK,-3.0,@MIA,-4.0,NYJ,-10.0,@IND,-6.5,@WAS,-1.0,KC,1.0,0.45242308043537
1.02,81.3,16.3,WAS,W,SF,-11.0,@PHI,4.5,DAL,0.5,@SEA,4.0,MIN,-2.0,@NO,3.0,NYG,-6.0,@DAL,4.0,@LAC,-1.0,ARI,-5.5,DEN,1.0,@NYG,-2.5,0.23105308446727
0.96,71.7,0.9,TEN,W,IND,-7.0,@CLE,-5.5,BYE,,BAL,-1.5,CIN,-2.0,@PIT,6.5,@IND,-2.0,HOU,-1.5,@ARI,1.5,@SF,-3.0,LAR,-1.5,JAX,-3.0,0.25936481842767
0.92,68.6,0.2,NO,W,DET,-6.0,@GB,-6.0,CHI,-7.5,TB,-3.0,@BUF,1.5,WAS,-3.0,@LAR,2.0,CAR,-1.5,@ATL,6.5,NYJ,-8.0,ATL,3.0,@TB,2.5,0.42296717714858
0.9,74.9,23.7,HOU,W,CLE,-7.5,BYE,,@SEA,5.0,IND,-7.0,@LAR,3.0,ARI,-4.5,@BAL,3.0,@TEN,1.5,SF,-8.0,@JAX,1.5,PIT,1.0,@IND,-3.5,0.35821126059763
0.88,66.7,2.2,BAL,L,CHI,-5.5,@MIN,5.5,MIA,-5.0,@TEN,1.5,BYE,,@GB,6.5,HOU,-3.0,DET,-2.0,@PIT,4.0,@CLE,-5.0,IND,-7.0,CIN,-3.0,0.37471207832635
0.84,62.6,0.3,KC,L,PIT,-3.5,@OAK,-2.5,DEN,-4.0,@DAL,-1.5,BYE,,@NYG,-7.0,BUF,-8.0,@NYJ,-9.5,OAK,-8.0,LAC,-9.5,MIA,-10.5,@DEN,-1.0,0.91024856314931
0.83,62.3,0.3,CAR,L,PHI,-3.0,@CHI,-3.5,@TB,0.5,ATL,0.5,MIA,-7.0,BYE,,@NYJ,-6.0,@NO,1.5,MIN,-3.5,GB,-1.0,TB,-4.0,@ATL,4.0,0.37129928272346
0.79,59.3,0.3,OAK,L,LAC,-3.0,KC,2.5,@BUF,3.0,@MIA,-0.5,BYE,,NE,4.5,DEN,3.0,NYG,-4.0,@KC,8.0,DAL,2.5,@PHI,5.0,@LAC,1.5,0.073257489323872
0.79,58.8,0.4,GB,L,@MIN,-3.0,NO,6.0,BYE,,DET,-5.0,@CHI,-7.0,BAL,-6.5,@PIT,1.5,TB,-6.5,@CLE,-9.5,@CAR,1.0,MIN,-4.5,@DET,-1.5,0.62919528924587
0.75,55.9,0.2,TB,L,@ARI,-2.5,@BUF,1.5,CAR,-0.5,@NO,3.0,NYJ,-7.5,@MIA,-2.0,@ATL,6.5,@GB,6.5,DET,-2.5,ATL,3.0,@CAR,4.0,NO,-2.5,0.2019306260509
0.7,52.2,0.2,JAX,L,LAR,-1.0,@IND,-3.0,BYE,,CIN,-2.0,LAC,-3.0,@CLE,-4.0,@ARI,1.5,IND,-5.0,SEA,3.0,HOU,-1.5,@SF,-3.5,@TEN,3.0,0.3352549884986
0.64,47.8,0.1,LAR,W,@JAX,1.0,ARI,-3.5,BYE,,@NYG,-2.5,HOU,-3.0,@MIN,3.0,NO,-2.0,@ARI,-1.0,PHI,-0.5,@SEA,5.0,@TEN,1.5,SF,-8.0,0.28314029521838
0.59,44.1,0.1,ARI,W,TB,2.5,@LAR,3.5,BYE,,@SF,-2.5,SEA,3.5,@HOU,4.5,JAX,-1.5,LAR,1.0,TEN,-1.5,@WAS,5.5,NYG,-3.0,@SEA,7.5,0.098131187874198
0.55,41.2,0.0,MIN,W,GB,3.0,BAL,-5.5,@CLE,-6.5,BYE,,@WAS,2.0,LAR,-3.0,@DET,2.5,@ATL,5.0,@CAR,3.5,CIN,-3.5,@GB,4.5,CHI,-8.0,0.42022303422496
0.55,40.7,0.0,LAC,W,@OAK,3.0,DEN,-2.0,@NE,10.0,BYE,,@JAX,3.0,BUF,-1.5,@DAL,7.0,CLE,-7.5,WAS,1.0,@KC,9.5,@NYJ,-1.5,OAK,-1.5,0.19203342873181
0.51,37.7,0.1,PHI,W,@CAR,3.0,WAS,-4.5,SF,-10.5,DEN,-1.5,BYE,,@DAL,3.0,CHI,-9.5,@SEA,3.0,@LAR,0.5,@NYG,-3.5,OAK,-5.0,DAL,-2.5,0.560721259511
0.5,37.4,0.0,PIT,W,@KC,3.5,CIN,-5.0,@DET,0.5,BYE,,@IND,-6.5,TEN,-6.5,GB,-1.5,@CIN,-1.5,BAL,-4.0,NE,2.5,@HOU,-1.0,CLE,-13.0,0.56685038030361
0.46,33.3,0.0,CHI,W,@BAL,5.5,CAR,3.5,@NO,7.5,BYE,,GB,7.0,DET,3.5,@PHI,9.5,SF,-3.5,@CIN,7.0,@DET,7.0,CLE,-4.0,@MIN,8.0,0.13173077534621
