EV,W_pct,P_pct,Team,Team_Result,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.19,88.0,14.4,BUF,L,@JAX,-14.5,@NYJ,-13.0,IND,-8.0,@NO,-3.0,NE,-8.0,@TB,3.0,CAR,-10.5,@NE,-3.5,ATL,-13.0,NYJ,-18.5,0.91970498657086
1.04,75.1,1.3,LAR,L,TEN,-7.5,@SF,-4.0,BYE,,@GB,0.5,JAX,-15.5,@ARI,1.0,SEA,-7.0,@MIN,-3.0,@BAL,1.5,SF,-6.0,0.44459977772804
1.03,80.3,20.6,IND,W,NYJ,-10.0,JAX,-10.5,@BUF,8.0,TB,4.0,@HOU,-6.5,BYE,,NE,-3.0,@ARI,6.0,LV,-3.0,@JAX,-5.0,0.35946378341551
1.02,74.0,2.3,KC,W,GB,-7.0,@LV,-2.5,DAL,-3.0,BYE,,DEN,-7.5,LV,-7.0,@LAC,-1.5,PIT,-7.0,@CIN,-3.0,@DEN,-3.5,0.45107009471183
0.99,72.6,5.5,BAL,W,MIN,-7.0,@MIA,-7.5,@CHI,-6.0,CLE,-4.0,@PIT,-2.5,@CLE,0.5,GB,-3.0,@CIN,-2.0,LAR,-1.5,PIT,-6.5,0.43536541915212
0.98,73.1,8.2,PIT,W,CHI,-7.0,DET,-9.0,@LAC,4.0,@CIN,3.0,BAL,2.5,@MIN,3.0,TEN,-1.5,@KC,7.0,CLE,-1.5,@BAL,6.5,0.13852652858709
0.98,71.7,4.3,NO,L,ATL,-7.0,@TEN,3.0,@PHI,-1.0,BUF,3.0,DAL,1.0,@NYJ,-7.0,@TB,7.0,MIA,-7.5,CAR,-6.5,@ATL,-3.0,0.3391307636444
0.97,79.3,31.5,DAL,L,DEN,-10.0,ATL,-10.0,@KC,3.0,LV,-7.0,@NO,-1.0,@WAS,-4.0,@NYG,-6.5,WAS,-8.0,ARI,-3.0,@PHI,-3.5,0.55392522932032
0.94,67.7,0.2,SF,L,ARI,-5.5,LAR,4.0,@JAX,-6.5,MIN,-3.5,@SEA,1.5,@CIN,2.0,ATL,-7.0,@TEN,2.5,HOU,-13.5,@LAR,6.0,0.38355891002723
0.89,65.7,5.9,MIA,W,HOU,-4.5,BAL,7.5,@NYJ,-2.0,CAR,-1.0,NYG,-3.0,BYE,,NYJ,-6.5,@NO,7.5,@TEN,7.0,NE,3.0,0.14597383490285
