EV,W_pct,P_pct,Team,Team_Result,1,1_spread,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
1.11,73.5,8.0,CIN,L,PIT,-7.5,@DAL,-7.5,@NYJ,-5.0,MIA,-4.0,@BAL,3.0,@NO,-0.5,ATL,-10.5,@CLE,2.0,CAR,-7.5,BYE,,@PIT,-3.0,@TEN,0.5,KC,1.0,CLE,-3.0,@TB,4.0,@NE,-0.5,BUF,1.5,BAL,-3.0,0.45283571460485
1.07,71.3,8.7,SF,L,@CHI,-6.5,SEA,-10.0,@DEN,3.0,LAR,-1.0,@CAR,-3.0,@ATL,-6.5,KC,0.5,@LAR,4.0,BYE,,LAC,-2.0,ARI,-1.5,NO,-4.5,MIA,-4.0,TB,1.0,@SEA,-4.5,WAS,-7.5,@LV,-1.5,ARI,-3.0,0.50950351189967
1.06,68.2,1.7,KC,W,@ARI,-6.0,LAC,-3.5,@IND,-2.0,@TB,3.0,LV,-6.0,BUF,0.5,@SF,-0.5,BYE,,TEN,-6.0,JAX,-10.5,@LAC,2.5,LAR,-3.0,@CIN,-1.0,@DEN,0.5,@HOU,-10.5,SEA,-11.5,DEN,-4.0,@LV,-3.0,0.62276330231212
1.05,68.5,4.4,PHI,W,@DET,-5.5,MIN,-1.0,@WAS,-1.5,JAX,-7.5,@ARI,2.0,DAL,-1.5,BYE,,PIT,-5.0,@HOU,-6.5,WAS,-4.5,@IND,3.0,GB,-0.5,TEN,-3.0,@NYG,-3.0,@CHI,-3.5,@DAL,3.0,NO,-3.5,NYG,-5.5,0.47920989567738
1.02,71.6,16.5,IND(tie),,@HOU,-7.0,@JAX,-4.0,KC,2.0,TEN,-3.5,@DEN,3.5,JAX,-8.0,@TEN,1.0,WAS,-6.5,@NE,0.5,@LV,2.0,PHI,-3.0,PIT,-6.0,@DAL,2.5,BYE,,@MIN,1.5,LAC,-0.5,@NYG,-3.5,HOU,-9.5,0.45870249754274
1.02,69.7,12.0,DEN,L,@SEA,-6.0,HOU,-10.0,SF,-3.0,@LV,0.5,IND,-3.5,@LAC,3.0,NYJ,-9.5,JAX,-6.5,BYE,,@TEN,-0.5,LV,-4.0,@CAR,-3.0,@BAL,2.0,KC,-0.5,ARI,-4.0,@LAR,3.0,@KC,4.0,LAC,-1.5,0.45310118109707
1.02,66.9,5.2,NO,W,@ATL,-6.0,TB,3.0,@CAR,-2.0,MIN,0.5,SEA,-7.0,CIN,0.5,@ARI,3.0,LV,-1.5,BAL,-0.5,@PIT,1.0,LAR,3.0,@SF,4.5,@TB,7.0,BYE,,ATL,-7.0,@CLE,3.5,@PHI,3.5,CAR,-4.5,0.23142341520492
1.0,70.9,18.3,BAL,W,@NYJ,-6.5,MIA,-3.5,@NE,-0.5,BUF,1.5,CIN,-3.0,@NYG,-4.0,CLE,-3.5,@TB,4.0,@NO,0.5,BYE,,CAR,-7.0,@JAX,-4.5,DEN,-2.0,@PIT,-3.0,@CLE,1.5,ATL,-9.5,PIT,-6.5,@CIN,3.0,0.48839830021321
0.99,68.2,13.4,TEN,L,NYG,-5.5,@BUF,10.0,LV,-2.5,@IND,3.5,@WAS,0.5,BYE,,IND,-1.0,@HOU,-6.0,@KC,6.0,DEN,0.5,@GB,5.0,CIN,-0.5,@PHI,3.0,JAX,-7.0,@LAC,5.0,HOU,-9.0,DAL,-1.5,@JAX,-3.5,0.30511233224918
0.98,63.0,0.6,LAC,W,LV,-3.5,@KC,3.5,JAX,-10.0,@HOU,-8.5,@CLE,-3.0,DEN,-3.0,SEA,-9.5,BYE,,@ATL,-7.5,@SF,2.0,KC,-2.5,@ARI,-1.5,@LV,-0.5,MIA,-5.0,TEN,-5.0,@IND,0.5,LAR,-2.5,@DEN,1.5,0.58801698922003
0.92,59.0,1.2,MIA,W,NE,-3.0,@BAL,3.5,BUF,3.5,@CIN,4.0,@NYJ,-3.0,MIN,-3.0,PIT,-4.5,@DET,-3.0,@CHI,-3.5,CLE,-0.5,BYE,,HOU,-8.0,@SF,4.0,@LAC,5.0,@BUF,7.0,GB,1.5,@NE,2.0,NYJ,-7.5,0.34727768261496
0.91,59.1,2.6,WAS,W,JAX,-3.0,@DET,2.0,PHI,1.5,@DAL,6.5,TEN,-0.5,@CHI,-0.5,GB,4.0,@IND,6.5,MIN,1.0,@PHI,4.5,@HOU,-3.0,ATL,-6.0,@NYG,1.0,BYE,,NYG,-3.5,@SF,7.5,CLE,3.0,DAL,2.0,0.13105856269111
0.85,54.6,0.5,TB,W,@DAL,-2.5,@NO,-3.0,GB,-3.5,KC,-3.0,ATL,-12.0,@PIT,-5.0,@CAR,-6.0,BAL,-4.0,LAR,-3.0,SEA,-10.5,BYE,,@CLE,-2.5,NO,-7.0,@SF,-1.0,CIN,-4.0,@ARI,-1.5,CAR,-10.0,@ATL,-8.0,0.83554930664056
