EV,W_pct,P_pct,Team,Team_Result,17,17_spread,Future_Val
1.21,83.7,2.4,SEA,W,STL,-13.0,
1.18,81.3,2.8,SD,W,KC,-10.5,
1.16,81.0,3.6,DEN,W,@OAK,-10.0,
1.15,82.0,10.4,IND,W,JAX,-11.0,
1.13,81.3,13.4,NO,W,TB,-11.0,
1.06,74.0,4.6,NE,W,BUF,-7.5,
1.04,71.8,1.4,CIN,W,BAL,-6.5,
1.03,71.9,3.6,TEN,W,HOU,-7.0,
1.03,72.3,5.8,PHI,W,@DAL,-7.0,
1.02,72.6,7.5,MIA,L,NYJ,-7.5,
0.97,76.4,29.2,PIT,W,CLE,-9.5,
0.97,67.0,2.4,CAR,W,@ATL,-4.5,
0.9,62.6,1.9,NYG,W,WAS,-3.5,
0.84,57.3,0.1,ARI,L,SF,-3.0,
0.84,57.4,0.7,GB,W,@CHI,-3.0,
0.78,53.8,1.8,DET,L,@MIN,-1.5,
0.68,46.2,0.8,MIN,W,DET,1.5,
0.62,42.6,0.8,CHI,L,GB,3.0,
0.61,42.7,1.7,SF,W,@ARI,3.0,
0.55,37.4,0.5,WAS,L,@NYG,3.5,
0.48,33.0,1.4,ATL,L,CAR,4.5,
0.48,23.6,0.2,CLE,L,@PIT,9.5,
0.43,27.4,0.3,NYJ,W,@MIA,7.5,
0.42,27.7,1.4,DAL,L,PHI,7.0,
0.42,28.1,0.3,HOU,L,@TEN,7.0,
0.42,28.2,0.2,BAL,L,@CIN,6.5,
0.4,26.0,0.0,BUF,L,@NE,7.5,
0.32,18.7,0.1,TB,L,@NO,11.0,
0.3,18.0,0.1,JAX,L,@IND,11.0,
0.29,19.0,0.1,OAK,L,DEN,10.0,
0.28,18.7,0.6,KC,L,@SD,10.5,
0.24,16.3,0.1,STL,L,@SEA,13.0,
