EV,W_pct,P_pct,Team,Team_Result,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.1,74.4,7.8,GB,W,DAL,-7.0,BYE,,@MIN,-3.5,@ATL,1.5,SF,-9.5,@DET,-7.0,@NE,14.0,NYG,-3.5,CHI,-11.0,0.65292662457426
1.09,77.0,16.7,ATL,W,TB,-8.5,BAL,0.0,@STL,-3.5,GB,-1.5,@TB,-3.0,@CAR,-9.0,@SEA,-6.5,NO,-2.5,CAR,-14.5,0.67900354758409
1.08,74.2,10.1,NYG,W,@SEA,-7.5,DAL,-13.0,@PHI,3.5,JAX,-7.0,WAS,-7.5,@MIN,-3.0,PHI,-3.0,@GB,3.5,@WAS,-4.5,0.69813554512663
1.08,75.1,13.9,MIN,W,ARI,-7.5,@CHI,-1.0,GB,3.5,@WAS,-1.5,BUF,-5.0,NYG,3.0,CHI,6.0,@PHI,14.5,@DET,3.5,0.14297846552919
1.05,71.7,8.0,NO,W,@CAR,-6.5,BYE,,SEA,-12.0,@DAL,-4.5,@CIN,-7.0,STL,-9.5,@BAL,2.5,@ATL,2.5,TB,-7.5,0.74693015122115
1.03,67.4,0.5,BAL,W,MIA,-5.0,@ATL,0.0,@CAR,-11.5,TB,-7.5,PIT,-3.0,@HOU,-3.0,NO,-2.5,@CLE,-3.5,CIN,-9.5,0.76276491757805
1.03,68.0,3.0,PIT,W,@CIN,-5.5,NE,-5.0,OAK,-7.5,@BUF,-6.0,@BAL,3.0,CIN,-9.0,NYJ,-3.5,CAR,-15.0,@CLE,-5.5,0.94466762371651
0.96,62.1,0.1,PHI,W,IND,-3.0,@WAS,-3.0,NYG,-3.5,@CHI,-3.0,HOU,-8.0,@DAL,-4.0,@NYG,3.0,MIN,-14.5,DAL,1.5,0.70569588847748
0.95,65.6,9.2,NE,L,@CLE,-4.0,@PIT,5.0,IND,-4.0,@DET,-7.0,NYJ,-4.0,@CHI,-3.0,GB,-14.0,@BUF,-7.5,MIA,-5.5,0.85232131878994
0.93,60.0,0.1,SD,W,@HOU,-3.0,BYE,,DEN,-9.0,@IND,2.0,OAK,-13.0,KC,-10.0,SF,-10.5,@CIN,-8.5,@DEN,-4.5,1.0
0.89,68.0,24.9,NYJ,W,@DET,-5.5,@CLE,-3.0,HOU,-6.5,CIN,-9.5,@NE,4.0,MIA,-5.0,@PIT,3.5,@CHI,2.5,BUF,-6.5,0.49119307958952
0.85,56.4,2.8,CHI,W,@BUF,-2.5,MIN,1.0,@MIA,2.5,PHI,3.0,@DET,-4.5,NE,3.0,@MIN,-6.0,NYJ,-2.5,@GB,11.0,0.24575947450912
0.81,52.6,0.1,KC,L,@OAK,0.0,@DEN,-1.0,ARI,-8.5,@SEA,-2.0,DEN,-10.0,@SD,10.0,@STL,3.0,TEN,-4.5,OAK,-3.5,0.51154633389036
