EV,W_pct,P_pct,Team,Team_Result,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.1,75.0,2.1,BAL,W,@HOU,-7.5,KC,-3.0,@WAS,-9.5,CIN,-14.0,@PHI,-3.5,BYE,,PIT,-6.5,@IND,-3.0,@NE,-3.0,TEN,-7.0,@PIT,-1.5,DAL,-6.5,@CLE,-4.5,JAX,-14.5,NYG,-13.0,@CIN,-9.5,0.95573027460695
1.09,76.3,8.8,KC,W,@LAC,-8.5,@BAL,3.0,NE,-8.0,LV,-10.5,@BUF,-3.0,@DEN,-6.5,NYJ,-13.5,CAR,-14.5,BYE,,@LV,-6.5,@TB,-1.5,DEN,-11.0,@MIA,-9.5,@NO,0.5,ATL,-10.5,LAC,-10.5,1.0
1.05,75.0,10.9,TB,W,CAR,-7.5,@DEN,-6.0,LAC,-6.5,@CHI,-1.5,GB,-3.0,@LV,-3.0,@NYG,-4.0,NO,0.5,@CAR,-6.5,LAR,-3.5,KC,1.5,BYE,,MIN,-3.5,@ATL,-3.0,@DET,-3.0,ATL,-7.0,0.50543056510291
1.05,73.9,8.7,ARI,W,WAS,-7.5,DET,-5.5,@CAR,-3.0,@NYJ,-3.0,@DAL,5.0,SEA,1.5,BYE,,MIA,-7.0,BUF,0.5,@SEA,6.0,@NE,3.5,LAR,-1.5,@NYG,-2.5,PHI,-3.0,SF,3.0,@LAR,3.5,0.25178184683762
1.01,72.9,13.1,TEN,W,JAX,-7.0,@MIN,-2.5,BYE,,BUF,-2.0,HOU,-5.0,PIT,-1.5,@CIN,-3.5,CHI,-4.0,IND,-3.0,@BAL,7.0,@IND,3.0,CLE,-4.5,@JAX,-4.0,DET,-6.5,@GB,3.0,@HOU,-0.5,0.37524803008894
1.0,68.7,2.9,CLE,W,CIN,-6.0,WAS,-7.5,@DAL,6.0,IND,0.5,@PIT,6.0,@CIN,-3.5,LV,-3.5,BYE,,HOU,-3.0,PHI,-1.5,@JAX,-1.5,@TEN,4.5,BAL,4.5,@NYG,-1.5,@NYJ,-2.0,PIT,1.5,0.22578547883237
0.99,71.8,12.7,GB,W,DET,-6.5,@NO,3.0,ATL,-6.5,BYE,,@TB,3.0,@HOU,-1.0,MIN,-3.5,@SF,4.0,JAX,-10.0,@IND,2.5,CHI,-5.5,PHI,-3.5,@DET,-3.0,CAR,-10.0,TEN,-3.0,@CHI,-1.5,0.46200340743135
0.99,70.2,9.2,PIT,W,DEN,-6.0,HOU,-4.0,BYE,,PHI,-3.5,CLE,-6.0,@TEN,1.5,@BAL,6.5,@DAL,3.0,CIN,-10.5,@JAX,-6.5,BAL,1.5,WAS,-9.5,@BUF,2.5,@CIN,-6.5,IND,-3.0,@CLE,-1.5,0.5161924868471
0.99,67.6,2.0,CHI,W,NYG,-4.5,@ATL,3.5,IND,0.5,TB,1.5,@CAR,-3.0,@LAR,4.0,NO,3.5,@TEN,4.0,MIN,-0.5,BYE,,@GB,5.5,DET,-4.0,HOU,-3.0,@MIN,4.0,@JAX,-1.0,GB,1.5,0.10633508580775
0.98,68.5,5.3,BUF,W,@MIA,-5.5,LAR,-2.5,@LV,-2.5,@TEN,2.0,KC,3.0,@NYJ,-4.0,NE,-3.0,SEA,-2.0,@ARI,-0.5,BYE,,LAC,-6.0,@SF,4.0,PIT,-2.5,@DEN,-2.0,@NE,2.0,MIA,-9.5,0.31542928021567
