EV,W_pct,P_pct,Team,Team_Result,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.12,79.7,17.2,NO,W,CAR,-10.0,@ATL,-7.0,SF,-3.0,IND,-7.0,@TEN,-3.5,@CAR,-3.0,0.5172711906693
1.05,68.8,1.3,NE,W,DAL,-5.5,@HOU,-3.5,KC,-5.5,@CIN,-17.0,BUF,-9.5,MIA,-18.5,1.0
1.03,70.4,7.2,CHI,W,NYG,-6.0,@DET,-2.5,DAL,3.0,@GB,6.0,KC,2.0,@MIN,6.5,0.064464291909057
1.01,70.4,11.2,PIT,W,@CIN,-6.5,CLE,1.0,@ARI,-2.0,BUF,-2.0,@NYJ,-2.5,@BAL,7.0,0.10625053542018
1.0,65.6,0.9,TEN,W,JAX,-4.5,@IND,2.5,@OAK,3.0,HOU,-0.5,NO,3.5,@HOU,4.0,0.00019231834898777
0.98,80.3,44.2,CLE,W,MIA,-11.0,@PIT,-1.0,CIN,-9.5,@ARI,-2.5,BAL,3.0,@CIN,-6.0,0.40758321560494
0.98,64.1,1.3,BUF,W,DEN,-3.5,@DAL,7.0,BAL,3.0,@PIT,2.0,@NE,9.5,NYJ,-7.0,0.15332394829099
0.96,63.5,2.1,HOU,W,IND,-3.5,NE,3.5,DEN,-6.5,@TEN,0.5,@TB,-2.5,TEN,-4.0,0.28010002363166
0.94,62.2,1.9,OAK,L,@NYJ,-3.0,@KC,10.0,TEN,-3.0,JAX,-3.0,@LAC,3.0,@DEN,-0.5,0.10635035230525
0.94,61.0,0.1,SF,W,GB,-3.0,@BAL,5.5,@NO,3.0,ATL,-7.5,LAR,-3.0,@SEA,2.5,0.22967389271923
0.93,63.7,6.2,DET,L,@WAS,-4.0,CHI,2.5,@MIN,9.5,TB,-2.5,@DEN,2.5,GB,4.5,0.040839643693564
0.93,60.8,0.5,BAL,W,@LAR,-3.5,SF,-5.5,@BUF,-3.0,NYJ,-12.0,@CLE,-3.0,PIT,-7.0,0.65465394307612
0.92,61.9,4.0,ATL,L,TB,-3.5,NO,7.0,CAR,-1.5,@SF,7.5,JAX,-2.5,@TB,2.5,0.057728787095186
0.85,55.4,0.5,SEA,W,@PHI,-2.0,MIN,-3.0,@LAR,2.5,@CAR,-3.0,ARI,-10.0,SF,-2.5,0.35333343443446
0.69,44.6,0.1,PHI,L,SEA,2.0,@MIA,-9.0,NYG,-7.0,@WAS,-6.5,DAL,0.5,@NYG,-3.5,0.57730819167669
0.62,38.1,0.1,TB,W,@ATL,3.5,@JAX,1.0,IND,1.0,@DET,2.5,HOU,2.5,ATL,-2.5,0.038590927250026
0.61,39.2,0.2,LAR,L,BAL,3.5,@ARI,-3.0,SEA,-2.5,@DAL,3.5,@SF,3.0,ARI,-9.5,0.31346966413984
0.6,36.3,0.1,WAS,W,DET,4.0,@CAR,10.0,@GB,14.0,PHI,6.5,NYG,1.5,@DAL,14.0,0.0
0.6,39.0,0.3,GB,L,@SF,3.0,@NYG,-6.0,WAS,-14.0,CHI,-6.0,@MIN,3.0,@DET,-4.5,0.64086394948164
0.59,37.8,0.1,NYJ,W,OAK,3.0,@CIN,-3.5,MIA,-5.0,@BAL,12.0,PIT,2.5,@BUF,7.0,0.20734149237985
0.58,36.5,0.1,IND,L,@HOU,3.5,TEN,-2.5,@TB,-1.0,@NO,7.0,CAR,-3.0,@JAX,1.5,0.10922550331383
0.56,35.9,0.1,DEN,L,@BUF,3.5,LAC,2.5,@HOU,6.5,@KC,9.5,DET,-2.5,OAK,0.5,0.040861592854853
0.56,19.7,0.0,MIA,L,@CLE,11.0,PHI,9.0,@NYJ,5.0,@NYG,6.5,CIN,-2.0,@NE,18.5,0.034420393705539
0.54,34.4,0.1,JAX,L,@TEN,4.5,TB,-1.0,LAC,-1.5,@OAK,3.0,@ATL,2.5,IND,-1.5,0.058134504537596
0.53,29.6,0.0,CIN,L,PIT,6.5,NYJ,3.5,@CLE,9.5,NE,17.0,@MIA,2.0,CLE,6.0,0.0
0.51,29.6,0.0,NYG,L,@CHI,6.0,GB,6.0,@PHI,7.0,MIA,-6.5,@WAS,-1.5,PHI,3.5,0.16851424716503
0.49,31.2,0.0,DAL,L,@NE,5.5,BUF,-7.0,@CHI,-3.0,LAR,-3.5,@PHI,-0.5,WAS,-14.0,0.5283609378977
0.42,20.3,0.0,CAR,L,@NO,10.0,WAS,-10.0,@ATL,1.5,SEA,3.0,@IND,3.0,NO,3.0,0.20254051682366
,,,ARI,,BYE,,LAR,3.0,PIT,2.0,CLE,2.5,@SEA,10.0,@LAR,9.5,0.0
,,,KC,,BYE,,OAK,-10.0,@NE,5.5,DEN,-9.5,@CHI,-2.0,LAC,-6.5,0.56688173509426
,,,MIN,,BYE,,@SEA,3.0,DET,-9.5,@LAC,-3.0,GB,-3.0,CHI,-6.5,0.45486314568904
,,,LAC,,BYE,,@DEN,-2.5,@JAX,1.5,MIN,3.0,OAK,-3.0,@KC,6.5,0.12551638182924
