EV,W_pct,P_pct,Team,Team_Result,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.22,89.2,27.6,SEA,W,SF,-14.0,PIT,-3.5,@MIN,-1.0,@BAL,-3.5,CLE,-10.5,STL,-6.0,@ARI,3.5,0.55518467111354
1.09,75.7,6.0,NE,W,BUF,-7.0,@DEN,-3.0,PHI,-8.0,@HOU,-9.5,TEN,-15.0,@NYJ,-3.5,@MIA,-7.0,1.0
0.98,72.9,18.4,PHI,L,TB,-6.5,@DET,0.0,@NE,8.0,BUF,-3.0,ARI,2.5,WAS,-6.5,@NYG,-0.5,0.20938937100358
0.97,72.4,19.2,CAR,W,WAS,-7.0,@DAL,0.0,@NO,-3.0,ATL,-4.0,@NYG,-3.0,@ATL,-0.5,TB,-9.5,0.42385579021823
0.96,65.3,1.1,ARI,W,CIN,-4.0,@SF,-10.5,@STL,-3.5,MIN,-6.0,@PHI,-2.5,GB,-3.0,SEA,-3.5,0.62785292110947
0.93,64.0,1.9,NYJ,L,@HOU,-4.0,MIA,-3.5,@NYG,-1.0,TEN,-8.0,@DAL,0.5,NE,3.5,@BUF,2.5,0.2891751984219
0.92,64.0,3.7,ATL,L,IND,-3.5,MIN,-2.0,@TB,-3.0,@CAR,4.0,@JAX,-3.5,CAR,0.5,NO,-4.0,0.27896182938168
0.9,62.0,3.4,KC,W,@SD,-3.0,BUF,-4.0,@OAK,0.5,SD,-6.0,@BAL,-1.0,CLE,-7.0,OAK,-3.5,0.54412519765637
0.87,59.5,0.8,BAL,W,STL,-3.0,@CLE,2.5,@MIA,3.0,SEA,3.5,KC,1.0,PIT,2.0,@CIN,8.0,0.0
0.82,56.8,3.3,JAX,W,TEN,-3.0,SD,-4.0,@TEN,2.5,IND,0.5,ATL,3.5,@NO,4.0,@HOU,3.5,0.11295403377111
0.8,54.8,2.0,DAL,W,@MIA,-2.5,CAR,0.0,@WAS,-1.5,@GB,6.5,NYJ,-0.5,@BUF,3.5,WAS,-5.0,0.15239319108355
0.79,54.2,1.9,DEN,W,@CHI,-2.5,NE,3.0,@SD,-3.5,OAK,-5.0,@PIT,1.5,CIN,1.0,SD,-7.5,0.3878099095312
0.76,51.7,0.5,MIN,L,GB,-1.0,@ATL,2.0,SEA,1.0,@ARI,6.0,CHI,-6.5,NYG,-3.5,@GB,5.0,0.24707901676386
0.76,51.2,2.4,OAK,L,@DET,-1.0,@TEN,-1.5,KC,-0.5,@DEN,5.0,GB,3.5,SD,-4.0,@KC,3.5,0.12175319890814
0.71,48.8,3.3,DET,W,OAK,1.0,PHI,0.0,GB,7.0,@STL,6.5,@NO,4.5,SF,-3.5,@CHI,3.0,0.081207989247933
0.71,48.3,0.7,GB,W,@MIN,1.0,CHI,-9.0,@DET,-7.0,DAL,-6.5,@OAK,-3.5,@ARI,3.0,MIN,-5.0,0.73075951792089
0.68,45.8,1.0,CHI,L,DEN,2.5,@GB,9.0,SF,-4.0,WAS,-2.5,@MIN,6.5,@TB,3.0,DET,-3.0,0.21391203471297
0.67,45.2,0.8,MIA,L,DAL,2.5,@NYJ,3.5,BAL,-3.0,NYG,-3.0,@SD,-0.5,IND,-3.0,NE,7.0,0.18045213832485
0.65,43.2,0.7,TEN,L,@JAX,3.0,OAK,1.5,JAX,-2.5,@NYJ,8.0,@NE,15.0,HOU,-1.0,@IND,4.0,0.056708808933759
0.6,40.5,0.2,STL,L,@BAL,3.0,@CIN,8.5,ARI,3.5,DET,-6.5,TB,-5.0,@SEA,6.0,@SF,-3.5,0.34554067647095
0.58,38.0,0.3,SD,L,KC,3.0,@JAX,4.0,DEN,3.5,@KC,6.0,MIA,0.5,@OAK,4.0,@DEN,7.5,0.0
0.55,36.0,0.2,IND,W,@ATL,3.5,TB,-3.0,@PIT,4.5,@JAX,-0.5,HOU,-3.5,@MIA,3.0,TEN,-4.0,0.27975999630582
0.54,36.0,0.4,HOU,W,NYJ,4.0,NO,-3.0,@BUF,6.5,NE,9.5,@IND,3.5,@TEN,1.0,JAX,-3.5,0.1361946891684
0.52,34.7,0.1,CIN,L,@ARI,4.0,STL,-8.5,@CLE,-7.5,PIT,-4.5,@SF,-8.0,@DEN,-1.0,BAL,-8.0,0.89478250772801
0.51,27.6,0.1,WAS,L,@CAR,7.0,NYG,2.5,DAL,1.5,@CHI,2.5,BUF,3.0,@PHI,6.5,@DAL,5.0,0.0
0.5,27.1,0.1,TB,W,@PHI,6.5,@IND,3.0,ATL,3.0,NO,0.5,@STL,5.0,CHI,-3.0,@CAR,9.5,0.046376416926823
0.39,24.3,0.1,BUF,L,@NE,7.0,@KC,4.0,HOU,-6.5,@PHI,3.0,@WAS,-3.0,DAL,-3.5,NYJ,-2.5,0.3431532864088
0.25,10.8,0.1,SF,L,@SEA,14.0,ARI,10.5,@CHI,4.0,@CLE,3.0,CIN,8.0,@DET,3.5,STL,3.5,0.0
,,,CLE,,BYE,,BAL,-2.5,CIN,7.5,SF,-3.0,@SEA,10.5,@KC,7.0,PIT,4.0,0.11726874706543
,,,NO,,BYE,,@HOU,3.0,CAR,3.0,@TB,-0.5,DET,-4.5,JAX,-4.0,@ATL,4.0,0.22544012340938
,,,NYG,,BYE,,@WAS,-2.5,NYJ,1.0,@MIA,3.0,CAR,3.0,@MIN,3.5,PHI,0.5,0.050423285379416
,,,PIT,,BYE,,@SEA,3.5,IND,-4.5,@CIN,4.5,DEN,-1.5,@BAL,-2.0,@CLE,-4.0,0.28828420558602
