EV,W_pct,P_pct,Team,Team_Result,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.08,82.6,12.8,GB,W,@CAR,-10.5,@CHI,-4.5,DEN,-12.0,@ATL,-6.0,STL,-14.0,@MIN,-10.0,BYE,,@SD,-5.5,MIN,-12.5,TB,-13.5,@DET,-4.5,@NYG,-7.0,OAK,-11.5,@KC,-10.5,CHI,-13.0,DET,6.5,1.0
1.03,78.1,9.5,NYJ,W,JAX,-9.0,@OAK,-3.0,@BAL,5.5,@NE,7.5,MIA,-7.0,SD,1.0,BYE,,@BUF,2.5,NE,-2.5,@DEN,-6.0,BUF,-9.5,@WAS,-3.0,KC,-10.5,@PHI,3.0,NYG,-1.5,@MIA,2.0,0.38045306538189
1.03,86.8,44.4,PIT,W,SEA,-14.0,@IND,-11.0,@HOU,3.5,TEN,-3.0,JAX,-12.5,@ARI,-4.0,NE,3.0,BAL,-3.5,@CIN,-3.5,BYE,,@KC,-10.5,CIN,-7.0,CLE,-14.0,@SF,3.0,STL,-10.0,@CLE,-7.0,0.74018681501634
1.0,74.4,3.2,NYG,W,STL,-7.0,@PHI,9.0,@ARI,-1.5,SEA,-10.0,BUF,-3.0,BYE,,MIA,-9.5,@NE,9.5,@SF,4.0,PHI,-6.0,@NO,7.0,GB,7.0,@DAL,4.5,WAS,-5.5,@NYJ,1.5,DAL,-3.0,0.33427613486673
1.0,76.9,11.3,DET,W,KC,-9.0,@MIN,-3.0,@DAL,2.5,CHI,-6.5,SF,-5.5,ATL,-4.5,@DEN,-3.0,BYE,,@CHI,2.5,CAR,-7.0,GB,4.5,@NO,9.0,MIN,-10.0,@OAK,-1.0,SD,1.0,@GB,-6.5,0.43795609980166
0.99,72.6,0.8,NE,W,SD,-7.0,@BUF,-7.0,@OAK,-6.5,NYJ,-7.5,DAL,-6.5,BYE,,@PIT,-3.0,NYG,-9.5,@NYJ,2.5,KC,-17.0,@PHI,-3.0,IND,-20.5,@WAS,-7.0,@DEN,-7.0,MIA,-7.0,BUF,-10.0,0.90066309235712
0.99,72.3,0.9,NO,W,CHI,-6.5,HOU,-4.0,@JAX,-7.0,@CAR,-6.5,@TB,-6.0,IND,-13.5,@STL,-13.5,TB,-9.0,@ATL,1.0,BYE,,NYG,-7.0,DET,-9.0,@TEN,-3.5,@MIN,-7.0,ATL,-7.0,CAR,-7.0,0.86505950613554
0.92,70.1,9.0,BAL,L,@TEN,-6.0,@STL,-6.0,NYJ,-5.5,BYE,,HOU,-7.0,@JAX,-10.0,ARI,-12.0,@PIT,3.5,@SEA,-7.0,CIN,-7.0,SF,-3.5,@CLE,-7.0,IND,-16.5,@SD,-1.0,CLE,-11.0,@CIN,-2.5,0.80341751648177
0.89,65.6,1.3,BUF,W,OAK,-4.0,NE,7.0,@CIN,-3.0,PHI,3.0,@NYG,3.0,BYE,,WAS,-4.0,NYJ,-2.5,@DAL,4.0,@MIA,3.0,@NYJ,9.5,TEN,-1.0,@SD,7.0,MIA,1.0,DEN,3.0,@NE,10.0,0.077474131305464
0.86,63.3,0.7,WAS,W,ARI,-3.5,@DAL,3.5,@STL,-3.0,BYE,,PHI,3.0,@CAR,1.5,@BUF,4.0,SF,5.0,@MIA,4.0,DAL,7.0,@SEA,3.0,NYJ,3.0,NE,7.0,@NYG,5.5,MIN,-6.0,@PHI,7.0,0.076298307454989
0.86,62.7,0.8,DEN,W,CIN,-3.0,@TEN,7.0,@GB,12.0,SD,3.5,BYE,,@MIA,-1.0,DET,3.0,@OAK,7.0,@KC,3.0,NYJ,6.0,@SD,4.5,@MIN,1.0,CHI,-3.5,NE,7.0,@BUF,-3.0,KC,-1.0,0.061894101689642
0.83,60.9,1.6,DAL,W,@SF,-3.0,WAS,-3.5,DET,-2.5,BYE,,@NE,6.5,STL,-14.0,@PHI,3.0,SEA,-11.0,BUF,-4.0,@WAS,-7.0,MIA,-7.0,@ARI,-4.0,NYG,-4.5,@TB,-7.0,PHI,1.0,@NYG,3.0,0.57497749458195
0.81,59.7,1.1,HOU,W,@MIA,-3.0,@NO,4.0,PIT,-3.5,OAK,-4.5,@BAL,7.0,@TEN,3.0,JAX,-10.0,CLE,-10.5,@TB,-3.5,BYE,,@JAX,-6.0,ATL,1.0,@CIN,2.5,CAR,-6.0,@IND,-7.0,TEN,1.0,0.46076967312533
0.76,55.7,0.5,PHI,L,@ATL,-2.5,NYG,-9.0,SF,-10.0,@BUF,-3.0,@WAS,-3.0,BYE,,DAL,-3.0,CHI,-9.0,ARI,-13.5,@NYG,6.0,NE,3.0,@SEA,-3.0,@MIA,3.0,NYJ,-3.0,@DAL,-1.0,WAS,-7.0,0.53914274455527
0.75,55.2,0.4,MIN,L,TB,-2.5,DET,3.0,@KC,-3.0,ARI,-3.5,@CHI,1.0,GB,10.0,@CAR,3.0,BYE,,@GB,12.5,OAK,-1.5,@ATL,10.0,DEN,-1.0,@DET,10.0,NO,7.0,@WAS,6.0,CHI,-1.5,0.11391823140902
0.75,54.8,0.7,CLE,W,@IND,-2.0,MIA,-2.0,TEN,1.0,BYE,,@OAK,6.5,SEA,-3.0,@SF,9.0,@HOU,10.5,STL,-2.5,JAX,-1.0,@CIN,6.5,BAL,7.0,@PIT,14.0,@ARI,6.0,@BAL,11.0,PIT,7.0,0.076786212009115
0.62,45.2,0.3,IND,L,CLE,2.0,PIT,11.0,@TB,10.0,KC,-1.0,@CIN,5.0,@NO,13.5,@TEN,9.0,ATL,6.5,JAX,3.0,BYE,,CAR,3.5,@NE,20.5,@BAL,16.5,TEN,6.5,HOU,7.0,@JAX,3.0,0.0058890798070251
0.61,44.8,0.2,TB,W,@MIN,2.5,ATL,-1.0,IND,-10.0,@SF,2.5,NO,6.0,CHI,1.5,BYE,,@NO,9.0,HOU,3.5,@GB,13.5,@TEN,3.0,CAR,1.0,@JAX,-3.0,DAL,7.0,@CAR,9.0,@ATL,10.0,0.11317214614559
0.61,44.3,0.0,ATL,W,PHI,2.5,@TB,1.0,@SEA,-6.0,GB,6.0,CAR,-3.5,@DET,4.5,BYE,,@IND,-6.5,NO,-1.0,TEN,-6.0,MIN,-10.0,@HOU,-1.0,@CAR,-3.0,JAX,-13.5,@NO,7.0,TB,-10.0,0.49990667164869
0.56,40.3,0.1,MIA,L,HOU,3.0,@CLE,2.0,@SD,7.0,BYE,,@NYJ,7.0,DEN,1.0,@NYG,9.5,@KC,4.5,WAS,-4.0,BUF,-3.0,@DAL,7.0,OAK,-3.5,PHI,-3.0,@BUF,-1.0,@NE,7.0,NYJ,-2.0,0.12596339063195
0.54,39.1,0.1,SF,L,DAL,3.0,@CIN,2.5,@PHI,10.0,TB,-2.5,@DET,5.5,BYE,,CLE,-9.0,@WAS,-5.0,NYG,-4.0,ARI,-10.0,@BAL,3.5,STL,-14.0,@ARI,-3.5,PIT,-3.0,@SEA,-1.5,@STL,-12.5,0.54848008225229
0.51,37.3,0.1,CIN,L,@DEN,3.0,SF,-2.5,BUF,3.0,@JAX,-1.0,IND,-5.0,BYE,,@SEA,-1.0,@TEN,1.5,PIT,3.5,@BAL,7.0,CLE,-6.5,@PIT,7.0,HOU,-2.5,@STL,-7.0,ARI,-4.5,BAL,2.5,0.27525339813085
0.51,36.7,0.1,ARI,L,@WAS,3.5,@SEA,-3.0,NYG,1.5,@MIN,3.5,BYE,,PIT,4.0,@BAL,12.0,STL,-1.0,@PHI,13.5,@SF,10.0,@STL,1.0,DAL,4.0,SF,3.5,CLE,-6.0,@CIN,4.5,SEA,-2.5,0.099699765992547
0.48,34.4,0.2,OAK,L,@BUF,4.0,NYJ,3.0,NE,6.5,@HOU,4.5,CLE,-6.5,KC,-3.5,BYE,,DEN,-7.0,@SD,7.0,@MIN,1.5,CHI,-3.0,@MIA,3.5,@GB,11.5,DET,1.0,@KC,2.5,SD,-2.5,0.19631570724665
0.45,29.9,0.0,TEN,W,BAL,6.0,DEN,-7.0,@CLE,-1.0,@PIT,3.0,BYE,,HOU,-3.0,IND,-9.0,CIN,-1.5,@CAR,3.5,@ATL,6.0,TB,-3.0,@BUF,1.0,NO,3.5,@IND,-6.5,JAX,-8.0,@HOU,-1.0,0.35080945844478
0.38,27.7,0.1,CHI,L,@NO,6.5,GB,4.5,CAR,-6.5,@DET,6.5,MIN,-1.0,@TB,-1.5,BYE,,@PHI,9.0,DET,-2.5,SD,-4.5,@OAK,3.0,KC,-9.0,@DEN,3.5,SEA,-3.5,@GB,13.0,@MIN,1.5,0.25531540991908
0.38,27.4,0.0,SD,L,@NE,7.0,KC,-14.5,MIA,-7.0,@DEN,-3.5,BYE,,@NYJ,-1.0,@KC,-3.0,GB,5.5,OAK,-7.0,@CHI,4.5,DEN,-4.5,@JAX,-3.0,BUF,-7.0,BAL,1.0,@DET,-1.0,@OAK,2.5,0.43224376404649
0.37,23.1,0.0,KC,L,@DET,9.0,@SD,14.5,MIN,3.0,@IND,1.0,BYE,,@OAK,3.5,SD,3.0,MIA,-4.5,DEN,-3.0,@NE,17.0,PIT,10.5,@CHI,9.0,@NYJ,10.5,GB,10.5,OAK,-2.5,@DEN,1.0,0.10755702024556
0.36,25.6,0.0,STL,L,@NYG,7.0,BAL,6.0,WAS,3.0,BYE,,@GB,14.0,@DAL,14.0,NO,13.5,@ARI,1.0,@CLE,2.5,SEA,-3.0,ARI,-1.0,@SF,14.0,@SEA,9.0,CIN,7.0,@PIT,10.0,SF,12.5,0.038578463163349
0.34,13.2,0.0,SEA,L,@PIT,14.0,ARI,3.0,ATL,6.0,@NYG,10.0,BYE,,@CLE,3.0,CIN,1.0,@DAL,11.0,BAL,7.0,@STL,3.0,WAS,-3.0,PHI,3.0,STL,-9.0,@CHI,3.5,SF,1.5,@ARI,2.5,0.094118163532364
0.34,21.9,0.0,JAX,L,@NYJ,9.0,@CAR,3.0,NO,7.0,CIN,1.0,@PIT,12.5,BAL,10.0,@HOU,10.0,BYE,,@IND,-3.0,@CLE,1.0,HOU,6.0,SD,3.0,TB,3.0,@ATL,13.5,@TEN,8.0,IND,-3.0,0.05034435361222
0.29,17.4,0.0,CAR,L,GB,10.5,JAX,-3.0,@CHI,6.5,NO,6.5,@ATL,3.5,WAS,-1.5,MIN,-3.0,BYE,,TEN,-3.5,@DET,7.0,@IND,-3.5,@TB,-1.0,ATL,3.0,@HOU,6.0,TB,-9.0,@NO,7.0,0.2413940221705
