EV,W_pct,P_pct,Team,Team_Result,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.32,88.0,5.2,NE,W,GB,-14.0,@BUF,-7.5,MIA,-5.5,0.75912189180825
1.15,82.6,19.7,SD,W,SF,-10.5,@CIN,-8.5,@DEN,-4.5,0.76361170512849
1.11,75.2,6.0,DAL,W,WAS,-7.0,@ARI,-7.5,@PHI,-1.5,0.45505950922895
1.02,68.8,4.1,CHI,W,@MIN,-6.0,NYJ,-2.5,@GB,11.0,0.11181255901176
1.02,67.9,2.4,ATL,W,@SEA,-6.5,NO,-2.5,CAR,-14.5,0.76384425711085
1.0,66.4,1.1,IND,W,JAX,-5.0,@OAK,-2.0,TEN,-9.0,0.56978243572468
0.97,68.0,9.7,MIA,L,BUF,-4.5,DET,-3.5,@NE,5.5,0.22044425174741
0.96,63.3,0.5,PIT,L,NYJ,-3.5,CAR,-15.0,@CLE,-5.5,1.0
0.95,65.1,6.5,TB,L,DET,-4.0,SEA,-6.0,@NO,7.5,0.31254352161579
0.91,60.0,0.1,NYG,L,PHI,-3.0,@GB,3.5,@WAS,-4.5,0.28557586884932
0.91,60.0,0.2,STL,L,KC,-3.0,SF,-2.5,@SEA,-3.0,0.28634372535959
0.91,76.0,42.0,OAK,W,DEN,-7.5,IND,2.0,@KC,3.5,0.0
0.88,57.6,0.1,CAR,W,ARI,-2.5,@PIT,15.0,@ATL,14.5,0.0
0.86,56.4,0.0,BAL,W,NO,-2.5,@CLE,-3.5,CIN,-9.5,0.75070899407591
0.8,52.4,0.0,TEN,W,HOU,-1.0,@KC,4.5,@IND,9.0,0.0
0.79,51.7,0.1,CIN,W,CLE,-1.0,SD,8.5,@BAL,9.5,0.0
0.73,48.3,0.2,CLE,L,@CIN,1.0,BAL,3.5,PIT,5.5,0.0
0.72,47.6,0.4,HOU,L,@TEN,1.0,@DEN,-2.0,JAX,-5.0,0.35842630308099
0.66,43.6,0.2,NO,L,@BAL,2.5,@ATL,2.5,TB,-7.5,0.43936842250112
0.64,42.4,1.1,ARI,L,@CAR,2.5,DAL,7.5,@SF,6.0,0.0
0.61,24.0,0.0,DEN,L,@OAK,7.5,HOU,2.0,SD,4.5,0.0
0.61,40.0,0.2,KC,W,@STL,3.0,TEN,-4.5,OAK,-3.5,0.51706668018761
0.61,40.0,0.2,PHI,W,@NYG,3.0,MIN,-14.5,DAL,1.5,0.66182235042797
0.57,34.9,0.0,DET,W,@TB,4.0,@MIA,3.5,MIN,-3.5,0.24423010103252
0.56,36.7,0.0,NYJ,W,@PIT,3.5,@CHI,2.5,BUF,-6.5,0.057182866663379
0.55,32.0,0.0,BUF,W,@MIA,4.5,NE,7.5,@NYJ,6.5,0.0
0.52,33.6,0.1,JAX,L,@IND,5.0,WAS,-7.0,@HOU,5.0,0.42047326925128
0.5,32.1,0.0,SEA,L,ATL,6.5,@TB,6.0,STL,3.0,0.0
0.5,31.2,0.1,MIN,L,CHI,6.0,@PHI,14.5,@DET,3.5,0.0
0.41,24.8,0.0,WAS,L,@DAL,7.0,@JAX,7.0,NYG,4.5,0.0
0.37,17.4,0.0,SF,L,@SD,10.5,@STL,2.5,ARI,-6.0,0.34433492436693
0.2,12.0,0.0,GB,L,@NE,14.0,NYG,-3.5,CHI,-11.0,0.77732875286013
